MLY,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
565001,Head of State,Sir Stenton Thomas,1936,1964,1999,5,Weary Stiffneck,High,M565001,x
565002,Head of Government,Sir Gerald W.R. Templer,1936,1964,1999,5,Old General,High,M565002,x
565003,Foreign Minister,Sir Henry Goldsworthy Gurney,1936,1964,1999,5,General Staffer,High,M565003,x
565004,Minister of Armament,Sir Hugh Stein Fraser,1936,1964,1999,5,Tank Proponent,Medium,M565004,x
565005,Minister of Security,Charles Hicks,1936,1964,1999,5,Back Stabber,Medium,M565005,x
565006,Head of Military Intelligence,Sir Gerald E.J. Gent,1936,1964,1999,5,Technical Specialist,Medium,M565006,x
565007,Chief of Staff,Sir William Dobbie,1936,1964,1999,5,School of Psychology,Medium,M565007,x
565008,Chief of Army,Arthur Percival,1936,1964,1999,5,Static Defence Doctrine,Medium,M565008,x
565009,Chief of Navy,John Atcherley,1936,1964,1999,5,Decisive Naval Battle Doctrine,Medium,M565009,x
565010,Chief of Air Force,G.T. Jarman,1936,1964,1999,5,Air Superiority Doctrine,Medium,M565010,x
565011,Head of State,Tunku Abdul Rahman,1936,1964,1999,3,Popular Figurehead,High,M565011,x
565012,Head of State,H.R.H. Iskander I of Perak,1936,1964,1999,7,Pig-headed Isolationist,High,M565012,x
565013,Head of Government,David S. Marshall,1936,1964,1999,3,Corporate Suit,High,M565013,x
565014,Head of Government,H.H. Ibrahim IV of Kelantan,1936,1964,1999,7,Backroom Backstabber,High,M565014,x
565015,Foreign Minister,Tan Cheng Lock,1936,1964,1999,3,Great Compromiser,High,M565015,x
565016,Foreign Minister,Hamza ul-Lail,1936,1964,1999,7,The Cloak N Dagger Schemer,High,M565016,x
565017,Minister of Armament,Abdul Rahman Shah,1936,1964,1999,3,Military Entrepreneur,Medium,M565017,x
565018,Minister of Armament,Thomas Ashton of Hyde,1941,1964,1999,5,Resource Industrialist,Medium,M565018,x
565019,Minister of Armament,H.R.H. Yahya ul-Naim,1936,1964,1999,7,laissez-faire capitalist,Medium,M565019,x
565020,Minister of Security,Lim Yew Hock,1936,1964,1999,3,Prince of Terror,Medium,M565020,x
565021,Minister of Security,Arthur E. Young,1942,1964,1999,5,Crime Fighter,Medium,M565021,x
565022,Minister of Security,Tuanku Muhammed of Negri Sembilan,1936,1964,1999,7,Efficient Sociopath,Medium,M565022,x
565023,Minister of Security,Abdul Hamid Ahmad,1942,1964,1999,7,Silent Lawyer,Medium,M565023,x
565024,Head of Military Intelligence,Muhammed Yang Besar,1936,1964,1999,3,Dismal Enigma,Medium,M565024,x
565025,Head of Military Intelligence,Lee Kuan Yew,1943,1964,1999,3,Industrial Specialist,Medium,M565025,x
565026,Head of Military Intelligence,Sir Gerald W.R. Templer,1943,1964,1999,5,Logistics Specialist,Medium,M565026,x
565027,Head of Military Intelligence,Abdul Manap bin Tolok,1936,1964,1999,7,Political Specialist,Medium,M565027,x
565028,Head of Military Intelligence,Idrus bin Tunka of Tampin,1941,1964,1999,7,Naval Intelligence Specialist,Medium,M565028,x
565029,Chief of Staff,Abdul Hamid Shah,1936,1964,1999,3,School of Defence,Medium,M565029,x
565030,Chief of Staff,Tun Abdul Rahman,1944,1964,1999,3,School of Manoeuvre,Medium,M565030,x
565031,Chief of Staff,Ibrahim al-Mansur,1936,1964,1999,7,School of Mass Combat,Medium,M565031,x
565032,Chief of Army,Muhib Sultan Badlishah,1936,1964,1999,3,Guns and Butter Doctrine,Medium,M565032,x
565033,Chief of Army,Robert Brooke-Popham,1942,1964,1999,5,Elastic Defence Doctrine,Medium,L1051,x
565034,Chief of Army,Sir Gerald W.R. Templer,1945,1964,1999,5,Decisive Battle Doctrine,Medium,M565034,x
565035,Chief of Army,Harun Putra of Perlis,1936,1964,1999,7,Armoured Spearhead Doctrine,Medium,M565035,x
565036,Chief of Navy,Mohammed Rahman Ali,1936,1964,1999,3,Base Control Doctrine,Medium,M565036,x
565037,Chief of Navy,Syed ul-Lail of Perlis,1936,1964,1999,7,Open Seas Doctrine,Medium,M565037,x
565038,Chief of Air Force,Wan Suleiman,1936,1964,1999,3,Carpet Bombing Doctrine,Medium,M565038,x
565039,Chief of Air Force,Hisam II of Selangor,1936,1964,1999,7,Naval Aviation Doctrine,Medium,M565039,x
565040,Chief of Staff,Lau Yew,1936,1964,1999,1,School of Mass Combat,Medium,MLY_lau_yew,x
565041,Chief of Army,Lau Yew,1936,1964,1999,1,Guns and Butter Doctrine,Medium,MLY_lau_yew,x
565042,Minister of Security,Ibrahim bin Haji Yaacob,1936,1964,1999,1,Silent Lawyer,Medium,MLY_ibrahim_yaacob,x
565043,Head of Military Intelligence,Ibrahim bin Haji Yaacob,1936,1964,1999,1,Political Specialist,Medium,MLY_ibrahim_yaacob,x
565044,Head of State,Yusof bin Ishak,1936,1964,1999,2,Barking Buffoon,High,MLY_yusof_ishak,x
565045,Head of Government,Yusof bin Ishak,1936,1964,1999,2,Flamboyant Tough Guy,High,MLY_yusof_ishak,x
565046,Minister of Armament,Aziz bin Ishak,1936,1964,1999,2,Resource Industrialist,Medium,MLY_aziz_ishak,x
565047,Minister of Security,Ishak Haji Muhammad,1936,1964,1999,2,Crime Fighter,High,MLY_ishak_haji,x
565048,Head of State,Under German administration,1963,1964,1999,7,Weary Stiffneck,High,kai_gercoladmi,x
565049,Head of State,Under German administration,1963,1964,1999,6,Weary Stiffneck,High,kai_gercoladmi,x
