MOR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
531001,Head of State,H.R.M. Muhammed V,1936,1964,1999,7,Powerhungry Demagogue,Very High,M531001,X
531002,Head of State,H.R.M. Mohammed Ben Arafa,1936,1964,1999,7,Popular Figurehead,Very High,Arafa,X
531003,Head of State,Allal el-Fassi,1936,1964,1999,7,Insignificant Layman,Very High,M531011,X
531004,Head of Government,Ahmed Belafrej,1936,1964,1999,7,Ambitious Union Boss,Very High,M531003,X
531005,Head of Government,Thami El Glaoui,1936,1964,1999,7,Flamboyant Tough Guy,Very High,Glaoui,X
531006,Head of Government,Allal el-Fassi,1936,1964,1999,7,Happy Amateur,Very High,M531011,X
531007,Foreign Minister,Ahmed Bahnini,1936,1964,1999,7,Apologetic Clerk,Very High,Bahnini,X
531008,Foreign Minister,Mbarek Bekkai,1936,1964,1999,7,The Cloak N Dagger Schemer,Very High,KRBekkai,X
531009,Foreign Minister,Mohammed al-Makki al-Nasiri,1936,1964,1999,7,Ideological Crusader,Very High,unknown,X
531010,Foreign Minister,Mohamed Hassan Ouazzani,1936,1964,1999,7,Biased Intellectual,Very High,Ouazzani,X
531011,Foreign Minister,Mohammed Lyazidi,1936,1964,1999,7,General Staffer,Very High,unknown,X
531012,Foreign Minister,Abu al-Fadl Abdullah bin Muhammad bin al-Siddiq al-Ghumari,1936,1964,1999,7,Great Compromiser,Very High,unknown,X
531013,Foreign Minister,Muhammad Taqi-ud-Din al-Hilali,1936,1964,1999,7,Iron Fisted Brute,Very High,unknown,X
531014,Minister of Armament,Abu al-Fadl Abdullah bin Muhammad bin al-Siddiq al-Ghumari,1936,1964,1999,7,Administrative Genius,Very High,unknown,X
531015,Minister of Armament,Mohamed Hassan Ouazzani,1936,1964,1999,7,Theoretical Scientist,Very High,Ouazzani,X
531016,Minister of Armament,Mohammed Lyazidi,1936,1964,1999,7,Military Entrepreneur,Very High,unknown,X
531017,Minister of Armament,Moha ou Said l'Irraoui,1936,1964,1999,7,Tank Proponent,Very High,unknown,X
531018,Minister of Armament,Mohammed Medbouh,1947,1964,1999,7,Air Superiority Proponent,Very High,KRMedbouh,X
531019,Minister of Armament,Driss el Alami,1937,1964,1999,7,Infantry Proponent,Very High,KRalami,X
531020,Minister of Armament,Ahmed Skirej,1936,1964,1999,7,Strategic Air Proponent,Very High,Skirej,X
531021,Minister of Armament,Mbarek Bekkai,1936,1964,1999,7,Resource Industrialist,Very High,KRBekkai,X
531022,Minister of Armament,Abdelkader el-Assimi,1936,1964,1999,7,Battle Fleet Proponent,Very High,unknown,X
531023,Minister of Armament,Mohammed al-Makki al-Nasiri,1936,1964,1999,7,Corrupt Kleptocrat,Very High,unknown,X
531024,Minister of Armament,Ahmed Belafrej,1936,1964,1999,7,Laissez-Faire Capitalist,Very High,M531003,X
531025,Minister of Armament,Muhammad ibn al-Habib,1936,1964,1999,7,Submarine Proponent,Very High,al-Habib,X
531026,Minister of Armament,Messaoud Chiguer,1936,1964,1999,7,Air to Ground Proponent,Very High,unknown,X
531027,Minister of Armament,Driss N'michi,1944,1964,1999,7,Air to Sea Proponent,Very High,M531034,X
531028,Minister of Security,Ahmed Belafrej,1936,1964,1999,7,Crime Fighter,Very High,M531003,X
531029,Minister of Security,Mbarek Bekkai,1936,1964,1999,7,Man of the People,Very High,KRBekkai,X
531030,Minister of Security,Mohammed Oufkir,1940,1964,1999,7,Efficient Sociopath,Very High,M531024,X
531031,Minister of Security,Muhammad Taqi-ud-Din al-Hilali,1936,1964,1999,7,Prince of Terror,Very High,unknown,X
531032,Minister of Security,Abu al-Fadl Abdullah bin Muhammad bin al-Siddiq al-Ghumari,1936,1964,1999,7,Silent Lawyer,Very High,unknown,X
531033,Minister of Security,Mohammed al-Makki al-Nasiri,1936,1964,1999,7,Crooked Kleptocrat,Very High,unknown,X
531034,Minister of Security,Messaoud Chiguer,1936,1964,1999,7,Compassionate Gentleman,Very High,unknown,X
531035,Minister of Security,Ahmed Bahnini,1936,1964,1999,7,Back Stabber,Very High,Bahnini,X
531036,Head of Military Intelligence,Allal el-Fassi,1936,1964,1999,7,Political Specialist,Very High,M531011,X
