MTN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
544001,Head of Government,Sekula Drljevic,1936,1964,1999,7,Naive Optimist,High,MTN-KR_Sekula_Drljevic,X
544002,Head of Government,Mitar Martinovic,1936,1964,1999,7,Old General,High,M544009,X
544003,Foreign Minister,Sekula Drljevic,1936,1964,1999,7,Ideological Crusader,High,MTN-KR_Sekula_Drljevic,X
544004,Minister of Armament,Risto Popovic,1936,1964,1999,7,Military Entrepreneur,High,MTN-KR_Risto_Popovic,X
544005,Minister of Security,Mihailo Ivanovic,1936,1964,1999,7,Silent Lawyer,High,MTN-KR_Mihajlo_Ivanovic,X
544006,Head of Military Intelligence,Savo Raspopovic,1936,1964,1999,7,Logistics Specialist,High,MTN-KR_Savo_raspopovic,X
544007,Chief of Staff,Krsto Popovic,1936,1964,1999,7,School of Defence,High,MTN-KR_Krsto_Zrnov_Popovic,X
544008,Chief of Army,Mitar Martinovic,1936,1964,1999,7,Static Defence Doctrine,High,M544009,X
544009,Chief of Navy,Mitar Martinovic,1936,1964,1999,7,Base Control Doctrine,High,M544009,X
544010,Chief of Air Force,Mirko Lalatovic,1936,1964,1999,7,Air Superiority Doctrine,High,MTN-KR_Mirko_Lalatovic,X
544011,Head of State,Nj.K.V. Danilo I Petrovic-Njegos,1936,1964,1999,6,Popular Figurehead,High,M544011,X
544012,Head of State,Ivan Milutinovic,1936,1964,1999,1,Die-hard Reformer,High,MTN-KR_Ivan_Milutinovic,X
544013,Head of Government,Jovan Plamenac,1936,1964,1999,7,Backroom Backstabber,High,MTN-KR_jovan_plamenac,X
544014,Head of Government,Blazo Jovanovic,1936,1964,1999,1,Ambitious Union Boss,High,MTN-KR_Jovanovic_Blazo,X
544015,Head of Government,Andrija Radovic,1936,1964,1999,6,Silent Workhorse,High,MTN-KR_Andrija_Radovic,X
544016,Foreign Minister,Andrija Radovic,1936,1964,1999,6,Apologetic Clerk,High,MTN-KR_Andrija_Radovic,X
544017,Foreign Minister,Milovan Djilas,1936,1964,1999,1,Ideological Crusader,High,MTN_KR-Milovan_Djilas,X
544018,Minister of Armament,Lazar Mijuskovic,1936,1964,1999,7,Resource Industrialist,High,MTN-KR_Lazar_Mijuskovic,X
544019,Minister of Armament,Mirko Mijuskovic,1936,1964,1999,6,Resource Industrialist,High,MTN-KR_Mirko_Mijuskovic,X
544020,Minister of Armament,Jefto Scepanovic,1936,1964,1999,1,Resource Industrialist,High,MTN-KR_Jefto_Scepanovic_Cajo,X
544021,Minister of Security,Krsto Popovic,1936,1964,1999,7,Crime Fighter,High,MTN-KR_Krsto_Zrnov_Popovic,X
544022,Minister of Security,Savo Vuletic,1936,1964,1999,6,Silent Lawyer,High,MTN-KR_Savo_Vuletic,X
544023,Minister of Security,Jovo Kapicic,1945,1964,1999,1,Efficient Sociopath,High,MTN-KR_Kapicic_Jovo,X
544024,Head of Military Intelligence,Mirko Lalatovic,1936,1964,1999,7,Technical Specialist,High,MTN-KR_Mirko_Lalatovic,X
544025,Head of Military Intelligence,Svetozar Vukmanovic,1936,1964,1999,1,Political Specialist,High,MTN-KR_Svetozar_Vukmanovic,X
544026,Chief of Staff,Pavle Djurisic,1936,1964,1999,7,School of Mass Combat,High,MTN-KR_Pavle_Djurisic,X
544027,Chief of Staff,Peko Dapcevic,1936,1964,1999,1,School of Mass Combat,High,MTN-KR_peko_dapcevic,X
544028,Chief of Army,Milo Matanovic,1936,1964,1999,7,Guns and Butter Doctrine,High,MTN-KR_Milo_Matanovic,X
544029,Chief of Army,Radomir Vesovic,1936,1964,1999,7,Decisive Battle Doctrine,High,MTN-KR_Radomir_Vesovic,X
544030,Chief of Army,Sava Kovacevic,1936,1964,1999,1,Decisive Battle Doctrine,High,MTN-KR_Sava_Kovacevic,X
544031,Chief of Navy,Milo Matanovic,1936,1964,1999,7,Indirect Approach Doctrine,High,MTN-KR_Milo_Matanovic,X
544032,Chief of Navy,Pero Popivoda,1936,1964,1999,1,Indirect Approach Doctrine,High,MTN-KR_Pero_Popivoda,X
544033,Chief of Air Force,Zaharije Ostojic,1936,1964,1999,7,Army Aviation Doctrine,High,MTN-KR_Zaharije_Ostojic,X
544034,Chief of Air Force,Bozo Lazarevic,1936,1964,1999,1,Army Aviation Doctrine,High,MTN-KR_Lazarevic_Bozo,X
544035,Head of State,Nj.K.V. Mihailo I Petrovic-Njegos,1936,1964,1999,6,Popular Figurehead,High,michaelpetronje kai,X
544036,Head of State,Nj.K.V. Danilo I Petrovic-Njegos,1936,1964,1999,7,Autocratic Charmer,High,M544011,X
544037,Head of State,Nj.K.V. Mihailo I Petrovic-Njegos,1936,1964,1999,7,Autocratic Charmer,High,michaelpetronje kai,X
544038,Foreign Minister,Jovan Plamenac,1936,1964,1999,7,Iron Fisted Brute,High,MTN-KR_jovan_plamenac,X
544039,Minister of Armament,Andrija Radovic,1936,1964,1999,6,Infantry Proponent,High,MTN-KR_Andrija_Radovic,X
544040,Minister of Armament,Sekula Drljevic,1936,1964,1999,7,Military Entrepreneur,High,MTN-KR_Sekula_Drljevic,X
544041,Minister of Armament,Svetozar Vukmanovic,1936,1964,1999,1,Infantry Proponent,High,MTN-KR_Svetozar_Vukmanovic,X
544042,Minister of Security,Jovan Plamenac,1936,1964,1999,7,Back Stabber,High,MTN-KR_jovan_plamenac,X
544043,Minister of Security,Blazo Jovanovic,1936,1964,1999,1,Silent Lawyer,High,MTN-KR_Jovanovic_Blazo,X
544044,Chief of Staff,Bajo Stanisic,1936,1964,1999,7,School of Defence,High,MTN-KR_bajo_stanisic,X
544045,Chief of Navy,Radomir Vesovic,1936,1964,1999,7,Indirect Approach Doctrine,High,MTN-KR_Radomir_Vesovic,X
544046,Minister of Security,Risto Popovic,1936,1964,1999,7,Crime Fighter,High,MTN-KR_Risto_Popovic,X
