NIC,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
48001,Head of State,Juan Bautista Sacasa,1936,1964,1999,6,Benevolent Gentleman,High,M48001,x
48002,Head of Government,Otto Cortes Fernandez,1936,1964,1999,6,Silent Workhorse,High,M47035,x
48003,Foreign Minister,Leonardo Argüello Vargas,1936,1964,1999,6,Iron Fisted Brute,High,M48003,x
48004,Minister of Armament,Anastasio Somoza García,1936,1964,1999,8,Corrupt Kleptocrat,Very High,M48004,x
48005,Minister of Security,Alcacio Trelles Mendoza,1936,1964,1999,5,Crooked Kleptocrat,Very High,M48005,x
48006,Head of Military Intelligence,Leonardo Argüello Vargas,1936,1964,1999,6,Technical Specialist,Medium,M48003,x
48007,Chief of Staff,Anastasio Somoza García,1936,1964,1999,8,School of Defence,Very High,M48004,x
48008,Chief of Army,Augusto Caraval Antonio,1936,1964,1999,6,Elastic Defence Doctrine,Medium,M48008,x
48009,Chief of Navy,Gustavo Flores Mendienta,1936,1964,1999,6,Base Control Doctrine,Very High,M48009,x
48010,Chief of Air Force,Guillermo R. Cuadra,1936,1964,1999,6,Naval Aviation Doctrine,Medium,M48010,x
,Replacements,,,,,,,,,x
48011,Head of State,Anastasio Somoza García,1936,1964,1999,8,Resigned Generalissimo,High,M48004,x
48012,Head of State,Carlos Brenes Jarquin,1936,1964,1999,7,Autocratic Charmer,High,M48032,x
48013,Head of State,Leon Cabrales,1936,1964,1999,4,Insignificant Layman,High,M48011,x
48014,Head of State,Tobias Zúñiaga Montúfar,1936,1964,1999,4,Stern Imperialist,High,M47033,x
48015,Head of State,Otto Cortes Fernandez,1936,1964,1999,6,Insignificant Layman,High,M47035,x
48016,Head of State,Rafael Calderon Guardia,1940,1964,1999,6,Barking Buffoon,High,M47036,x
48017,Head of State,Teodoro Picado Michalski,1944,1964,1999,6,Resigned Generalissimo,High,M47037,x
48018,Head of State,Alejandro de Castro Lopez,1944,1964,1999,4,Barking Buffoon,High,M47034,x
48019,Head of State,Benjamin Lacayo Sacasa,1947,1964,1999,6,Popular Figurehead,High,M48034,x
48020,Head of State,Victor Roman y Reyes,1947,1964,1999,7,Pig-headed Isolationist,High,M48035,x
48021,Head of State,Santos León Herrera,1947,1964,1999,6,Pig-headed Isolationist,High,M47133,x
48022,Head of State,Leonardo Argüello Vargas,1947,1964,1999,6,Die-hard Reformer,High,M48003,x
48023,Head of Government,Leon Cabrales,1936,1964,1999,6,Happy Amateur,High,M48011,x
48024,Head of Government,Anastasio Somoza García,1936,1964,1999,8,Old General,High,M48004,x
48025,Head of Government,Adolfo Urribe Castro,1936,1964,1999,6,Smiling Oilman,High,M47044,x
48026,Head of Government,Tobias Zúñiaga Montúfar,1936,1964,1999,4,Ambitious Union Boss,High,M47033,x
48027,Head of Government,Leon Cortes Castro,1936,1964,1999,4,Political Protege,NA,M47002,x
48028,Head of Government,Vicente Morales,1937,1964,1999,6,Naive Optimist,High,M48038,x
48029,Head of Government,Carlos A. Villanueva,1939,1964,1999,6,Political Protege,High,M48039,x
48030,Head of Government,Alcacio Trelles Mendoza,1941,1964,1999,6,Corporate Suit,High,M48005,x
48031,Head of Government,Carlos Brenes Jarquin,1944,1964,1999,6,Silent Workhorse,High,M48032,x
48032,Head of Government,Guillermo Cuadra,1947,1964,1999,6,Ambitious Union Boss,High,M48012,x
48033,Head of Government,Santos León Herrera,1947,1964,1999,6,Corporate Suit,High,M47133,x
48034,Head of Government,Alejandro de Castro Lopez,1944,1964,1999,4,Happy Amateur,High,M47034,x
48035,Head of Government,Teodoro Picado Michalski,1940,1964,1999,6,Old General,High,M47037,x
48036,Head of Government,Rafael Calderon Guardia,1944,1964,1999,6,Flamboyant Tough Guy,High,M47046,x
48037,Foreign Minister,Anastasio Somoza García,1936,1964,1999,8,The Cloak N Dagger Schemer,High,M48004,x
48038,Foreign Minister,Raúl Gundían,1936,1964,1999,7,General Staffer,Medium,M47003,x
48039,Foreign Minister,Adolfo Urribe Castro,1936,1964,1999,6,Apologetic Clerk,Medium,M47044,x
48040,Foreign Minister,Dario Darío y Debayle,1936,1964,1999,6,General Staffer,High,M48043,x
48041,Foreign Minister,Raúl Gundían,1936,1964,1999,4,General Staffer,Medium,M47003,x
48042,Foreign Minister,Leon Cabrales,1936,1964,1999,4,Biased Intellectual,High,M48011,x
48043,Foreign Minister,Leon Cortes Castro,1936,1964,1999,4,The Cloak N Dagger Schemer,Medium,M47002,x
48044,Foreign Minister,Manuel Cordero Reyes,1937,1964,1999,6,Great Compromiser,High,M48044,x
48045,Foreign Minister,Manuel F. Jímenez,1938,1964,1999,4,General Staffer,Medium,M47054,x
48046,Foreign Minister,Albert Echandi Montero,1939,1964,1999,4,Iron Fisted Brute,Medium,M47055,x
48047,Foreign Minister,Mariano Argüello Vargas,1939,1964,1999,6,Biased Intellectual,High,M48044,x
48048,Foreign Minister,Roberto Brenes Mesen,1940,1964,1999,4,Apologetic Clerk,Medium,M47056,x
48049,Foreign Minister,Rafael Calderon Guardia,1940,1964,1999,6,Biased Intellectual,Medium,M47036,x
48050,Foreign Minister,Tobias Zúñiaga Montúfar,1942,1964,1999,4,Biased Intellectual,High,M47033,x
48051,Foreign Minister,Julio Acosta Garcia,1942,1964,1999,6,Great Compromiser,Medium,M47004,x
48052,Foreign Minister,Teodoro Picado Michalski,1943,1964,1999,6,Ideological Crusader,High,M47037,x
48053,Foreign Minister,Manuel de Peralta,1944,1964,1999,6,Iron Fisted Brute,Medium,M47063,x
48054,Foreign Minister,Chico Orlich Bolmarich,1944,1964,1999,4,Ideological Crusader,High,M47058,x
48055,Foreign Minister,Victor Roman y Reyes,1944,1964,1999,7,General Staffer,Very High,M48035,x
48056,Foreign Minister,Silvio Argüello Cardenal,1947,1964,1999,6,Great Compromiser,Very High,M48047,x
48057,Minister of Armament,Nicolas Juarez Cejudo,1936,1964,1999,6,Air to Ground Proponent,Very High,M48049,x
48058,Minister of Armament,Tomas Francisco Medina,1936,1964,1999,7,Corrupt Kleptocrat,Medium,M48050,x
48059,Minister of Armament,Juan Cortes Castro,1936,1964,1999,6,laissez-faire capitalist,Medium,M47073,x
48060,Minister of Armament,Julio Acosta Garcia,1936,1964,1999,4,Military Entrepreneur,Medium,M47004,x
48061,Minister of Armament,Ignacio Mendéz Alino,1936,1964,1999,8,Corrupt Kleptocrat,High,M47014,x
48062,Minister of Armament,Carlos Brenes Jarquin,1937,1964,1999,6,laissez-faire capitalist,High,M48032,x
48063,Minister of Armament,Otto Cortes Fernandez,1938,1964,1999,6,Administrative Genius,High,M47035,x
48064,Minister of Armament,Salvador Buenrostrí Cardeñas,1939,1964,1999,6,Air Superiority Proponent,High,M48052,x
48065,Minister of Armament,Chico Orlich Bolmarich,1940,1964,1999,4,Tank Proponent,High,M47058,x
48066,Minister of Armament,Leonardo Argüello Vargas,1941,1964,1999,6,Infantry Proponent,High,M48003,x
