NOR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
14049,Foreign Minister,Adam Egede Nissen,0,Iron Fisted Brute,M14021
14004,Minister of Armament,Adolf Indrebø,3,Resource Industrialist,M14004
14038,Head of Government,Adolf Worm-Müller,4,Happy Amateur,M14038
14048,Foreign Minister,Albert Viljam Hagelin,8,Biased Intellectual,M14048
14061,Minister of Armament,Albert Viljam Hagelin,8,Tank Proponent,M14048
14006,Head of Military Intelligence,Alfred Roscher-Lund,3,Logistics Specialist,M14006
14040,Head of Government,Anders Lange,7,Happy Amateur,M14040
14028,Chief of Army,Arne Gauslå,1,Elastic Defence Doctrine,M14027
14027,Chief of Staff,Arne Gauslå,1,School of Defence,M14027
14068,Minister of Security,Arne Sunde,4,Silent Lawyer,M14068
14066,Minister of Security,Asbjørn Bryhn,3,Crime Fighter,M14066
14026,Head of Military Intelligence,Asbjorn Sunde,0,Political Specialist,M14026
14057,Minister of Armament,Benjamin Vogt,6,Battle Fleet Proponent,M14057
14105,Chief of Navy,Bertel Bruun,8,Open Seas Doctrine,M14019
14071,Head of Military Intelligence,Bertram Dybwad Brochmann,5,Dismal Enigma,M14071
14014,Minister of Security,Bertram Dybwad Brochmann,3,Man of the People,M14071
14076,Chief of Staff,Birger Frederik Motzfeldt,3,School of Manoeuvre,M14076
14075,Chief of Staff,Birger Ljungberg,3,School of Defence,M14007
14090,Chief of Air Force,Bjarne Øen,3,Vertical Envelopment Doctrine,M14090
14046,Foreign Minister,C.J. Hambro,6,Great Compromiser,M14036
14036,Head of Government,C.J. Hambro,6,Silent Workhorse,M14036
14095,Head of Military Intelligence,Carl Fröhlich Hansen,8,Industrial Specialist,M14063
14063,Minister of Armament,Carl Fröhlich Hansen,8,Military Entrepreneur,M14063
14092,Chief of Air Force,Carl Gulliksen,4,Air Superiority Doctrine,M14092
14085,Chief of Navy,Christopher Meyer,5,Base Control Doctrine,M14085
14037,Head of Government,Einar Gerhardsen,3,Political Protege,M14037
14108,Head of Government,Emil Lövlien,0,Smiling Oilman,M14022
14064,Minister of Armament,Emil Lövlien,0,Military Entrepreneur,M14022
14045,Foreign Minister,Erik Andreas Colban,5,Great Compromiser,M14045
14054,Minister of Armament,Erik Brofoss,3,Air Superiority Proponent,M14054
14011,Head of Military Intelligence,Erling Sandberg,6,Logistics Specialist,M14014
14059,Minister of Armament,Erling Sandberg,4,Infantry Proponent,M14014
14069,Minister of Security,Erling Sandberg,6,Compassionate Gentleman,M14014
14050,Minister of Armament,Finn Hagerup,3,Submarine Proponent,M14050
14055,Minister of Armament,Frederic Beichmann,4,Infantry Proponent,M14055
14052,Minister of Armament,Fredrik Monsen,3,Tank Proponent,M14052
14062,Minister of Armament,Fredrik Prytz,8,Submarine Proponent,M14062
14073,Head of Military Intelligence,Gunnar Jahn,4,Industrial Specialist,M14060
14060,Minister of Armament,Gunnar Jahn,4,laissez-faire capitalist,M14060
