NZL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
55001,Head of State,George de Vere Viscount Galway,1936,1964,1999,3,Stern Imperialist,High,M55001,x
55002,Head of Government,Michael Joseph Savage,1936,1964,1999,3,Silent Workhorse,High,M55002,x
55003,Foreign Minister,Michael Joseph Savage,1936,1964,1999,3,Great Compromiser,Very High,M55002,x
55004,Minister of Armament,Walter Nash,1936,1964,1999,3,Resource Industrialist,High,M55004,x
55005,Minister of Security,William Parry,1936,1964,1999,3,Compassionate Gentleman,High,M55005,x
55006,Head of Military Intelligence,Kenneth Folkes,1936,1964,1999,3,Dismal Enigma,Medium,M55006,x
55007,Chief of Staff,William Sinclair-Burgess,1936,1964,1999,5,School of Mass Combat,High,M55007,x
55008,Chief of Army,William Sinclair-Burgess,1936,1964,1999,5,Elastic Defence Doctrine,High,M55007,x
55009,Chief of Navy,E.R. Drummond,1936,1964,1999,5,Base Control Doctrine,High,M55009,x
55010,Chief of Air Force,R.A. Cochrane,1936,1964,1999,5,Air Superiority Doctrine,High,M55010,x
55032,Head of State,George de Vere Viscount Galway,1936,1964,1999,6,Stern Imperialist,High,M55001,x
55033,Head of State,Norton Louis Baron Newall,1941,1964,1999,3,Autocratic Charmer,High,M55033,x
55034,Head of State,Norton Louis Baron Newall,1941,1964,1999,5,Autocratic Charmer,High,M55033,x
55035,Head of State,Bernhard Baron Freyberg,1946,1964,1999,3,Resigned Generalissimo,High,M55035,x
55036,Head of State,Bernhard Baron Freyberg,1946,1964,1999,5,Resigned Generalissimo,High,M55035,x
55037,Head of Government,Adam Hamilton,1938,1964,1999,6,Corporate Suit,High,M55037,x
55038,Head of Government,Peter Fraser,1940,1964,1999,3,Political Protege,High,M55038,x
55039,Head of Government,Sydney Holland,1943,1964,1999,6,Smiling Oilman,High,M55039,x
55040,Foreign Minister,Frank Langstone,1938,1964,1999,3,Ideological Crusader,Low,M55040,x
55041,Foreign Minister,Peter Fraser,1940,1964,1999,3,Biased Intellectual,Very High,M55038,x
55042,Foreign Minister,Walter Nash,1945,1964,1999,3,Apologetic Clerk,High,M55004,x
55043,Foreign Minister,James Allen,1938,1964,1999,5,Great Compromiser,Very High,M55043,x
55044,Foreign Minister,Adam Hamilton,1938,1964,1999,6,Apologetic Clerk,Very High,M55037,x
55045,Foreign Minister,William Sinclair-Burgess,1940,1964,1999,6,General Staffer,High,M55007,x
55046,Foreign Minister,Gordon Coates,1942,1964,1999,6,The Cloak N Dagger Schemer,High,M55046,x
55047,Foreign Minister,Sydney Holland,1943,1964,1999,6,Great Compromiser,Very High,M55039,x
55048,Minister of Armament,Dan Sullivan,1936,1964,1999,3,Resource Industrialist,High,M55048,x
55049,Minister of Armament,William J. Jordan,1939,1964,1999,3,laissez-faire capitalist,High,M55049,x
55050,Minister of Armament,L.M. Isitt,1939,1964,1999,3,Air to Sea Proponent,High,M55050,x
55051,Minister of Armament,Keith J. Holyoake,1944,1964,1999,3,Military Entrepreneur,High,M55051,x
55052,Minister of Armament,W.E. Parry,1942,1964,1999,5,Submarine Proponent,High,M55052,x
55053,Minister of Armament,R.A. Cochrane,1936,1964,1999,6,Air Superiority Proponent,High,M55010,x
55054,Minister of Armament,Sydney Holland,1938,1964,1999,6,laissez-faire capitalist,High,M55039,x
55055,Minister of Armament,A. de Terrotte Neville,1939,1964,1999,6,Strategic Air Proponent,High,M55055,x
55056,Minister of Armament,W.H. Stratton,1939,1964,1999,6,Air to Ground Proponent,High,M55056,x
55057,Minister of Armament,Sir Frederick Field,1942,1964,1999,6,Battle Fleet Proponent,High,M55057,x
55058,Minister of Armament,Ken MacKenzie,1943,1964,1999,6,Theoretical Scientist,High,M55058,x
55059,Minister of Armament,Edward Puttick,1944,1964,1999,6,Infantry Proponent,High,M55059,x
55060,Minister of Armament,J.E. Duigan,1945,1964,1999,6,Tank Proponent,High,M55060,x
55061,Minister of Security,Edward Blundell,1938,1964,1999,3,Silent Lawyer,High,M55061,x
55062,Minister of Security,Robert Semple,1940,1964,1999,3,Man of the People,High,M55062,x
55063,Minister of Security,James Allen,1936,1964,1999,5,Back Stabber,Very High,M55043,x
55064,Minister of Security,E.R. Drummond,1943,1964,1999,5,Efficient Sociopath,High,M55009,x
55065,Minister of Security,Gordon Coates,1938,1964,1999,6,Silent Lawyer,High,M55046,x
55066,Minister of Security,Adam Hamilton,1939,1964,1999,6,Crime Fighter,High,M55037,x
