OMN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
92001,Head of State,H.R.M. Said ibn Timur,1936,1964,1999,7,Ruthless Powermonger,Very High,M92001,x
92002,Head of State,H.R.M. Thabit bin ‘Abdu’llah,1936,1964,1999,8,ruthless dictator,Very High,unknown,x
92003,Head of Government,Said ibn Timur,1936,1964,1999,7,Backroom Backstabber,Very High,M92001,x
92004,Head of Government,Thabit bin ‘Abdu’llah,1936,1964,1999,8,Silent Workhorse,Very High,unknown,x
92005,Foreign Minister,Said ibn Timur,1936,1964,1999,7,General Staffer,Very High,M92001,x
92006,Foreign Minister,Ibrahim ibn Timur,1944,1964,1999,7,Iron Fisted Brute,Very High,M92012,x
92007,Foreign Minister,Thabit bin ‘Abdu’llah,1936,1964,1999,8,General Staffer,Very High,unknown,x
92008,Foreign Minister,Gharib bin Thabit,1936,1964,1999,8,The Cloak N Dagger Schemer,Very High,unknown,x
92009,Foreign Minister,Salim bin Kindeh,1936,1964,1999,8,Biased Intellectual,Very High,unknown,x
92010,Foreign Minister,Dhiyab bin Fahad,1936,1964,1999,7,Great Compromiser,Very High,unknown,x
92011,Foreign Minister,Abbas bin Muhammad,1936,1964,1999,7,Ideological Crusader,Very High,unknown,x
92012,Foreign Minister,Mahmud bin Muhammad,1936,1964,1999,7,Apologetic Clerk,Very High,unknown,x
92013,Minister of Armament,Said ibn Timur,1936,1964,1999,7,Military Entrepreneur,Very High,M92001,x
92014,Minister of Armament,Thabit bin ‘Abdu’llah,1936,1964,1999,8,Military Entrepreneur,Very High,unknown,x
92015,Minister of Armament,Ali ibn Timur,1945,1964,1999,7,Corrupt Kleptocrat,Very High,M92015,x
92016,Minister of Armament,Salim bin Faisal,1936,1964,1999,7,Infantry Proponent,Very High,unknown,x
92017,Minister of Armament,Abdallah ibn Timur,1936,1964,1999,7,Air Superiority Proponent,Very High,M92010,x
92018,Minister of Armament,Fawzi ibn Timur,1945,1964,1999,7,Strategic Air Proponent,Very High,M92028,x
92019,Minister of Armament,Zahir ibn Timur,1945,1964,1999,7,Tank Proponent,Very High,M92024,x
92020,Minister of Armament,Hamad bin Faisal,1936,1964,1999,7,Battle fleet Proponent,Very High,unknown,x
92021,Minister of Armament,Ali bin Serhan,1936,1964,1999,8,Submarine Proponent,Very High,unknown,x
92022,Minister of Armament,Sa’id bin Kindeh,1936,1964,1999,8,air to sea proponent,Very High,unknown,x
92023,Minister of Armament,Thanaiyan bin Hamad,1936,1964,1999,8,air to ground proponent,Very High,unknown,x
92024,Minister of Armament,Ali bin Faisal,1936,1964,1999,7,Resource Industrialist,Very High,unknown,x
92025,Minister of Armament,Muhammad bin Muhammad,1936,1964,1999,7,Administrative Genius,Very High,unknown,x
92026,Minister of Armament,Ahmad bin Muhammad,1936,1964,1999,7,Laissez-Faire Capitalist,Very High,unknown,x
92027,Minister of Armament,Salim bin Kindeh,1936,1964,1999,8,Theoretical Scientist,Very High,unknown,x
92028,Minister of Security,Said ibn Timur,1936,1964,1999,7,Efficient Sociopath,Very High,M92001,x
92029,Minister of Security,Ali ibn Timur,1945,1964,1999,7,Crooked Kleptocrat,Very High,M92015,x
92030,Minister of Security,Ibrahim ibn Timur,1944,1964,1999,7,Prince of Terror,Very High,M92012,x
92031,Minister of Security,Thabit bin ‘Abdu’llah,1936,1964,1999,8,Efficient Sociopath,Very High,unknown,x
92032,Minister of Security,Malik bin Faisal,1936,1964,1999,7,Silent Lawyer,Very High,unknown,x
92033,Minister of Security,Dhiyab bin Fahad,1936,1964,1999,7,Man of the People,Very High,unknown,x
92034,Minister of Security,Shihab bin Faisal,1936,1964,1999,7,Compassionate Gentleman,Very High,unknown,x
92035,Minister of Security,Hilal bin Muhammad,1936,1964,1999,7,Crime Fighter,Very High,unknown,x
92036,Minister of Security,Mahmud bin Muhammad,1936,1964,1999,7,Back Stabber,Very High,unknown,x
92037,Head of Military Intelligence,Ali bin Faisal,1936,1964,1999,7,Industrial Specialist,Very High,unknown,x
92038,Head of Military Intelligence,Gharib bin Thabit,1936,1964,1999,8,Dismal Enigma,Very High,unknown,x
92039,Head of Military Intelligence,Hamud bin Faisal,1936,1964,1999,7,Naval Intelligence Specialist,Very High,unknown,x
92040,Head of Military Intelligence,Abbas bin Muhammad,1936,1964,1999,7,Political Specialist,Very High,unknown,x
92041,Head of Military Intelligence,Salim bin Kindeh,1936,1964,1999,8,Technical Specialist,Very High,unknown,x
92042,Head of Military Intelligence,Salim bin Faisal,1936,1964,1999,7,Logistics Specialist,Very High,unknown,x
92043,Chief of Staff,Said ibn Timur,1936,1964,1999,7,School of Defence,Very High,M92001,x
92044,Chief of Staff,Jamil ibn Timur,1945,1964,1999,7,School of Manoeuvre,Very High,M92021,x
92045,Chief of Staff,Zahir ibn Timur,1945,1964,1999,7,School of Fire Support,Very High,M92024,x
92046,Chief of Staff,Salim bin Faisal,1936,1964,1999,7,School of Mass Combat,Very High,unknown,x
92047,Chief of Staff,Thabit bin ‘Abdu’llah,1936,1964,1999,8,School of Defence,Very High,unknown,x
92048,Chief of Staff,Thanaiyan bin Hamad,1936,1964,1999,8,School of Psychology,Very High,unknown,x
92049,Chief of Army,Said ibn Timur,1936,1964,1999,7,Static Defence Doctrine,Very High,M92001,x
92050,Chief of Army,Jamil ibn Timur,1945,1964,1999,7,Elastic Defence Doctrine,Very High,M92021,x
92051,Chief of Army,Zahir ibn Timur,1945,1964,1999,7,Armoured Spearhead Doctrine,Very High,M92024,x
92052,Chief of Army,Salim bin Faisal,1936,1964,1999,7,Decisive Battle Doctrine,Very High,unknown,x
92053,Chief of Army,Thabit bin ‘Abdu’llah,1936,1964,1999,8,Static Defence Doctrine,Very High,unknown,x
92054,Chief of Army,Thanaiyan bin Hamad,1936,1964,1999,8,Guns and Butter Doctrine,Very High,unknown,x
92055,Chief of Navy,Nadir bin Faisal,1936,1964,1999,7,Base Control Doctrine,Very High,unknown,x
92056,Chief of Navy,Hamad bin Faisal,1936,1964,1999,7,Decisive Naval Battle Doctrine,Very High,unknown,x
92057,Chief of Navy,Hamud bin Faisal,1936,1964,1999,7,Open Seas Doctrine,Very High,unknown,x
92058,Chief of Navy,Sa’id bin Kindeh,1936,1964,1999,8,Power Projection Doctrine,Very High,unknown,x
92059,Chief of Navy,Ali bin Serhan,1936,1964,1999,8,Indirect Approach Doctrine,Very High,unknown,x
92060,Chief of Air Force,Abdallah ibn Timur,1936,1964,1999,7,Air Superiority Doctrine,Very High,M92010,x
92061,Chief of Air Force,Fawzi ibn Timur,1945,1964,1999,7,Carpet Bombing Doctrine,Very High,M92028,x
92062,Chief of Air Force,Nadir bin Faisal,1936,1964,1999,7,Vertical Envelopment Doctrine,Very High,unknown,x
92063,Chief of Air Force,Sa’id bin Kindeh,1936,1964,1999,8,Naval Aviation Doctrine,Very High,unknown,x
92064,Chief of Air Force,Thanaiyan bin Hamad,1936,1964,1999,8,Army Aviation Doctrine,Very High,unknown,x
92065,Foreign Minister,Djaffar ibn al-Mansur,1938,1964,1999,8,General Staffer,High,kaiserreich Djaffar,x
92066,Foreign Minister,al-Husayn ibn Ali,1946,1964,1999,8,General Staffer,High,kaiserreich al-Husayn,x
92067,Minister of Armament,Djaffar ibn al-Mansur,1938,1964,1999,8,Resource Industrialist,High,kaiserreich Djaffar,x
92068,Minister of Armament,al-Husayn ibn Ali,1946,1964,1999,8,Resource Industrialist,High,kaiserreich al-Husayn,x
92069,Minister of Security,Saleh al Qu'aiti,1938,1964,1999,8,Man of the People,High,kaiserreich Saleh,x
92070,Head of Military Intelligence,Saleh al Qu'aiti,1938,1964,1999,8,Industrial Specialist,High,kaiserreich Saleh,x
