PAN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
95001,Head of State,Harmodio Arías de la Madrid,1936,1964,1999,5,Autocratic Charmer,High,M95001,x
95002,Head of Government,Harmodio Arías de la Madrid,1936,1964,1999,5,Corporate Suit,High,M95001,x
95003,Foreign Minister,Narciso Garay Díaz,1936,1964,1999,4,Ideological Crusader,Medium,M95003,x
95004,Minister of Armament,Daniel C. Pinzon,1936,1964,1999,5,laissez-faire capitalist,Medium,M95004,x
95005,Minister of Security,Ignacio E. Mendoza,1936,1964,1999,4,Back Stabber,Medium,M95005,x
95006,Head of Military Intelligence,Ezequeil Fernandez Jaen,1936,1964,1999,5,Dismal Enigma,Medium,M95006,x
95007,Chief of Staff,Juan Remón,1936,1964,1999,4,School of Psychology,Medium,M95007,x
95008,Chief of Army,Bolivar Villarino,1936,1964,1999,5,Guns and Butter Doctrine,Medium,M95008,x
95009,Chief of Navy,Juan A. Hernandez,1936,1964,1999,4,Decisive Naval Battle Doctrine,Medium,M95009,x
95010,Chief of Air Force,Juan Remón,1936,1964,1999,5,Naval Aviation Doctrine,Medium,M95007,x
95031,Head of State,Juan Demosthenes Arosemana,1936,1964,1999,6,Resigned Generalissimo,High,M95031,x
95032,Head of State,Arnulfo Arías de la Madrid,1940,1964,1999,5,Popular Figurehead,High,M95032,x
95033,Head of State,Riccardo de la Guardia,1941,1964,1999,7,Powerhungry Demagogue,High,M95013,x
95034,Head of State,Arnulfo Arías de la Madrid,1945,1964,1999,4,Autocratic Charmer,High,M95034,x
95035,Head of State,Enrique Jimenez Brín,1946,1964,1999,7,Stern Imperialist,High,M95035,x
95036,Head of Government,Carlos Zavala,1936,1964,1999,6,Old Admiral,High,M95036,x
95037,Head of Government,Arnulfo Arías de la Madrid,1940,1964,1999,5,Corporate Suit,High,M95032,x
95038,Head of Government,Augusto Samuel Boyd,1941,1964,1999,7,Ambitious Union Boss,High,M95038,x
95039,Head of Government,Manuel D. Granados,1945,1964,1999,4,Silent Workhorse,High,M95039,x
95040,Head of Government,José Augustín Arango,1946,1964,1999,7,Political Protege,High,M95011,x
95041,Foreign Minister,Raul de Roux y García,1936,1964,1999,5,Biased Intellectual,Medium,M95041,x
95042,Foreign Minister,José Lefebvré de la Ossa,1936,1964,1999,6,Great Compromiser,Medium,M95042,x
95043,Foreign Minister,Narciso Garay Díaz,1938,1964,1999,7,Apologetic Clerk,Medium,M95003,x
95044,Foreign Minister,Juan Demosthenes Arosemana,1938,1964,1999,6,The Cloak N Dagger Schemer,Medium,M95031,x
95045,Foreign Minister,Augusto Samuel Boyd,1940,1964,1999,5,Iron Fisted Brute,Medium,M95038,x
95046,Foreign Minister,Riccardo de la Guardia,1941,1964,1999,7,Biased Intellectual,High,M95013,x
95047,Foreign Minister,Octavio Fábrega López,1942,1964,1999,6,Iron Fisted Brute,High,M95047,x
95048,Foreign Minister,Samuel Luis Aranga,1945,1964,1999,7,Great Compromiser,High,M95048,x
95049,Foreign Minister,Roberto Jímenez de Roux,1945,1964,1999,5,Great Compromiser,High,M95049,x
95050,Foreign Minister,Horacío Alfaro Díaz,1946,1964,1999,7,General Staffer,High,M95050,x
95051,Foreign Minister,Hermaño Castillo Ballidó,1947,1964,1999,6,Apologetic Clerk,High,M95051,x
95052,Minister of Armament,Nestor Urribe Suarez,1936,1964,1999,6,Infantry Proponent,Medium,M95052,x
95053,Minister of Armament,José Pezet,1940,1964,1999,4,Resource Industrialist,Medium,M95053,x
95056,Minister of Armament,Enrique Jiménez Brín,1945,1964,1999,4,Tank Proponent,Medium,M95035,x
95057,Minister of Armament,Ignacio E. Mendoza,1946,1964,1999,6,Infantry Proponent,Medium,M95005,x
95058,Minister of Security,Raoul Arias Amador,1936,1964,1999,6,Man of the People,Medium,M95015,x
95059,Minister of Security,Carlos Mendoza,1940,1964,1999,4,Crime Fighter,Medium,M95059,x
95060,Minister of Security,Juan Remon,1941,1964,1999,6,Man of the People,Medium,M95007,x
