PAR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
42001,Head of State,Eusebio Ayala,1936,1964,1999,5,Benevolent Gentleman,High,M42001,x
42002,Head of Government,Eusebio Ayala,1936,1964,1999,5,Corporate Suit,High,M42001,x
42003,Foreign Minister,Luís Alberto Riart,1936,1964,1999,5,The Cloak N Dagger Schemer,Medium,M42003,x
42004,Minister of Armament,Federico Chaves,1936,1964,1999,5,Infantry Proponent,Medium,M42004,x
42005,Minister of Security,Nicolas Delgado,1936,1964,1999,5,Prince of Terror,Medium,M42005,x
42006,Head of Military Intelligence,Juan Manuel Frutos,1936,1964,1999,6,Logistics Specialist,Medium,M42006,x
42007,Chief of Staff,Igor Ern,1936,1964,1999,5,School of Defence,Medium,M42007,x
42008,Chief of Army,Manuel T. Aponte,1936,1964,1999,5,Static Defence Doctrine,Medium,M42008,x
42009,Chief of Navy,Manuel T. Aponte,1936,1964,1999,5,Indirect Approach Doctrine,Medium,M42008,x
42010,Chief of Air Force,Vicente Almonacid,1936,1964,1999,5,Air Superiority Doctrine,Medium,M42010,x
42011,Head of State,Rafael Franco,1936,1964,1999,3,Resigned Generalissimo,High,M42047,x
42012,Head of State,Felix Paiva,1937,1964,1999,3,Insignificant Layman,High,M42062,x
42013,Head of State,José Estigarribia Insaurralde,1939,1964,1999,3,Autocratic Charmer,High,M42063,x
42014,Head of State,Higenio Morinigo Martinez,1940,1964,1999,7,Barking Buffoon,High,M42064,x
42015,Head of Government,Eugenio Garay,1936,1964,1999,3,Ambitious Union Boss,High,M42065,x
42016,Head of Government,Felix Paiva,1937,1964,1999,3,Smiling Oilman,High,M42062,x
42017,Head of Government,José Estigarribia Insaurralde,1939,1964,1999,3,Happy Amateur,High,M42063,x
42018,Head of Government,Higenio Morinigo Martinez,1940,1964,1999,7,Old General,High,M42064,x
42019,Head of Government,Raimundo Rolon Villasanti,1944,1964,1999,6,Political Protege,High,M42069,x
42020,Foreign Minister,Juan Stefanich,1936,1964,1999,3,Ideological Crusader,Medium,M42049,x
42021,Foreign Minister,Cecilio Báez,1937,1964,1999,3,Iron Fisted Brute,Medium,M42072,x
42022,Foreign Minister,Luís Avelino Argaña,1937,1964,1999,4,Great Compromiser,Medium,M42041,x
42023,Foreign Minister,Justo Pastór Prieto,1939,1964,1999,6,Ideological Crusader,Medium,M42074,x
42024,Foreign Minister,Elías Ayala,1939,1964,1999,6,Biased Intellectual,Medium,M42043,x
42025,Foreign Minister,Tomas A. Salomoni,1939,1964,1999,3,Ideological Crusader,Medium,M42076,x
42026,Foreign Minister,Luís Avelino Argaña,1940,1964,1999,7,Great Compromiser,Medium,M42041,x
42027,Foreign Minister,Juan Manuel Alvarté,1944,1964,1999,6,Apologetic Clerk,Medium,M42079,x
42028,Foreign Minister,Horacío Chiriani Cotor,1945,1964,1999,7,Ideological Crusader,Medium,M42080,x
42029,Foreign Minister,Antonio Alberto Taboada,1946,1964,1999,6,The Cloak N Dagger Schemer,Medium,M42081,x
42030,Foreign Minister,Cesar Augusto Vasconcellos,1947,1964,1999,7,General Staffer,Medium,M42082,x
42031,Minister of Armament,Riccardo Odriosola,1936,1964,1999,2,Resource Industrialist,Medium,M42051,x
42032,Minister of Armament,José Estigarribia Insaurralde,1937,1964,1999,6,Military Entrepreneur,Medium,M42063,x
42033,Minister of Armament,Julio Manuel Morales,1939,1964,1999,4,laissez-faire capitalist,Medium,M42085,x
42034,Minister of Armament,Alejandro Marin,1939,1964,1999,3,Infantry Proponent,Medium,M42086,x
42035,Minister of Armament,Pablo Max Ynsfrán,1940,1964,1999,7,laissez-faire capitalist,Medium,M42044,x
42036,Minister of Armament,Salvador Villagrán Maffiodo,1942,1964,1999,6,Administrative Genius,Medium,M42054,x
42037,Minister of Armament,Juan Natalicio Gonzalez,1944,1964,1999,6,Tank Proponent,Medium,M42089,x
42038,Minister of Armament,Alírio Ugarte Díaz,1946,1964,1999,6,Theoretical Scientist,Medium,M42090,x
42039,Minister of Security,Urribe Chilandro,1936,1964,1999,3,Silent Lawyer,Medium,M42091,x
42040,Minister of Security,Efraim Cardozo,1937,1964,1999,4,Crime Fighter,Medium,M42045,x
42041,Minister of Security,Francisco Esculies,1939,1964,1999,3,Man of the People,Medium,M42055,x
42042,Minister of Security,Vicente Machuca,1940,1964,1999,7,Prince of Terror,Medium,M42094,x
42043,Minister of Security,Justo P. Benitez,1944,1964,1999,6,Compassionate Gentleman,Medium,M42095,x
42044,Minister of Security,Luis de Gasperi,1946,1964,1999,6,Silent Lawyer,Medium,M42096,x
42045,Head of Military Intelligence,Rafael Nieto,1936,1964,1999,3,Dismal Enigma,Medium,M42056,x
42046,Head of Military Intelligence,Carlos Sosa,1937,1964,1999,6,Naval Intelligence Specialist,Medium,M42098,x
42047,Head of Military Intelligence,Juan Teodoro Decoud,1939,1964,1999,4,Political Specialist,Medium,M42099,x
42048,Head of Military Intelligence,Augusto Saldívar,1940,1964,1999,7,Industrial Specialist,Medium,M42100,x
42049,Head of Military Intelligence,Hugo Estigarribua Elízeche,1944,1964,1999,6,Technical Specialist,Medium,M42046,x
42050,Head of Military Intelligence,Raúl Sapeña Pastor,1946,1964,1999,6,Dismal Enigma,Medium,M42102,x
42051,Chief of Staff,Rafael Franco,1936,1964,1999,3,School of Manoeuvre,Medium,M42047,x
42052,Chief of Staff,Manuel T. Aponte,1937,1964,1999,6,School of Fire Support,Medium,M42008,x
42053,Chief of Staff,Higenio Morinigo Martinez,1939,1964,1999,4,School of Mass Combat,Medium,M42105,x
42054,Chief of Staff,José Lezcano,1944,1964,1999,6,School of Manoeuvre,Medium,M42107,x
42055,Chief of Army,Juan Manuel Frutos,1936,1964,1999,6,Elastic Defence Doctrine,Medium,M42006,x
42056,Chief of Army,Higenio Morinigo Martinez,1939,1964,1999,4,Decisive Battle Doctrine,Medium,M42064,x
42057,Chief of Army,Isaias Baez Allende,1942,1964,1999,6,Elastic Defence Doctrine,Medium,M42112,x
42058,Chief of Army,Amancio Pampliega,1944,1964,1999,6,Guns and Butter Doctrine,Medium,M42048,x
42059,Chief of Army,Alfred Stroessner Matiauda,1946,1964,1999,6,Armoured Spearhead Doctrine,Medium,M42114,x
42060,Chief of Navy,Juan Stefanich,1939,1964,1999,3,Power Projection Doctrine,Medium,M42049,x
42061,Chief of Navy,Enrico T. Rizzo,1940,1964,1999,7,Indirect Approach Doctrine,Medium,M42118,x
42062,Chief of Navy,Jesus G. Arraza,1944,1964,1999,6,Base Control Doctrine,Medium,M42119,x
42063,Chief of Air Force,Hernan Rojas Baltassare,1939,1964,1999,4,Vertical Envelopment Doctrine,Medium,M42050,x
42064,Chief of Air Force,Héctor Velasquez,1944,1964,1999,6,Army Aviation Doctrine,Medium,M42124,x
42065,Head of State,Luís Avelino Argaña,1936,1964,1999,8,Powerhungry Demagogue,High,M42041,x
42066,Head of Government,Luís Avelino Argaña,1936,1964,1999,8,old airmarshal,High,M42041,x
42067,Head of State,Riccardo Odriosola,1936,1964,1999,1,Weary Stiffneck,High,M42051,x
42068,Head of Government,Riccardo Odriosola,1936,1964,1999,1,Backroom Backstabber,High,M42051,x
42069,Head of State,Juan Manuel Frutos,1936,1964,1999,6,Resigned Generalissimo,High,M42006,x
42070,Head of State,Juan Natalicio Gonzalez,1948,1964,1999,6,Benevolent Gentleman,High,M42089,x
42071,Head of State,Raimundo Rolon Villasanti,1949,1964,1999,7,Benevolent Gentleman,High,M42069,x
42072,Head of State,Felipe Molas Lopez,1949,1964,1999,6,Benevolent Gentleman,High,M42128,x
42073,Head of State,Federico Chaves,1949,1964,1999,6,Popular Figurehead,High,M42004,x
42074,Head of Government,Alfred Stroessner Matiauda,1949,1964,1999,6,Old General,High,M42114,x
42075,Chief of Staff,Raimundo Rolon Villasanti,1944,1964,1999,6,School of Defence,Medium,L240022,x
42076,Head of Military Intelligence,Felipe Molas Lopez,1946,1964,1999,6,Technical Specialist,Medium,M42128,x
42077,Minister of Armament,Remigio Bastia Martín,1948,1964,1999,6,Resource Industrialist,Medium,M42133,x
42078,Minister of Security,Tomas Romero Pereira,1950,1964,1999,6,Prince of Terror,Medium,M42134,x
42079,Head of Government,Juan Manuel Frutos,1936,1964,1999,6,Old General,High,M42006,x
42080,Head of State,José Patricio Guggiari,1940,1964,1999,5,Barking Buffoon,Low,PAR_jose_patricio_guggiari,x
42081,Head of Government,José Patricio Guggiari,1940,1964,1999,5,Flamboyant Tough Guy,Low,PAR_jose_patricio_guggiari,x
42082,Head of Government,Rafael Franco,1936,1964,1999,3,Silent Workhorse,High,M42047,x
42083,Head of Government,Juan Natalicio Gonzalez,1948,1964,1999,6,Naive Optimist,High,M42089,x
42084,Head of State,Luís Alberto Riart,1936,1964,1999,5,Die-hard Reformer,Medium,M42003,x
42085,Head of Government,Luís Alberto Riart,1936,1964,1999,5,Corporate Suit,Medium,M42003,x
42086,Head of State,Juan Stefanich,1936,1964,1999,3,Pig-headed Isolationist,Medium,M42049,x
42087,Head of Government,Juan Stefanich,1936,1964,1999,3,Happy Amateur,Medium,M42049,x
42088,Head of Government,Felipe Molas Lopez,1949,1964,1999,6,Silent Workhorse,High,M42128,x
42089,Head of State,Anselmo Jover Peralta,1936,1964,1999,3,Die-hard Reformer,Low,PAR_anselmo_jover_peralta,x
42090,Head of Government,Anselmo Jover Peralta,1936,1964,1999,3,Ambitious Union Boss,Low,PAR_anselmo_jover_peralta,x
42091,Head of State,Tomas Romero Pereira,1950,1964,1999,6,Stern Imperialist,Medium,M42134,x
42092,Head of Government,Tomas Romero Pereira,1950,1964,1999,6,old airmarshal,Medium,M42134,x
42093,Head of State,Carlos Pastore,1936,1964,1999,5,Die-hard Reformer,Medium,PAR_carlos_pastore,x
42094,Head of Government,Carlos Pastore,1936,1964,1999,5,Silent Workhorse,Medium,PAR_carlos_pastore,x
42095,Head of State,Arnaldo Valdovinos,1936,1964,1999,2,Insignificant Layman,Medium,PAR_arnaldo_valdovinos,x
42096,Head of Government,Arnaldo Valdovinos,1936,1964,1999,2,Naive Optimist,Medium,PAR_arnaldo_valdovinos,x
