POL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
13001,Head of State,Janusz Radziwill,1936,1964,1999,7,Weary Stiffneck,Very High,M13104,x
13002,Head of Government,Zdzislaw Lubomirski,1936,1964,1999,7,Naive Optimist,Very High,kaiserreich zlubomirski,x
13003,Foreign Minister,Jan hr. Szembek,1936,1964,1999,7,Great Compromiser,Low,M13013,x
13004,Minister of Armament,Andrzej Wierzbicki,1936,1964,1999,7,laissez-faire capitalist,High,kaiserreich AndrzejWierzbicki,x
13005,Minister of Security,Stanislaw Bukowiecki,1936,1964,1999,7,Crime Fighter,Very High,kaiserreich StanislawBukowiecki,x
13006,Head of Military Intelligence,Marian Rejewski,1936,1964,1999,7,Technical Specialist,High,kaiserreich MarianRejewski,x
13007,Chief of Staff,Wladyslaw Sikorski,1936,1964,1999,7,School of Manoeuvre,Medium,M13043,x
13008,Chief of Army,Wladyslaw Sikorski,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M13043,x
13009,Chief of Navy,Jerzy Swirski,1936,1964,1999,7,Open Seas Doctrine,Medium,M13009,x
13010,Chief of Air Force,Józef Zajac,1936,1964,1999,7,Air Superiority Doctrine,Medium,M13010,x
13011,Head of State,J.K.W. Fryderyk Krystian Saski,1936,1964,1999,7,Pig-headed Isolationist,High,kaiserreich FK Wettin,x
13014,Head of State,J.K.W. Eustachy I Sapieha,1936,1964,1999,7,Pig-headed Isolationist,Very High,kaiserreich esapieha,x
13015,Head of State,J.K.W. Karol Olbracht Habsburg,1936,1964,1999,6,Stern Imperialist,Very high,kaiserreich karlalbrechtvh,x
13018,Head of State,Maciej Rataj,1938,1964,1999,4,Insignificant Layman,Very high,rataj,x
13019,Head of State,Feliks Dzierzynski,1936,1964,1999,0,powerhungry demagogue,Very High,kaiserreich feliksdzierzynski,x
13020,Head of State,Jakub Hanecki,1938,1964,1999,0,powerhungry demagogue,Very High,kaiserreich jhanecki,x
13021,Head of State,Roman Dmowski,1936,1964,1999,9,Stern Imperialist,High,M13050,x
13022,Head of State,Adam Doboszyñski,1936,1964,1999,9,powerhungry demagogue,Very High,kaiserreich adoboszynski,x
13098,Head of State,Tadeusz Bielecki,1936,1964,1999,9,Barking Buffoon,High,M13051,x
13023,Head of State,Gabriel Narutowicz,1936,1964,1999,4,Insignificant Layman,High,kaiserreich gnarutowicz,x
13025,Head of State,Norbert Barlicki,1936,1964,1999,3,Die-hard Reformer,High,M13021,x
13026,Head of State,Ignacy Jan Paderewski,1936,1964,1999,6,Weary Stiffneck,High,M13036,x
13028,Head of State,Stanislaw Wojciechowski,1936,1964,1999,3,Insignificant Layman,High,kaiserreich swojciechowski,x
13134,Head of State,Jan Wolski,1936,1964,1999,2,Die-hard Reformer,High,kaiserreich jwolski,x
13146,Head of State,Karol Radek,1938,1964,1999,0,Ruthless Powermonger,High,kaiserreich kradek,x
13174,Head of State,Roza Luksemburg,1938,1964,1999,0,Die-hard Reformer,High,kaiserreich rluksemburg,x
13101,Head of State,J.K.W. Janusz I Radziwill,1936,1964,1999,8,Autocratic Charmer,Very High,M13104,x
13063,Head of State,Eustachy Sapieha,1936,1964,1999,7,Pig-headed Isolationist,Very High,kaiserreich esapieha,x
13168,Head of State,The Tsar Of All Russians,1936,1964,1999,7,Popular Figurehead,High,Mrus Tsar,x
13038,Head of State,Mieczyslaw Michalowicz,1936,1964,1999,5,Die-hard Reformer,High,kaiserreich mmichalowicz,x
13029,Head of Government,Adolf hr. Bninski,1936,1964,1999,7,Political Protege,Very High,kaiserreich abninski,x
13030,Head of Government,Karol Radek,1936,1964,1999,0,Silent Workhorse,High,kaiserreich kradek,x
13031,Head of Government,Alfred Lampe,1938,1964,1999,0,Naive Optimist,High,kaiserreich alampe,x
13032,Head of Government,Adam Doboszyñski,1936,1964,1999,9,Flamboyant Tough Guy,High,kaiserreich adoboszynski,x
13033,Head of Government,Tadeusz Bielecki,1936,1964,1999,9,Backroom Backstabber,High,M13051,x
13034,Head of Government,Leopold Skulski,1936,1964,1999,7,Happy Amateur,Medium,kaiserreich lskulski,x
13035,Head of Government,Janusz Radziwill,1936,1964,1999,7,Political Protege,Very High,M13104,x
13037,Head of Government,Maciej Rataj,1938,1964,1999,4,Naive Optimist,Medium,rataj,x
13039,Head of Government,Stanislaw Wojciechowski,1936,1964,1999,3,Silent Workhorse,High,kaiserreich swojciechowski,x
13040,Head of Government,Stanislaw Osiecki,1936,1964,1999,4,Naive Optimist,High,M13055,x
