PRK,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
579001,Head of State,Lala Lajpat Rai,1936,1964,1999,2,Weary Stiffneck,High,PRKTil,X
579003,Head of Government,Narendra Deva,1936,1964,1999,2,Ambitious Union Boss,High,PRKNar,X
579004,Foreign Minister,Subhas Chandra Bose,1936,1964,1999,0,General Staffer,High,KRSubhas,X
579008,Minister of Armament,Lal Bahadur Shastri,1936,1964,1966,1,Administrative Genius,High,PRKSha,X
579126,Head of Government,Lal Bahadur Shastri,1940,1966,1966,1,Silent Workhorse,Very High,PRKSha,X
579127,Head of Government,Panjabrao Deshmukh,1940,1965,1965,2,Ambitious Union Boss,Very High,PRKDes,X
579128,Minister of Armament,Panjabrao Deshmukh,1938,1965,1965,2,Theoretical Scientist,Very High,PRKDes,X
579011,Minister of Security,Rafi Ahmed Kidwai,1936,1964,1999,2,Crime Fighter,Medium,M59068,X
579012,Head of Military Intelligence,Jagjivan Ram,1936,1964,1999,2,Political Specialist,Very High,PRKJag,X
579014,Chief of Staff,Subhas Chandra Bose,1936,1964,1999,0,School of Manoeuvre,Medium,KRSubhas,X
579016,Chief of Navy,Bhaskar Soman,1936,1964,1999,2,Decisive Naval Battle Doctrine,Medium,M59107,X
579018,Chief of Army,M. P. T. Acharya,1936,1964,1999,2,Guns and Butter Doctrine,Very High,PRKAch,X
579017,Chief of Air Force,Subroto Mukherjee,1936,1964,1999,2,Army Aviation Doctrine,Medium,M59115,X
579002,Head of Government,Mohandas Karamchand Gandhi,1936,1964,1999,2,Silent Workhorse,High,PRKGandhi,X
579005,Foreign Minister,Ananthasayanam Ayyangar,1936,1964,1999,2,Great Compromiser,Low,M59044,X
579006,Foreign Minister,Sarat Chandra Bose,1936,1964,1999,0,The Cloak N Dagger Schemer,Very High,M59045,X
579007,Minister of Armament,Vallabhbhai Jhaverbhai Patel,1936,1964,1999,1,Mixed Economy,High,PRKPat,X
579009,Minister of Armament,Dr. John Mathai,1936,1964,1999,2,Balanced Budget Economy,Very High,M59039,X
579010,Minister of Armament,Hitendra Desai,1936,1964,1999,4,Resource Industrialist,Very High,M59060,X
579013,Head of Military Intelligence,Rafi Ahmed Kidwai,1936,1964,1999,2,Dismal Enigma,Medium,M59068,X
579015,Chief of Staff,Barindra Kumar Ghosh,1936,1964,1999,2,School of Mass Combat,High,PRKBar,X
579019,Minister of Security,Subhas Chandra Bose,1936,1964,1999,0,Compassionate Gentleman,Medium,KRSubhas,X
579020,Minister of Security,Mohandas Karamchand Gandhi,1936,1964,1999,2,Great Soul,High,PRKGandhi,X
579021,Head of Government,Shri Aurobindo,1936,1964,1999,2,Naive Optimist,Medium,KRAuro,X
579022,Head of Government,Rabindranath Tagore,1936,1942,1942,2,Silent Workhorse,Medium,KRTagore,X
579023,Foreign Minister,Sardul Singh Caveeshar,1936,1964,1999,0,Biased Intellectual,Medium,PRKCav,X
579024,Minister of Armament,Syama Prasad Mookerjee,1936,1964,1999,6,Theoretical Scientist,Medium,Syama_Prasad_Mookerjee,X
579025,Minister of Security,A.C. Bhaktivedanta Swami Prabhupada,1936,1964,1999,7,Compassionate Gentleman,Medium,AC_Bhaktivedanta_Swami_Prabhupada,X
579026,Head of Military Intelligence,M. A. G. Osmani,1952,1964,1999,1,Logistics Specialist,Medium,MAG_Osmani,X
579027,Chief of Staff,Rash Behari Bose,1936,1964,1999,1,School of Psychology,Medium,PRKReh,X
579028,Chief of Army,Tarak Nath Das,1936,1964,1999,1,Elastic Defence Doctrine,Medium,Tarak_Nath_Das,X
579029,Chief of Navy,M. A. G. Osmani,1952,1964,1999,1,Base Control Doctrine,Medium,MAG_Osmani,X
579030,Chief of Air Force,P. Krishnamurti,1936,1964,1999,1,Army Aviation Doctrine,Medium,PRKPkr,X
579031,Head of State,A. K. Fazlul Huq,1936,1962,1962,1,Tiger Of Bengal,High,PRKHuq,X
579032,Head of Government,Muhammad Ali Bogra,1952,1964,1999,3,Ambitious Union Boss,Medium,Muhammad_Ali_Bogra,X
579033,Foreign Minister,Alexandra David-Néel,1936,1964,1999,0,Ideological Crusader,Medium,PRKAlex,X
579034,Minister of Armament,Jnananjan Niyogi,1936,1956,1956,2,Administrative Genius,Medium,Jnananjan_Niyogi,X
579035,Minister of Security,Maulana Bhashani,1936,1964,1999,2,Man of the People,Medium,Maulana_Bhashani,X
579036,Head of Military Intelligence,Rash Behari Bose,1936,1964,1999,1,Political Specialist,Medium,PRKReh,X
579037,Chief of Staff,Tarak Nath Das,1936,1964,1999,1,School of Manoeuvre,Medium,Tarak_Nath_Das,X
579038,Chief of Army,Baba Prithvi Singh Azad,1936,1964,1999,3,Elastic Defence Doctrine,Medium,Baba_Prithvi_Singh_Azad,X
579117,Chief of Army,A.D.Loganadan,1936,1964,1999,0,Armoured Spearhead Doctrine,Very High,PRKLog,X
579118,Chief of Staff,A.D.Loganadan,1936,1964,1999,0,School of Fire Support,Very High,PRKLog,X
579039,Head of State,Nawab Khwaja Habibullah,1936,1964,1999,7,Pig-headed Isolationist,Medium,Nawab_Khwaja_Habibullah,X
579040,Head of Government,Huseyn Shaheed Suhrawardy,1936,1964,1999,5,Ambitious Union Boss,Medium,Huseyn_Shaheed_Suhrawardy,X
579041,Foreign Minister,Sisir Kumar Maitra,1936,1964,1999,5,Biased Intellectual,Medium,Sisir_Kumar_Maitra,X
579042,Minister of Security,Bhupal Bose,1936,1964,1999,4,Silent Lawyer,Medium,Bhupal_Bose,X
579043,Chief of Staff,Pandit Parmanand,1936,1964,1999,2,School of Defence,Medium,Pandit_Parmanand,X
579044,Chief of Army,Pandit Parmanand,1936,1964,1999,2,Elastic Defence Doctrine,Medium,Pandit_Parmanand,X
579045,Head of State,Iskander Mirza,1952,1964,1999,3,Weary Stiffneck,Medium,Iskander_Mirza,X
579046,Head of Government,Khawaja Nazimuddin,1936,1964,1999,6,Political Protege,Medium,Khawaja_Nazimuddin,X
579047,Foreign Minister,Paramhansa Yogananda,1936,1964,1999,3,Great Compromiser,Medium,Paramhansa_Yogananda,X
579048,Minister of Security,Narayan Roy,1936,1964,1999,3,Crime Fighter,Medium,Narayan_Roy,X
579049,Minister of Security,Bidhan Chandra Roy,1936,1964,1999,3,Compassionate Gentleman,Very High,Bidhan_Chandra_Roy,X
579050,Chief of Army,Rash Behari Bose,1936,1964,1999,1,Elastic Defence Doctrine,Medium,PRKReh,X
579052,Head of Government,Sucheta Kriplani,1936,1964,1999,4,Political Protege,Medium,Sucheta_Kriplani,X
579053,Foreign Minister,Sri Anandamoyi Ma,1936,1964,1999,4,Great Compromiser,Medium,Sri_Anandamoyi_Ma,X
579054,Minister of Armament,Prafulla Chandra Roy,1936,1964,1999,2,Theoretical Scientist,Medium,Prafulla_Chandra_Roy,X
579055,Chief of Staff,M. A. G. Osmani,1952,1964,1999,1,School of Mass Combat,Medium,MAG_Osmani,X
579056,Chief of Army,M. A. G. Osmani,1952,1964,1999,1,Armoured Spearhead Doctrine,Medium,MAG_Osmani,X
579057,Minister of Security,Chandrasekhar Azad,1936,1964,1999,0,Efficient Sociopath,High,PRKCha,X
579124,Head of Government,Bidhan Chandra Roy,1944,1970,1999,3,Happy Amateur,Very High,Bidhan_Chandra_Roy,X
579125,Minister of Armament,Gulzarilal Nanda,1940,1970,1998,1,Industrialiser,Very High,PRKGul,X
579058,Chief of Army,Bhagat Singh,1936,1964,1999,0,Doctrine of Autonomy,High,KRBhagat_Singh,X
579115,Foreign Minister,A. C. N. Nambiar,1936,1964,1986,0,Great Compromiser,Very High,PRKNam,X
579059,Head of State,Sarojini Naidu,1936,1964,1999,1,Benevolent Gentleman,High,KRNaidu,X
