PRU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
39001,Head of State,Oscar Benavides Larrea,1936,1964,1999,7,Resigned Generalissimo,High,M39001,X
39002,Head of Government,Manuel Esteban Rodríguez,1936,1964,1999,7,Old General,High,M39002,X
39003,Foreign Minister,Alberto Ulloa Sotomayor,1936,1964,1999,7,Iron Fisted Brute,Medium,M39003,X
39004,Minister of Armament,Ernesto Scroth,1936,1964,1999,7,Battle Fleet Proponent,Medium,M39004,X
39005,Minister of Security,Luis Sanchez Cerro,1936,1964,1999,7,Compassionate Gentleman,Medium,M39005,X
39006,Head of Military Intelligence,Oscar Gilardi,1936,1964,1999,7,Technical Specialist,Very Low,M39006,X
39007,Chief of Staff,Gustavo Jimenez,1936,1964,1999,7,School of Psychology,Medium,M39007,X
39008,Chief of Army,Oscar Benavides Larrea,1936,1964,1999,7,Static Defence Doctrine,Medium,M39001,X
39009,Chief of Navy,Ernesto Scroth,1936,1964,1999,7,Open Seas Doctrine,Medium,M39004,X
39010,Chief of Air Force,Paul de Beaudiez,1936,1964,1999,7,Army Aviation Doctrine,Medium,M39010,X
39011,Head of State,Oscar Benavides Larrea,1936,1964,1999,6,Resigned Generalissimo,High,M39001,X
39012,Head of State,José de la Riva Agüero,1936,1964,1999,8,Stern Imperialist,High,M39011,X
39013,Head of State,Lodovico Rovino Morales,1936,1964,1999,0,Benevolent Gentleman,High,M39021,X
39014,Head of State,Augusto Leguia Swayne,1936,1964,1999,2,Powerhungry Demagogue,High,M39034,X
39015,Head of State,Manuel Prado y Ugarteche,1939,1964,1999,6,Autocratic Charmer,High,M39032,X
39016,Head of State,Reynaldo Vinatea,1939,1964,1999,3,Barking Buffoon,High,M39035,X
39017,Head of State,José Bustamante y Rivero,1945,1964,1999,5,Benevolent Gentleman,High,M39033,X
39018,Head of State,Eloy G. Ureta,1945,1964,1999,3,Resigned Generalissimo,High,M39036,X
39019,Head of State,Manuel Odria Amoretti,1948,1964,1999,7,Resigned Generalissimo,High,L260017,X
39020,Head of State,Fernando Belaúnde Terry,1948,1964,1999,5,Benevolent Gentleman,High,kaiserreich Fernando Belaúnde Terry,X
39021,Head of Government,José de la Riva Agüero,1936,1964,1999,8,Old Admiral,High,M39011,X
39022,Head of Government,Lodovico Rovino Morales,1936,1964,1999,0,Old Airmarshal,High,M39021,X
39023,Head of Government,Ernesto Montagne Sanchez,1937,1964,1999,6,Smiling Oilman,High,M39037,X
39024,Head of Government,Augusto Leguia Swayne,1937,1964,1999,2,Happy Amateur,High,M39034,X
39025,Head of Government,Alberto Rey de Castro,1939,1964,1999,6,Old General,High,M39137,X
39026,Head of Government,Adolfo Solf y Muro,1939,1964,1999,6,Naive Optimist,High,M39039,X
39027,Head of Government,Oscar Miro Quesada,1939,1964,1999,3,Silent Workhorse,High,M39040,X
39028,Head of Government,Manuel Cisneros Sanchez,1944,1964,1999,5,Political Protege,High,M39041,X
39029,Head of Government,Julio Tello East,1945,1964,1999,4,Smiling Oilman,High,M39042,X
39030,Head of Government,Enrique García Sayan,1945,1964,1999,5,Flamboyant Tough Guy,High,M39043,X
39031,Head of Government,David S. Ocampo,1945,1964,1999,3,Ambitious Union Boss,High,M39044,X
39032,Head of Government,Rafel Belaunde Díez,1946,1964,1999,5,Naive Optimist,High,M39045,X
39033,Head of Government,Julio Portugal Montero,1947,1964,1999,5,Silent Workhorse,High,M39046,X
39034,Head of Government,José Alcamora,1947,1964,1999,5,Corporate Suit,High,M39138,X
39035,Head of Government,Alberto Roque Saldías,1947,1964,1999,6,Old Admiral,High,M39069,X
39036,Head of Government,Armando Reveredo Iglesias,1948,1964,1999,5,Old Airmarshal,High,M39142,X
39037,Head of Government,Alberto Zenon Agüero,1948,1964,1999,7,Old General,High,L260016,X
