QUE,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
582001,Head of State,H.R.M. Louis Napoleon,1963,1964,1999,7,Autocratic Charmer,High,M582001,x
582002,Head of Government,Adelard Godbout,1936,1964,1999,7,Naive Optimist,High,M582002,x
582003,Foreign Minister,David Roux,1936,1964,1999,7,The Cloak N Dagger Schemer,High,M582003,x
582004,Minister of Armament,Romain Barriere,1936,1964,1999,7,Battle Fleet Proponent,Medium,M582004,x
582005,Minister of Security,Jacques Moreau,1936,1964,1999,7,Man of the People,Medium,M582005,x
582006,Head of Military Intelligence,Pierre La Liberte,1936,1964,1999,7,Industrial Specialist,Medium,M582006,x
582007,Chief of Staff,Pierre Boutet,1936,1964,1999,7,School of Psychology,Medium,L52008,x
582008,Chief of Army,Pierre Leclerc,1936,1964,1999,7,Guns and Butter Doctrine,Medium,L52035,x
582009,Chief of Navy,Antoine Powell,1936,1964,1999,7,Open Seas Doctrine,Medium,M582009,x
582010,Chief of Air Force,Jean Gabriel Fultz,1936,1964,1999,7,Naval Aviation Doctrine,Medium,L52103,x
582101,Head of State,David Côté,1936,1964,1999,1,Benevolent Gentleman,High,,x
582102,Head of Government,David Côté,1936,1964,1999,1,Ambitious Union Boss,High,,x
582103,Foreign Minister,Thérèse Casgrain,1936,1964,1999,2,Ideological Crusader,High,Kaiserreich_QUE_Therese_Casgrain,x
582104,Minister of Armament,Adelard Laurendeau,1936,1964,1999,2,Resource Industrialist,High,,x
582105,Minister of Security,Aurcle Lacombe,1936,1964,1999,2,Man of the People,High,,x
582106,Head of Military Intelligence,Joseph Gauthier,1936,1964,1999,2,Political Specialist,High,kaiserreich_QUE_Gauthier,x
582107,Chief of Staff,Paul Gouin,1936,1964,1999,3,School of Manoeuvre,High,Kaiserreich_QUE_Paul_Gouin,x
582108,Chief of Army,Paul Gouin,1936,1964,1999,3,Armoured Spearhead Doctrine,High,Kaiserreich_QUE_Paul_Gouin,x
582109,Foreign Minister,Aurèle Lacombe,1936,1964,1999,2,Biased Intellectual,High,,x
582110,Head of State,Maurice Duplessis,1936,1964,1999,6,Stern Imperialist,High,Maurice_Duplessis,x
582111,Head of Government,Maurice Duplessis,1936,1964,1999,6,Silent Workhorse,High,Maurice_Duplessis,x
582112,Foreign Minister,Antonio Barrette,1936,1964,1999,6,Ideological Crusader,High,Kaiserreich_QUE_Antonio_Barrette,x
582113,Minister of Armament,Jean-Paul Beaulieu,1936,1964,1999,6,Resource Industrialist,High,,x
582114,Minister of Security,Onesime Gagnon,1936,1964,1999,6,Crime Fighter,High,,x
582115,Head of Military Intelligence,Maurice Duplessis,1936,1964,1999,6,Technical Specialist,High,Maurice_Duplessis,x
582116,Chief of Staff,Paul Sauvé,1936,1964,1999,6,School of Mass Combat,High,Kaiserreich_QUE_Paul_Sauve,x
582117,Chief of Army,Paul Sauvé,1936,1964,1999,6,Static Defence Doctrine,High,Kaiserreich_QUE_Paul_Sauve,x
582118,Head of State,Adélard Godbout,1936,1964,1999,5,Benevolent Gentleman,High,M582002,x
582119,Head of Government,Adélard Godbout,1936,1964,1999,5,Naive Optimist,High,M582002,x
582120,Foreign Minister,Telesphore-Damien Bouchard,1936,1964,1999,5,Apologetic Clerk,High,Kaiserreich_QUE_Telesphore_Damien_Bouchard,x
582121,Minister of Armament,Oscar Drouin,1936,1964,1999,5,Laissez-Faire Capitalist,High,,x
582122,Minister of Security,James Arthur Matthewson,1936,1964,1999,5,Silent Lawyer,High,,x
582123,Head of Military Intelligence,Leon Casgrain,1936,1964,1999,5,Political Specialist,High,Kaiserreich_QUE_Leon_Casgrain,x
