RSI,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
508001,Head of State,Palmiro Togliatti,1936,1964,1999,1,syndicalist demagogue,High,M3021,x
508002,Head of Government,Antonio Gramsci,1936,1964,1999,1,Silent Workhorse,High,kaiserreich antoniogramsci,x
508003,Foreign Minister,Pietro Nenni,1936,1964,1999,1,Ideological Crusader,High,M3062,x
508004,Minister of Armament,Vittorio Vidali,1936,1964,1999,1,Infantry Proponent,High,M3087,x
508005,Minister of Security,Ruggiero Grieco,1936,1964,1999,1,Man of the People,High,kaiserreich_RSI_Greco,x 
508006,Head of Military Intelligence,Giuseppe di Vittorio,1936,1964,1999,1,Political Specialist,High,M3120,x
508007,Chief of Staff,Camillo Berneri,1936,1964,1999,1,School of Defence,High,kaiserreich_RSI_Berneri,x
508008,Chief of Army,Umberto Marzocchi,1936,1964,1999,1,Elastic Defence Doctrine,High,kaiserreich_RSI_Marzocchi,x
508009,Chief of Navy,Francesco Maugeri,1936,1964,1999,1,Decisive Naval Battle Doctrine,High,kaiserreich_RSI_Maugeri,x
508010,Chief of Air Force,Mario Ajmone Cat,1936,1964,1999,1,Air Superiority Doctrine,High,kaiserreich_RSI_Ajmone_Cat,x
508011,Head of Government,Amadeo Bordiga,1936,1964,1999,1,Naive Optimist,High,kaiserreich_RSI_Amedeo_Bordiga,x
508014,Minister of Armament,Fausto Gullo,1936,1964,1999,1,Military Entrepreneur,High,kaiserreich_RSI_Gullo,x
508015,Minister of Security,Antonio Gramsci,1938,1964,1999,1,Crime Fighter,High,kaiserreich antoniogramsci,x
508016,Head of Military Intelligence,Palmiro Togliatti,1938,1964,1999,1,Technical Specialist,High,M3021,x
508024,Minister of Armament,Mauro Scoccimarro,1940,1964,1999,1,Air Superiority Proponent,High,M3088,x
508022,Head of Government,Pietro Ingrao,1946,1964,1999,1,Ambitious Union Boss,High,kaiserreich_RSI_Ingrao,x
508025,Minister of Security,Pietro Secchia,1948,1964,1999,1,Back Stabber,High,kaiserreich_RSI_Secchia,x
508026,Head of Military Intelligence,Giorgo Napolitano,1938,1964,1999,1,Political Specialist,High,kaiserreich_RSI_Napolitano,x
508101,Head of State,Filippo Turati,1936,1964,1999,2,Benevolent Gentleman,High,kaiserreich_RSI_Turati,x
508102,Head of Government,Giacomo Matteotti,1936,1964,1999,2,Silent Workhorse,High,kaiserreich_RSI_Matteotti,x
508103,Foreign Minister,Luigi Longo,1936,1964,1999,2,Ideological Crusader,High,M3022,x
508104,Minister of Armament,Carlo Rosselli,1936,1964,1999,2,Administrative Genius,High,kaiserreich_RSI_Rosselli,x
508105,Minister of Security,Giuseppe Romita,1936,1964,1999,2,Compassionate Gentleman,High,M3105,x
508106,Head of Military Intelligence,Antonio Pesenti,1936,1964,1999,2,Technical Specialist,High,M3024,x
508107,Chief of Staff,Luigi Longo,1936,1964,1999,2,School of Mass Combat,High,M3022,x
508108,Chief of Army,Alfredo Pizzoni,1936,1964,1999,2,Armoured Spearhead Doctrine,High,kaiserreich_RSI_Pizzoni,x
508109,Chief of Navy,Angelo Corsi,1936,1964,1999,2,Power Projection Doctrine,High,kaiserreich_RSI_Corsi,x
508110,Chief of Air Force,Renato Sandalli,1936,1964,1999,2,Naval Aviation Doctrine,High,M3020,x
508111,Head of State,Sandro Pertini,1946,1964,1999,2,Benevolent Gentleman,High,kaiserreich_RSI_Pertini,x
508112,Head of Government,Luigi Longo,1936,1964,1999,2,Political Protege,High,M3022,x
508113,Foreign Minister,Giacomo Matteotti,1936,1964,1999,2,Biased Intellectual,High,kaiserreich_RSI_Matteotti,x
508114,Minister of Armament,Antonio Pesenti,1940,1964,1999,2,Resource Industrialist,High,M3024,x
508115,Head of Military Intelligence,Elio Vittorini,1938,1964,1999,2,Political Specialist,High,Elio_Vittorini,x
508119,Chief of Navy,Raffaele de Courten,1936,1964,1999,2,Open Seas Doctrine,High,M3019,x
508122,Head of Government,Gaetano Salvemini,1940,1964,1999,2,Political Protege,High,kaiserreich_RSI_Salvemini,x
508132,Head of Government,Giorgio Amendola,1946,1964,1999,2,Silent Workhorse,High,kaiserreich_RSI_Amendola,x
