SAF,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
70002,Head of Government,James Hertzog,1936,1964,1999,7,Old General,High,M70002,x
70003,Foreign Minister,James Hertzog,1936,1964,1999,7,General Staffer,Very High,M70002,x
70004,Minister of Armament,Jan Hendrik Hofmeyr,1936,1964,1999,5,Laissez-Faire Capitalist,Very High,kaiserreich_SAF_Hofmeyr,x
70005,Minister of Security,Jan C. Smuts,1936,1964,1999,6,Man of the People,High,M70005,x
70006,Head of Military Intelligence,Jan C. Smuts,1936,1964,1999,6,Logistics Specialist,Medium,M70005,x
70007,Chief of Staff,Pierre van Ryneveld,1936,1964,1999,6,School of Manoeuvre,Very High,M70007,x
70008,Chief of Army,Jan C. Smuts,1936,1964,1999,6,Armoured Spearhead Doctrine,Very High,M70005,x
70009,Chief of Navy,Pierre Oliver-Knoll,1936,1964,1999,6,Open Seas Doctrine,Very High,M70009,x
70010,Chief of Air Force,Pierre van Ryneveld,1936,1964,1999,6,Air Superiority Doctrine,Very High,M70007,x
70029,Head of Government,D. F. Malan,1936,1964,1999,8,Flamboyant Tough Guy,High,M70029,x
70030,Head of Government,Jan C. Smuts,1936,1964,1999,6,Backroom Backstabber,High,M70005,x
70031,Foreign Minister,Gert Cronje,1936,1964,1999,7,Iron Fisted Brute,High,M70031,x
70032,Foreign Minister,Eric H. Louw,1936,1964,1999,7,Biased Intellectual,Very High,M70032,x
70033,Foreign Minister,Reginald Blankenberg,1936,1964,1999,6,Biased Intellectual,High,M70033,x
70034,Foreign Minister,Graham Botha,1936,1964,1999,5,Apologetic Clerk,High,M70034,x
70035,Foreign Minister,Jan C. Smuts,1936,1964,1999,6,Ideological Crusader,Very High,M70005,x
70036,Foreign Minister,E.G. Jansen,1936,1964,1999,7,Great Compromiser,High,M70036,x
70037,Foreign Minister,Pierre van Ryneveld,1936,1964,1999,6,General Staffer,Very High,M70007,x
70038,Foreign Minister,L. J. du Plessis,1936,1964,1999,5,Ideological Crusader,High,M70013,x
70039,Foreign Minister,D. F. Malan,1936,1964,1999,8,The Cloak N Dagger Schemer,medium,M70029,x
70040,Minister of Armament,C. de Weenburg du Toit,1936,1964,1999,7,Tank Proponent,Medium,M70015,x
70041,Minister of Armament,J. G. Strijdom,1936,1964,1999,8,Resource Industrialist,Very High,M70041,x
70042,Minister of Armament,James Hertzog,1936,1964,1999,7,Infantry Proponent,Very High,M70002,x
70043,Minister of Armament,S.P. Le Roux,1936,1964,1999,8,Administrative Genius,Low,M70043,x
70045,Minister of Armament,H. J. van der Byl,1936,1964,1999,5,Theoretical Scientist,Very High,M70045,x
70047,Minister of Armament,Adolph Malan,1936,1964,1999,5,Air to Ground Proponent,Low,M70047,x
70048,Minister of Armament,Charles T. te Water,1936,1964,1999,6,Resource Industrialist,High,M70048,x
70049,Minister of Armament,Oswald Pirow,1936,1964,1999,8,Military Entrepreneur,Medium,M70014,x
70050,Minister of Armament,Cornelis van Zuigenbrogge,1936,1964,1999,6,Submarine Proponent,Very High,M70050,x
70051,Minister of Armament,Pierre Oliver-Knoll,1936,1964,1999,6,Battle Fleet Proponent,Very High,M70009,x
70052,Minister of Armament,P.O. Sauer,1936,1964,1999,7,laissez-faire capitalist,Very High,M70052,x
70053,Minister of Armament,Marinus van Osterkemp,1936,1964,1999,6,Air to Sea Proponent,Low,M70053,x
70055,Minister of Security,Hendrijk F. Verwoerd,1936,1964,1999,8,Prince of Terror,High,M70055,x
70056,Minister of Security,N. J. van der Merwe,1936,1964,1999,7,Compassionate Gentleman,High,M70056,x
70057,Minister of Security,C. R. Swart,1936,1964,1999,7,Silent Lawyer,Very High,M70057,x
70058,Minister of Security,C. F. Stallard,1936,1964,1999,5,Silent Lawyer,High,M70058,x
70059,Minister of Security,T.E. Dönges,1936,1964,1999,7,Man of the People,High,M70059,x
70060,Minister of Security,D. F. Malan,1936,1964,1999,8,Crime Fighter,Low,M70029,x
70061,Minister of Security,E.G. Jansen,1936,1964,1999,7,Silent Lawyer,High,M70036,x
70062,Minister of Security,J. G. Strijdom,1936,1964,1999,8,Back Stabber,Very High,M70041,x
70063,Minister of Security,F.C. Erasmus,1936,1964,1999,8,Efficient Sociopath,Very High,M70063,x
70064,Minister of Security,C. de Weenburg du Toit,1936,1964,1999,7,Crime Fighter,Medium,M70015,x
70065,Head of Military Intelligence,B.J. Schoeman,1936,1964,1999,7,Logistics Specialist,Medium,M70065,x
70066,Head of Military Intelligence,Jeannot de la Tourier,1936,1964,1999,6,Naval Intelligence Specialist,Very High,M70066,x
70067,Head of Military Intelligence,Seymour Jacklin,1936,1964,1999,6,Political Specialist,Medium,M70016,x
70068,Head of Military Intelligence,Eric Louw,1936,1964,1999,6,Technical Specialist,Very High,M70032,x
70069,Head of Military Intelligence,C. R. Swart,1936,1964,1999,7,Dismal Enigma,Very High,M70057,x
70070,Head of Military Intelligence,Nicolaas Havenga,1936,1964,1999,7,Industrial Specialist,Very High,M70004,x
70071,Chief of Staff,James Mitchell-Baker,1936,1964,1999,6,School of Manoeuvre,Medium,M70071,x
70072,Chief of Staff,Leonard Beyers,1936,1964,1999,6,School of Defence,Medium,M70072,x
70073,Chief of Staff,C. de Weenburg du Toit,1936,1964,1999,7,School of Fire Support,Medium,M70015,x
70074,Chief of Staff,Jan C. Smuts,1936,1964,1999,6,School of Mass Combat,High,M70005,x
70075,Chief of Staff,Robert Palmer,1936,1964,1999,6,School of Psychology,High,M70075,x
70076,Chief of Army,J.F. Naude,1936,1964,1999,7,Guns and Butter Doctrine,Very High,M70076,x
70077,Chief of Army,James Mitchell-Baker,1936,1964,1999,6,Decisive Battle Doctrine,Medium,M70071,x
70078,Chief of Army,C. de Weenburg du Toit,1936,1964,1999,7,Armoured Spearhead Doctrine,Medium,M70015,x
70079,Chief of Army,Leonard Beyers,1936,1964,1999,5,Static Defence Doctrine,Medium,M70072,x
70080,Chief of Army,Pierre van Ryneveld,1936,1964,1999,6,Elastic Defence Doctrine,Very High,M70007,x
70081,Chief of Army,Francois Theron,1936,1964,1999,6,Armoured Spearhead Doctrine,Medium,M70081,x
70082,Chief of Navy,Jeannot de la Tourier,1936,1964,1999,6,Decisive Naval Battle Doctrine,Very High,M70066,x
70083,Chief of Navy,Cornelis van Zuigenbrogge,1936,1964,1999,6,Indirect Approach Doctrine,Very High,M70050,x
