SAU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
63001,Head of State,Emir Faisal bin Hussein,1936,1964,1999,7,Endeavouring Unifyer,High,SAUFai,X
63002,Head of State,Abdullah bin Hussein,1936,1964,1999,7,Die-hard Reformer,High,SAUAbd,X
63003,Head of State,Zeid bin Hussein,1936,1964,1999,7,Stern Imperialist,High,SAUZei,X
63004,Head of State,Emir Ghazi bin Faisal,1936,1964,1999,7,Popular Figurehead,High,SAUGha,X
63005,Head of State,Faisal II bin Ghazi,1953,1964,1999,7,Insignificant Layman,High,SAUFaiII,X
63006,Head of Government,Jafar al-Askari,1936,1964,1999,6,Respected War Hero,High,k_AlAskari,X
63007,Head of Government,Nuri as Said,1936,1964,1999,7,Old General,High,SAUNur,X
63008,Head of Government,Yusuf Al-Azmah,1936,1964,1999,6,Flamboyant Tough Guy,High,SAUYus,X
63009,Head of Government,Rustum Haidar,1936,1964,1999,7,Naive Optimist,Medium,SAURus,X
63010,Head of Government,Jamil al Midfai,1936,1964,1999,7,Corporate Suit,High,SAUJam,X
63011,Head of Government,Yasin Hilmi Salman,1936,1964,1999,6,Naive Optimist,High,M91002,X
63012,Head of Government,Jamil Mardam Bey,1936,1964,1999,6,Happy Amateur,High,SAUMar,X
63013,Foreign Minister,Jamil al Midfai,1936,1964,1999,7,Apologetic Clerk,Medium,SAUJam,X
63014,Foreign Minister,Jafar al-Askari,1936,1964,1999,6,General Staffer,High,k_AlAskari,X
63015,Foreign Minister,Nesi el Bikri,1936,1964,1999,7,Iron Fisted Brute,Medium,SAUNes,X
63016,Foreign Minister,Abdullah bin Hussein,1936,1964,1999,7,Great Compromiser,High,SAUAbd,X
63017,Foreign Minister,Rustum Haidar,1936,1964,1999,7,Ideological Crusader,Medium,SAURus,X
63018,Foreign Minister,Nuri as Said,1936,1964,1999,7,General Staffer,Medium,SAUNur,X
63019,Foreign Minister,Mawlid al Mukhlis,1936,1964,1999,7,Biased Intellectual,High,SAUMaw,X
63020,Minister of Armament,Ghazi bin Faisal,1936,1964,1999,6,Laissez-Faire Capitalist,High,SAUGha,X
63021,Minister of Armament,Nuri as Said,1936,1964,1999,7,Military Entrepreneur,Medium,SAUNur,X
63022,Minister of Armament,Jamil al Midfai,1936,1964,1999,7,Tank Proponent,Medium,SAUJam,X
