SCA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
514002,Head of Government,Thorvald Stauning,1936,1964,1999,3,Ambitious Union Boss,High,M16002,x
514003,Foreign Minister,Per Albin Hansson,1936,1964,1999,3,Iron Fisted Brute,High,M7033,x
514004,Minister of Armament,Gustav Möller,1936,1964,1999,3,laissez-faire capitalist,Medium,M7048,x
514005,Minister of Security,Johan Nygaardsvold,1936,1964,1999,3,Man of the People,High,M14002,x
514006,Head of Military Intelligence,Alfred Roscher-Lund,1936,1964,1999,3,Logistics Specialist,Low,M14006,x
514007,Chief of Staff,Aage H. Vedel,1936,1964,1999,3,School of Manoeuvre,Very High,M16119,x
514008,Chief of Army,Oscar Nygren,1936,1964,1999,3,Guns and Butter Doctrine,Medium,M7007,x
514009,Chief of Navy,Aage H. Vedel,1936,1964,1999,3,Open Seas Doctrine,Very High,M16119,x
514010,Chief of Air Force,Torsten Friis,1936,1964,1999,3,Army Aviation Doctrine,Very High,M7010,x
514034,Head of Government,Per Albin Hansson,1942,1964,1999,3,Corporate Suit,High,M7033,x
514035,Head of Government,Einar Gerhardsen,1946,1964,1999,3,Political Protege,High,M14037,x
514036,Head of Government,C.J. Hambro,1936,1964,1999,5,Silent Workhorse,High,M14036,x
514037,Head of Government,Axel Pehrsson-Bramstorp,1940,1964,1999,5,Happy Amateur,High,M7002,x
514038,Head of Government,Knud Kristensen,1945,1964,1999,5,Political Protege,High,M16043,x
514039,Foreign Minister,Erik Scavenius,1940,1964,1999,3,Biased Intellectual,Very High,M16040,x
514040,Foreign Minister,Trygve H. Lie,1941,1964,1999,3,Iron Fisted Brute,High,M14005,x
514041,Foreign Minister,Tage Erlander,1946,1964,1999,3,Great Compromiser,High,M7034,x
514042,Foreign Minister,Erik Andreas Colban,1936,1964,1999,5,Great Compromiser,High,M14045,x
514043,Foreign Minister,Per E.G. Insulander,1939,1964,1999,5,General Staffer,High,M7044,x
514044,Foreign Minister,Christmas Møller,1945,1964,1999,5,Biased Intellectual,Medium,M16041,x
514045,Minister of Armament,Vilhelm Buhl,1940,1964,1999,3,Battle Fleet Proponent,High,M16039,x
514046,Minister of Armament,Jens Christian Hauge,1941,1964,1999,3,Military Entrepreneur,High,M14053,x
