SCH,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
17001,Head of State,Albert Meyer,1936,1964,1999,5,Ruthless Powermonger,High,M17001,x
17002,Head of Government,Albert Meyer,1936,1964,1999,5,Silent Workhorse,High,M17001,x
17003,Foreign Minister,Giuseppe Motta,1936,1964,1999,4,Apologetic Clerk,Very High,M17003,x
17004,Minister of Armament,Albert Meyer,1936,1964,1999,5,Laissez-Faire Capitalist,Very High,M17001,x
17005,Minister of Security,Johannes Baumann,1936,1964,1999,5,Compassionate Gentleman,Very High,M17005,x
17006,Head of Military Intelligence,Roger Masson,1936,1964,1999,4,Industrial Specialist,Very High,M17006,x
17007,Chief of Staff,Jakob I. Huber,1936,1964,1999,4,School of Fire Support,Very High,M17007,x
17008,Chief of Army,Johann August Sutter,1936,1964,1999,5,Static Defence Doctrine,Very High,M17008,x
17009,Chief of Navy,Rene von Graffenried,1936,1964,1999,5,Base Control Doctrine,Very High,M17009,x
17010,Chief of Air Force,Oskar Bider,1936,1964,1999,5,Air Superiority Doctrine,Very High,M17010,x
17031,Head of State,Giuseppe Motta,1937,1964,1999,4,Stern Imperialist,High,M17003,x
17032,Head of State,Johannes Baumann,1938,1964,1999,5,Resigned Generalissimo,High,M17005,x
17033,Head of State,Philipp Etter,1939,1964,1999,4,Autocratic Charmer,High,M17033,x
17034,Head of State,Marcel Pilet-Golaz,1940,1964,1999,3,Popular Figurehead,High,M17034,x
17035,Head of State,Ernst Wetter,1941,1964,1999,5,Powerhungry Demagogue,High,M17035,x
17037,Head of State,Enrico Celio,1943,1964,1999,3,Die-hard Reformer,High,M17037,x
17038,Head of State,Walter Stampfli,1944,1964,1999,5,Barking Buffoon,High,M17038,x
17039,Head of State,Eduard von Steiger,1945,1964,1999,6,Benevolent Gentleman,High,M17039,x
17040,Head of State,Karl Kobelt,1946,1964,1999,5,Pig-headed Isolationist,High,M17040,x
17042,Head of Government,Giuseppe Motta,1937,1964,1999,4,Silent Workhorse,High,M17003,x
17043,Head of Government,Johannes Baumann,1938,1964,1999,5,Ambitious Union Boss,High,M17005,x
