SER,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
547001,Head of State,Milan Nedic,1936,1964,1999,8,Resigned Generalissimo,High,SER-KR_Milan_Nedic,X
547002,Head of Government,Dragisa Cvetkovic,1936,1964,1999,7,Corporate Suit,High,M20032,X
547003,Foreign Minister,Aleksandar Cincar-Markovic,1936,1964,1999,7,Apologetic Clerk,High,SER-KR_Aleksandar_Cincar-Markovic,X
547004,Minister of Armament,Milan Stojadinovic,1936,1964,1999,7,Resource Industrialist,High,kaimilstojd,X
547005,Minister of Security,Dragisa Cvetkovic,1936,1964,1999,7,Silent Lawyer,High,M20032,X
547006,Head of Military Intelligence,Borivoje Josimovic,1936,1964,1999,7,Logistics Specialist,High,L46013,X
547007,Chief of Staff,Petar Kosic,1936,1964,1999,7,School of Defence,High,SER-KR_Petar_Kosic,X
547008,Chief of Army,Milutin Nedic,1936,1964,1999,7,Decisive Battle Doctrine,High,L46026,X
547009,Chief of Navy,Under Army Command,1936,1964,1999,7,Base Control Doctrine,High,SER-KR_Navy,X
547010,Chief of Air Force,Dusan Simovic,1936,1964,1999,7,Army Aviation Doctrine,High,L46060,X
547011,Head of State,Filip Filipovic,1936,1964,1999,1,Syndicalist Demagogue,High,SER-KR_Filip_Filipovic,X
547012,Head of State,Jasa Prodanovic,1936,1964,1999,4,Popular Figurehead,High,SER-KR_Jasa_Prodanovic,X
547013,Head of Government,Sima Markovic,1936,1964,1999,1,Silent Workhorse,High,SER-KR_Sima_Markovic,X
547014,Head of Government,Milan Grol,1936,1964,1999,4,Naive Optimist,High,M20042,X
547015,Foreign Minister,Bogoljub Jevtic,1936,1964,1999,7,Ideological Crusader,High,M20004,X
547016,Foreign Minister,Mosa Pijade,1936,1964,1999,1,Biased Intellectual,High,SER-KR_Mosa_Pijade,X
547017,Foreign Minister,Milan Grol,1936,1964,1999,4,Biased Intellectual,High,M20042,X
547018,Foreign Minister,Momcilo Nincic,1936,1964,1999,6,Great Compromiser,High,kaimocninc,X
547019,Minister of Armament,Bogdan Markovic,1936,1964,1999,6,Bank President,High,SER-KR_Bogdan_Markovic,X
547020,Minister of Armament,Sreten Zujovic,1936,1964,1999,1,Military Entrepreneur,High,SER-KR_Sreten_Zujovic_Crni,X
547021,Minister of Armament,Dragisa Cvetkovic,1936,1964,1999,7,Laissez-Faire Capitalist,High,M20032,X
547022,Minister of Armament,Momcilo Nincic,1936,1964,1999,6,Bank President,High,kaimocninc,X
547023,Minister of Armament,Vojislav Marinkovic,1936,1964,1999,5,Laissez-Faire Capitalist,High,SER-KR_Vojislav_Marinkovic,X
547024,Minister of Security,Milan Acimovic,1936,1964,1999,8,Back Stabber,High,SER-KR_Milan_Acimovic,X
547025,Minister of Security,Svetozar Vujkovic,1936,1964,1999,8,Efficient Sociopath,High,SER-KR_Svetozar_Vujkovic,X
547026,Minister of Security,Trisa Kaclerovic,1936,1964,1999,1,Silent Lawyer,High,SER-KR_Trisa_Kaclerovic,X
547027,Minister of Security,Bozidar Maksimovic,1936,1964,1999,6,Crime Fighter,High,SER-KR_Bozidar_Maksimovic,X
547028,Minister of Security,Milorad Draskovic,1936,1964,1999,4,Crime Fighter,High,SER-KR_Milorad-Draskovic,X
547029,Head of Military Intelligence,Dragomir Jovanovic,1936,1964,1999,8,Political Specialist,High,M20067,X
547030,Head of Military Intelligence,Aleksandar Rankovic,1936,1964,1999,1,Political Specialist,High,SER-KR_Aleksandar_Rankovic,X
547031,Head of Military Intelligence,Dusan Popov,1936,1964,1999,5,Technical Specialist,High,M10000000002,X
547032,Head of Military Intelligence,Petar Zivkovic,1936,1964,1999,8,Political Specialist,High,SERZiv,X
547033,Chief of Staff,Arso Jovanovic,1936,1964,1999,1,School of Fire Support,High,M20075,X
547034,Chief of Staff,Petar Pesic,1936,1964,1999,7,School of Mass Combat,High,SER-KR_Petar_Pesic,X
547035,Chief of Army,Koca Popovic,1936,1964,1999,1,Elastic Defence Doctrine,High,SER-KR_Koca_Popovic,X
547036,Chief of Army,Bogoljub Ilic,1936,1964,1999,6,Static Defence Doctrine,High,SER-KR_Bogoljub_Ilic,X
547037,Chief of Army,Petar Zivkovic,1936,1964,1999,8,Guns and Butter Doctrine,High,SERZiv,X
