SIK,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
7435001,Head of State,Sheng Shicai,1936,1964,1999,7,Resigned Generalissimo,High,M72001,X
7435002,Head of Government,Khoja Neyaze,1936,1964,1999,7,Naive Optimist,High,M72002,X
7435003,Foreign Minister,Sheng Shicai,1936,1964,1999,7,Great Compromiser,Very High,M72001,X
7435004,Minister of Armament,Habibullah Huseinov,1936,1964,1999,7,Infantry Proponent,Medium,M72004,X
7435005,Minister of Security,Zhang Xiliang,1936,1964,1999,7,Crooked Kleptocrat,Medium,M72005,X
7435006,Head of Military Intelligence,Viktor A.F. Polinov,1936,1964,1999,7,Industrial Specialist,Medium,M72006,X
7435007,Chief of Staff,Sheng Shicai,1936,1964,1999,7,School of Psychology,Very High,M72001,X
7435008,Chief of Army,Sheng Shicai,1936,1964,1999,7,Guns and Butter Doctrine,Very High,M72001,X
7435009,Chief of Navy,Sa Zhenbing,1936,1964,1999,7,Indirect Approach Doctrine,Medium,M72009,X
7435010,Chief of Air Force,Piotr Orlov,1936,1964,1999,7,Army Aviation Doctrine,Medium,M72010,X
7435011,Foreign Minister,Isa Yusuf Alptekin,1938,1964,1999,6,Apologetic Clerk,Low,M72012,X
7435012,Minister of Armament,A.V. Fedyunskij,1938,1964,1999,7,Infantry Proponent,Medium,M72024,X
7435013,Minister of Armament,Isa Yusuf Alptekin,1938,1964,1999,6,Infantry Proponent,Medium,M72012,X
7435014,Minister of Security,Kunimu Khan,1937,1964,1999,6,Compassionate Gentleman,Very High,M72014,X
7435015,Minister of Security,Ishakjan Monhakiyev,1936,1964,1999,6,Man of the People,Medium,M72025,X
7435016,Head of Military Intelligence,Zhang Xiliang,1938,1964,1999,7,Dismal Enigma,Medium,M72005,X
7435017,Head of Military Intelligence,Dalerim Khan,1938,1964,1999,7,Political Specialist,Medium,M72016,X
7435018,Head of Military Intelligence,Liu Ben,1939,1964,1999,7,Technical Specialist,Medium,M72026,X
7435019,Chief of Staff,Yol Bars,1941,1964,1999,7,School of Mass Combat,Very Low,M72017,X
7435020,Chief of Army,Yol Bars,1942,1964,1999,7,Elastic Defence Doctrine,Very Low,M72017,X
7435021,Head of State,Makhmudsabri,1936,1964,1999,4,Insignificant Layman,High,M72011,X
7435022,Head of Government,Isa Yusuf Alptekin,1936,1964,1999,4,Corporate Suit,High,M72012,X
7435023,Minister of Armament,Kunimu Khan,1936,1964,1999,4,Military Entrepreneur,Very High,M72014,X
7435024,Head of State,Sheng Shicai,1936,1964,1999,2,Resigned Generalissimo,High,M72001,X
7435025,Head of Government,Sheng Shicai,1936,1964,1999,2,Old General,High,M72001,X
7435026,Foreign Minister,Sheng Shicai,1936,1964,1999,2,Great Compromiser,Very High,M72001,X
7435027,Chief of Staff,Sheng Shicai,1936,1964,1999,2,School of Psychology,Very High,M72001,X
7435028,Chief of Army,Sheng Shicai,1936,1964,1999,2,Guns and Butter Doctrine,Undying,M72001,X
7435029,Chief of Navy,Sa Zhenbing,1936,1964,1999,1,Indirect Approach Doctrine,Medium,M72009,X
7435030,Chief of Air Force,Piotr Orlov,1936,1964,1999,1,Army Aviation Doctrine,Medium,M72010,X
7435031,Head of State,The Tsar Of All Russians,1963,1964,1999,6,Popular Figurehead,High,Mrus Tsar,X
7435032,Head of State,The Tsar Of All Russians,1963,1964,1999,7,Popular Figurehead,High,Mrus Tsar,X
7435033,Head of State,Under Russian protectorate,1963,1964,1999,7,Weary Stiffneck,High,rusprotectorate,X
7435034,Head of State,Under Russian protectorate,1963,1964,1999,6,Weary Stiffneck,High,rusprotectorate,X
7435035,Head of Government,Anastasiy Vonsyacky,1963,1964,1999,6,Old General,Very High,SikVonsyacki,X
7435036,Head of Government,Anastasiy Vonsyacky,1963,1964,1999,7,Old General,Very High,SikVonsyacki,X
7435037,Head of State,Hoja Niyaz Haji,1936,1970,1999,8,Stern Imperialist,Very High,SIK_Niyaz,X
7435038,Head of Government,Hoja Niyaz Haji,1936,1970,1999,8,Old General,Very High,SIK_Niyaz,X
