SOV,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
4001,Head of State,SOVNARKOM,1936,1964,1999,1,Weary Stiffneck,High,MRus Sovnarkom,x
4002,Head of Government,Nicolai Bukharin,1936,1964,1999,1,Silent Workhorse,Medium,BukharinSOV,x
4003,Foreign Minister,Maksim Litvinov,1936,1964,1999,0,Biased Intellectual,Medium,M4003,x
4004,Minister of Armament,Lazer Kaganovich,1936,1964,1999,0,Resource Industrialist,High,M4004,x
4005,Minister of Security,Genrikh Yagoda,1936,1964,1999,0,Back Stabber,Medium,M4005,x
4006,Head of Military Intelligence,Ivan I.Proskurov,1936,1964,1999,0,Dismal Enigma,High,M4046,x
4007,Chief of Staff,Michail N. Tuchatjevskij,1936,1964,1999,0,School of Manoeuvre,High,M4007,x
4008,Chief of Army,Kliment Y. Voroshilov,1936,1964,1999,0,Guns and Butter Doctrine,Very High,M4008,x
4009,Chief of Navy,Vladimir M. Orlov,1936,1964,1999,1,Indirect Approach Doctrine,High,M4009,x
4010,Chief of Air Force,Yakov I. Alksnis,1936,1964,1999,1,Air Superiority Doctrine,High,M4010,x
,Replacements,,,,,,,,,x
4031,Minister of Security,Nikolai Yezhov,1936,1964,1999,0,Prince of Terror,High,M4031,x
4033,Foreign Minister,Andrey Vyshinsky,1936,1964,1999,0,The Cloak N Dagger Schemer,Very High,M4033,x
4034,Foreign Minister,Vyacheslav Molotov,1939,1964,1999,0,Iron Fisted Brute,High,M4034,x
4035,Foreign Minister,Ivan M. Maisky,1943,1964,1999,0,Apologetic Clerk,High,M4035,x
4036,Minister of Armament,Georgij D. Bazilevich,1938,1964,1999,0,Infantry Proponent,High,M4036,x
4037,Minister of Armament,Dimitry F. Ustinov,1941,1964,1999,0,Theoretical Scientist,High,M4037,x
4038,Minister of Armament,Boris L. Vannikov,1942,1964,1999,0,Military Entrepreneur,Very High,M4038,x
4040,Minister of Security,Sergej Uritskiy,1937,1964,1999,0,Crime Fighter,Medium,M4040,x
4042,Minister of Security,Andriy G. Orlov,1938,1964,1999,0,Silent Lawyer,Medium,M4042,x
4043,Minister of Security,Sergiy G. Gendin,1938,1964,1999,0,Efficient Sociopath,Medium,M4043,x
4044,Minister of Security,Andriy P. Panfilov,1941,1964,1999,0,Man of the People,Medium,M4044,x
4045,Head of Military Intelligence,Nikolai Yezhov,1936,1964,1999,0,Technical Specialist,Undying,M4031,x
4047,Head of Military Intelligence,Filip I. Golikov,1940,1964,1999,0,Political Specialist,Very High,M4047,x
4048,Head of Military Intelligence,Andriy P. Panfilov,1941,1964,1999,0,Logistics Specialist,High,M4044,x
4049,Head of Military Intelligence,Igor I. Ilichev,1942,1964,1999,0,Industrial Specialist,Very High,M4049,x
4050,Head of Military Intelligence,Fedor F. Kuznetsov,1945,1964,1999,0,Technical Specialist,Very High,M4050,x
4051,Chief of Staff,Boris M. Shaposhnikov,1936,1964,1999,0,School of Mass Combat,Very High,M4051,x
4052,Chief of Staff,Kirill A. Meretskov,1936,1964,1999,0,School of Psychology,High,M4052,x
4053,Chief of Staff,Georgiy K. Zhukov,1938,1964,1999,0,School of Fire Support,Medium,M4028,x
4054,Chief of Staff,Alesandr M. Vasilevskij,1938,1964,1999,0,School of Defence,High,M4054,x
4055,Chief of Staff,Nikolaj Bulganin,1944,1964,1999,0,School of Mass Combat,Low,M4055,x
4056,Chief of Staff,Aleksei I. Antonov,1945,1964,1999,0,School of Psychology,Very High,M4056,x
4057,Chief of Staff,Sergei M. Shtemenko,1946,1964,1999,0,School of Manoeuvre,High,M4057,x
