SPA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
10001,Head of State,Miguel Cabanellas Ferrer,1936,1964,1999,8,Resigned Generalissimo,High,M10001,x
10002,Head of Government,Fidel Dávila Arrondo,1936,1964,1999,8,Political Protege,High,M10002,x
10003,Foreign Minister,Francisco de Asís Serrat y Bonastre,1936,1964,1999,8,Ideological Crusader,High,M10003,x
10004,Minister of Armament,Gérman Gil y Yuste,1936,1964,1999,8,Infantry Proponent,High,M10004,x
10005,Minister of Security,Miguel Ponte Mansó de Zúñiga,1936,1964,1999,7,Crime Fighter,High,M10005,x
10006,Head of Military Intelligence,Angel Salas Larrázabal,1936,1964,1999,8,Political Specialist,High,M10006,x
10007,Chief of Staff,Fidel Dávila Arrondo,1936,1964,1999,8,School of Psychology,High,M10002,x
10008,Chief of Army,José Sanjurjo Sacanell,1936,1964,1999,8,Armoured Spearhead Doctrine,Very High,M10040,x
10009,Chief of Navy,Francisco Moreno Fernández,1936,1964,1999,8,Open Seas Doctrine,High,M10009,x
10010,Chief of Air Force,Ramón Franco Bahamonde,1936,1964,1999,7,Naval Aviation Doctrine,High,M10089,x
10032,Head of State,Francisco Franco Bahamonde,1936,1964,1999,7,Stern Imperialist,High,L3426,x
10034,Head of State,Javier de Borbón-Parma,1936,1964,1999,8,Autocratic Charmer,High,M10034,x
10038,Head of State,S.C.M. Juan III,1941,1964,1999,6,Benevolent Gentleman,High,M10011,x
10039,Head of State,S.C.M. Alfonso XIII,1936,1964,1999,6,Insignificant Layman,High,kaiserreich afonsoxiii,x
10046,Head of Government,Francisco Franco Bahamonde,1936,1964,1999,7,Silent Workhorse,High,L3426,x
10049,Head of Government,Manuel Fal Conde,1941,1964,1999,8,Political Protege,High,M10049,x
10050,Head of Government,Manuel Hedilla Larrey,1944,1964,1999,8,Smiling Oilman,High,M10050,x
10054,Head of Government,J.M. Gil-Robles Quiñones,1936,1964,1999,7,Silent Workhorse,High,M10012,x
10055,Foreign Minister,Francisco Gómez-Jordana y Souza,1936,1964,1999,7,Biased Intellectual,High,M10057,x
10056,Foreign Minister,Juan Luís Beigbeder Atienza,1939,1964,1999,7,General Staffer,Medium,M10013,x
10057,Foreign Minister,Ramón Serrano Súñer,1940,1964,1999,7,Ideological Crusader,Medium,M10059,x
10058,Foreign Minister,José Lequerica y Erquiza,1944,1964,1999,7,The Cloak N Dagger Schemer,High,M10060,x
10059,Foreign Minister,Alberto M. Artejo-Álvarez,1945,1964,1999,7,Apologetic Clerk,High,M10061,x
10060,Foreign Minister,Tomás Conde de Redezno,1936,1964,1999,8,Iron Fisted Brute,High,M10048,x
10061,Foreign Minister,Enrique Plá y Deniel,1938,1964,1999,8,Ideological Crusader,Medium,M10063,x
10062,Foreign Minister,Victor Pradera,1943,1964,1999,8,Ideological Crusader,High,M10066,x
10063,Foreign Minister,Luís Hernando de Larramendi,1946,1964,1999,8,Biased Intellectual,High,M10067,x
10064,Foreign Minister,J. de Areilza y Martínez-Rodas,1942,1964,1999,8,Great Compromiser,High,M10071,x
10065,Foreign Minister,Manuel Hedilla Larrey,1946,1964,1999,8,Biased Intellectual,High,M10050,x
10066,Foreign Minister,Raimundo Fernández Cuesta,1947,1964,1999,8,The Cloak N Dagger Schemer,High,M10074,x
10067,Foreign Minister,Ramiro de Maeztu,1936,1964,1999,6,Ideological Crusader,High,M10075,x
10068,Foreign Minister,Francisco de Borbón de la Torre,1941,1964,1999,6,General Staffer,Medium,M10077,x
10069,Foreign Minister,Jacobo Fitz-James Stuart,1945,1964,1999,6,Biased Intellectual,Medium,M10080,x
10070,Foreign Minister,José Yanguas Messía,1936,1964,1999,6,Great Compromiser,High,M11150,x
10071,Foreign Minister,Claudio Sánchez Albornoz,1936,1964,1999,5,Ideological Crusader,High,M11072,x
10072,Foreign Minister,José Martínez de Velasco,1937,1964,1999,5,Iron Fisted Brute,Low,M11110,x
10073,Foreign Minister,Luis Luciá Luciá,1938,1964,1999,5,Biased Intellectual,Low,M11113,x
10074,Foreign Minister,José Ungría Jiménez,1940,1964,1999,8,General Staffer,High,M10085,x
10075,Foreign Minister,Niceto Alcalá-Zamora,1941,1964,1999,5,Great Compromiser,High,M11001,x
10076,Foreign Minister,José de Areilza y Martínez-Rodas,1946,1964,1999,5,The Cloak N Dagger Schemer,High,M10071,x
10077,Minister of Armament,José de Areilza y Martínez-Rodas,1936,1964,1999,7,laissez-faire capitalist,High,M10071,x
10078,Minister of Armament,Ramón Franco Bahamonde,1937,1964,1999,7,Air Superiority Proponent,Medium,M10089,x
10079,Minister of Armament,Fidel Dávila Arrondo,1938,1964,1999,8,Military Entrepreneur,High,M10002,x
10080,Minister of Armament,Nicolás Franco Bahamonde,1936,1964,1999,7,Battle Fleet Proponent,Very High,M10092,x
10081,Minister of Armament,Joaquin Benjumea Búrin,1941,1964,1999,8,Resource Industrialist,High,M10093,x
10082,Minister of Armament,José Larraz Lopez,1939,1964,1999,8,laissez-faire capitalist,High,M11139,x
10083,Minister of Armament,Mariano Ansó,1946,1964,1999,7,Air to Ground Proponent,Medium,M10096,x
10084,Minister of Armament,Joaquín Bau Nolla,1937,1964,1999,8,Administrative Genius,Medium,M10095,x
10085,Minister of Armament,Luís Hernando de Larramendi,1939,1964,1999,8,Resource Industrialist,High,M10067,x
10086,Minister of Armament,José María Lammamié,1945,1964,1999,8,laissez-faire capitalist,Medium,M10102,x
10087,Minister of Armament,Victor Pradera,1946,1964,1999,8,Theoretical Scientist,High,M10066,x
10088,Minister of Armament,J.A. Primo de Rivera de Heredia,1936,1964,1999,8,Resource Industrialist,High,M10036,x
10089,Minister of Armament,Raimundo Fernández Cuesta,1937,1964,1999,8,laissez-faire capitalist,High,M10105,x
10090,Minister of Armament,Manuel Hedilla Larrey,1938,1964,1999,8,Military Entrepreneur,High,M10050,x
10091,Minister of Armament,Sancho Dávila,1941,1964,1999,8,Infantry Proponent,Medium,M10109,x
10092,Minister of Armament,Agustín Aznar Guerner,1942,1964,1999,8,Air to Ground Proponent,Medium,M10110,x
10093,Minister of Armament,José Calvo-Sotelo,1936,1964,1999,7,laissez-faire capitalist,Very High,M11014,x
10094,Minister of Armament,José Enrique Varela Iglesias,1936,1964,1999,6,Military Entrepreneur,High,M10014,x
10095,Minister of Armament,Juan March Ordinas,1936,1964,1999,6,Administrative Genius,High,M10113,x
10096,Minister of Armament,Juan Ignacio Luca de Tena,1939,1964,1999,6,laissez-faire capitalist,Medium,M10115,x
10097,Minister of Armament,Juan Vigón Suerodíaz,1938,1964,1999,6,Theoretical Scientist,High,M10118,x
10098,Minister of Armament,Francisco de Borbón de la Torre,1938,1964,1999,6,Tank Proponent,Medium,M10077,x
10099,Minister of Armament,Diego Hidalgo Dúran,1936,1964,1999,5,Military Entrepreneur,High,M11101,x
10100,Minister of Armament,Emilio Herrera,1941,1964,1999,5,Air Superiority Proponent,High,M11145,x
10101,Minister of Armament,Joaquín Chapaprieta Torregosa,1942,1964,1999,5,Resource Industrialist,High,M11155,x
10102,Minister of Armament,José María Gil-Robles Quiñones,1943,1964,1999,5,Resource Industrialist,High,M10012,x
10103,Minister of Armament,Luis Luciá Luciá,1944,1964,1999,5,Theoretical Scientist,Low,M11113,x
10104,Minister of Security,Pedro Sáinz Rodríguez,1936,1964,1999,8,Man of the People,High,M10127,x
10105,Minister of Security,Severiano Martínez Anido,1939,1964,1999,7,Prince of Terror,Medium,M10128,x
10106,Minister of Security,Dionisio Ridruejo,1938,1964,1999,7,Back Stabber,Medium,M10129,x
10107,Minister of Security,Blas Pérez González,1940,1964,1999,7,Silent Lawyer,High,M10130,x
10108,Minister of Security,José Millán Astray,1941,1964,1999,7,Efficient Sociopath,Medium,M10131,x
10109,Minister of Security,Valentín Galarza Morante,1940,1964,1999,7,Man of the People,High,M10132,x
10110,Minister of Security,Luis Valdés Cavanillas,1942,1964,1999,7,Prince of Terror,High,M10134,x
10111,Minister of Security,Tomás Garciano Goñi,1936,1964,1999,7,Compassionate Gentleman,Medium,M10135,x
10112,Minister of Security,Tomás  Conde de Redezno,1937,1964,1999,8,Prince of Terror,High,M10099,x
10113,Minister of Security,José María Lammamié,1944,1964,1999,8,Efficient Sociopath,Medium,M10102,x
10114,Minister of Security,Agustín Aznar Guerner,1936,1964,1999,8,Back Stabber,Medium,M10110,x
10115,Minister of Security,Ramiro Ledesma Ramos,1938,1964,1999,8,Silent Lawyer,High,M10069,x
10116,Minister of Security,Pilar Primo de Rivera,1942,1964,1999,8,Prince of Terror,High,M10037,x
10117,Minister of Security,Raimundo Fernández Cuesta,1945,1964,1999,8,Man of the People,High,M10074,x
10118,Minister of Security,Jacobo Fitz-James Stuart,1936,1964,1999,6,Compassionate Gentleman,Medium,M10080,x
10119,Minister of Security,José Yanguas Messía,1939,1964,1999,6,Efficient Sociopath,High,M11150,x
10120,Minister of Security,José Martínez de Velasco,1941,1964,1999,6,Crime Fighter,Low,M11110,x
10121,Minister of Security,Andrés Saliquet Zumeta,1942,1964,1999,6,Man of the People,Medium,M10015,x
10122,Minister of Security,Miguel Cabanellas Ferrer,1936,1964,1999,6,Crime Fighter,High,M10001,x
10123,Minister of Security,Miguel Maura Gamazo,1944,1964,1999,5,Compassionate Gentleman,High,M11073,x
10124,Head of Military Intelligence,Antonio Barroso Sánchez-Guerra,1939,1964,1999,7,Logistics Specialist,High,M10159,x
10125,Head of Military Intelligence,Juan Vigón Suerodíaz,1939,1964,1999,7,Technical Specialist,High,M10118,x
10126,Head of Military Intelligence,José Ungría Jiménez,1936,1964,1999,7,Industrial Specialist,High,M10085,x
10127,Head of Military Intelligence,Isidro Gomá y Tomás,1936,1964,1999,8,Dismal Enigma,High,M10065,x
10128,Head of Military Intelligence,Joaquín Bau Nolla,1941,1964,1999,8,Political Specialist,Medium,M10095,x
10129,Head of Military Intelligence,Luís Hernando de Larramendi,1943,1964,1999,8,Technical Specialist,High,M10067,x
10130,Head of Military Intelligence,Ricardo de Rada,1937,1964,1999,8,Logistics Specialist,High,M10166,x
