SUD,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
555001,Head of State,Ismael Alazhari,1936,1964,1999,3,Pig-headed Isolationist,High,M555012,x
555002,Head of State,Abdella Bey Khaleel,1936,1964,1999,3,Benevolent Gentleman,High,M555014,x
555003,Head of Government,Abdella Bey Khaleel,1936,1964,1999,3,Flamboyant Tough Guy,High,M555014,x
555004,Head of Government,Ismael Alazhari,1936,1964,1999,3,Silent Workhorse,High,M555012,x
555005,Foreign Minister,Mohammed Ahmed Mahjoob,1936,1964,1999,3,iron fisted brute,High,M555016,x
555006,Foreign Minister,dr. Aljazooli Daffa'alla,1936,1964,1999,3,Biased Intellectual,Medium,M555019,x
555007,Foreign Minister,Ismael Alazhari,1936,1964,1999,3,Great Compromiser,High,M555012,x
555008,Foreign Minister,Abdella Bey Khaleel,1936,1964,1999,3,Ideological Crusader,High,M555014,x
555009,Minister of Armament,dr. Aljazooli Daffa'alla,1936,1964,1999,3,Theoretical Scientist,Medium,M555019,x
555010,Minister of Armament,Slah Elzubir,1942,1964,1999,3,Strategic Air Proponent,Medium,M555020,x
555011,Minister of Armament,Rasheed Altahir Bakr,1950,1964,1999,3,Corrupt Kleptocrat,Medium,M555023,x
555012,Minister of Armament,Farik Ibrahim Abboud,1936,1964,1999,3,air to ground proponent,Medium,M555030,x
555013,Minister of Armament,Mohammed Ahmad Yasin,1936,1964,1999,3,Infantry Proponent,Medium,M555028,x
555014,Minister of Armament,Mohammed Ahmed Mahjoob,1936,1964,1999,3,air to sea proponent,High,M555016,x
555015,Minister of Armament,Sirr Al-Khatim Al-Khalifa,1939,1964,1999,3,Air Superiority Proponent,Medium,M555037,x
555016,Minister of Armament,Ismael Alazhari,1936,1964,1999,3,Resource Industrialist,High,M555012,x
555017,Minister of Security,Farik Ibrahim Abboud,1936,1964,1999,3,Silent Lawyer,Medium,M555030,x
555018,Minister of Security,Rasheed Altahir Bakr,1950,1964,1999,3,Crooked Kleptocrat,Medium,M555023,x
555019,Minister of Security,Mohammed Ahmed Mahjoob,1936,1964,1999,3,Prince of Terror,High,M555016,x
555020,Minister of Security,Abdella Bey Khaleel,1936,1964,1999,3,Man of the People,High,M555014,x
555021,Head of Military Intelligence,Mohammed Ahmad Yasin,1936,1964,1999,3,Logistics Specialist,Medium,M555028,x
555022,Head of Military Intelligence,dr. Aljazooli Daffa'alla,1936,1964,1999,3,Technical Specialist,Medium,M555019,x
555023,Head of Military Intelligence,Ismael Alazhari,1936,1964,1999,3,Industrial Specialist,High,M555012,x
555024,Head of Military Intelligence,Babiker Awadalla,1937,1964,1999,3,Naval Intelligence Specialist,Medium,M555035,x
555025,Head of Military Intelligence,Abdella Bey Khaleel,1936,1964,1999,3,Political Specialist,High,M555014,x
555026,Chief of Staff,Farik Ibrahim Abboud,1936,1964,1999,3,School of Manoeuvre,Medium,M555030,x
555027,Chief of Staff,Mohammed Ahmad Yasin,1936,1964,1999,3,School of Mass Combat,Medium,M555028,x
555028,Chief of Army,Farik Ibrahim Abboud,1936,1964,1999,3,Elastic Defence Doctrine,Medium,M555030,x
555029,Chief of Army,Mohammed Ahmad Yasin,1936,1964,1999,3,Decisive Battle Doctrine,Medium,M555028,x
555030,Chief of Navy,Babiker Awadalla,1937,1964,1999,3,Base Control Doctrine,Medium,M555035,x
555031,Chief of Navy,Mohammed Ahmed Mahjoob,1936,1964,1999,3,Power Projection Doctrine,High,M555016,x
555032,Chief of Air Force,Sirr Al-Khatim Al-Khalifa,1939,1964,1999,3,Air Superiority Doctrine,Medium,M555037,x
555033,Chief of Air Force,Slah Elzubir,1942,1964,1999,3,Carpet Bombing Doctrine,Medium,M555020,x
555034,Chief of Air Force,Farik Ibrahim Abboud,1936,1964,1999,3,Army Aviation Doctrine,Medium,M555030,x
555035,Chief of Air Force,Babiker Awadalla,1937,1964,1999,3,Vertical Envelopment Doctrine,Medium,M555035,x
555036,Chief of Air Force,Mohammed Ahmed Mahjoob,1936,1964,1999,3,Naval Aviation Doctrine,High,M555016,x
555037,Head of State,H.R.M. Sayed Abd-el-Rahman el-Mahdi,1936,1964,1999,7,Ruthless Powermonger,High,Sayed,X
555038,Head of State,Abdul Raheem Glaiati,1936,1964,1999,7,Pig-headed Isolationist,High,unknown,X
555039,Head of State,Mahmoud Mohammed Taha,1936,1964,1999,7,Benevolent Gentleman,High,Taha,X
555040,Head of Government,Siddick Sayed el-Mahdi,1936,1964,1999,7,Silent Workhorse,High,unknown,X
555041,Head of Government,Abdul Raheem Glaiati,1936,1964,1999,7,Silent Workhorse,High,unknown,X
555042,Head of Government,Mahmoud Mohammed Taha,1936,1964,1999,7,Flamboyant Tough Guy,High,Taha,X
555043,Foreign Minister,Abdul Raheem Glaiati,1936,1964,1999,7,The Cloak N Dagger Schemer,High,unknown,X
555044,Foreign Minister,Mahmoud Mohammed Taha,1936,1964,1999,7,Biased Intellectual,High,Taha,X
555045,Foreign Minister,Sayed Abd-el-Rahman el-Mahdi,1936,1964,1999,7,Ideological Crusader,High,Sayed,X
555046,Foreign Minister,Siddick Sayed el-Mahdi,1936,1964,1999,7,iron fisted brute,High,unknown,X
555047,Minister of Armament,Mahmoud Mohammed Taha,1936,1964,1999,7,Theoretical Scientist,High,Taha,X
555048,Minister of Armament,Rashad Hashim,1936,1964,1999,7,Battle fleet Proponent,High,unknown,X
555049,Minister of Armament,Abdallah Bakr Mustafa,1936,1964,1999,7,Infantry Proponent,High,unknown,X
555050,Minister of Armament,Abdel Khaliq Mahjub,1945,1964,1999,7,Tank Proponent,High,unknown,X
555051,Minister of Armament,Emilio Tafeng,1936,1964,1999,7,air to ground proponent,High,unknown,X
555052,Minister of Armament,Al-Tijani Yusuf Bashir,1936,1964,1999,7,air to sea proponent,High,unknown,X
555053,Minister of Armament,Mohammed Ahmed Sarror,1936,1964,1999,7,Resource Industrialist,High,unknown,X
555054,Minister of Security,Al-Tijani Yusuf Bashir,1936,1964,1999,7,Crime Fighter,High,unknown,X
555055,Minister of Security,Mohammed Ahmed Sarror,1936,1964,1999,7,Man of the People,High,unknown,X
555056,Minister of Security,Abdul Raheem Glaiati,1936,1964,1999,7,Efficient Sociopath,High,unknown,X
555057,Head of Military Intelligence,Abdul Raheem Glaiati,1936,1964,1999,7,Dismal Enigma,High,unknown,X
555058,Head of Military Intelligence,Mahmoud Mohammed Taha,1936,1964,1999,7,Technical Specialist,High,Taha,X
555059,Head of Military Intelligence,Abdallah Bakr Mustafa,1936,1964,1999,7,Logistics Specialist,High,unknown,X
555060,Head of Military Intelligence,Rashad Hashim,1936,1964,1999,7,Naval Intelligence Specialist,High,unknown,X
555061,Head of Military Intelligence,Mohammed Ahmed Sarror,1936,1964,1999,7,Industrial Specialist,High,unknown,X
555062,Chief of Staff,Abdallah Bakr Mustafa,1936,1964,1999,7,School of Mass Combat,High,unknown,X
555063,Chief of Staff,Abdel Khaliq Mahjub,1945,1964,1999,7,School of Fire Support,High,unknown,X
555064,Chief of Staff,Emilio Tafeng,1936,1964,1999,7,School of Defence,High,unknown,X
555065,Chief of Army,Abdallah Bakr Mustafa,1936,1964,1999,7,Decisive Battle Doctrine,High,unknown,X
555066,Chief of Army,Abdel Khaliq Mahjub,1945,1964,1999,7,Armoured Spearhead Doctrine,High,unknown,X
555067,Chief of Army,Emilio Tafeng,1936,1964,1999,7,Static Defence Doctrine,High,unknown,X
555068,Chief of Navy,Rashad Hashim,1936,1964,1999,7,Decisive Naval Battle Doctrine,High,unknown,X
555069,Chief of Navy,Al-Tijani Yusuf Bashir,1936,1964,1999,7,Power Projection Doctrine,High,unknown,X
555070,Chief of Air Force,Emilio Tafeng,1936,1964,1999,7,Army Aviation Doctrine,High,unknown,X
555071,Chief of Air Force,Al-Tijani Yusuf Bashir,1936,1964,1999,7,Naval Aviation Doctrine,High,unknown,X
