SYR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
528001,Head of State,Muhammed Bey al-Abid,1936,1964,1999,4,Stern Imperialist,High,M528001,x
528002,Head of State,Hassim al-Atassi,1936,1964,1999,4,Insignificant Layman,High,M528012,x
528003,Head of State,Bahij ad din al-Khatib,1939,1964,1999,4,Barking Buffoon,High,M528013,x
528004,Head of State,Shukri al-Kuwaitli,1943,1964,1999,4,Benevolent Gentleman,High,M528015,x
528005,Head of State,Hussein al-Zaim,1949,1964,1999,4,Resigned Generalissimo,High,M528047,x
528006,Head of State,Fawzi as Silu,1951,1964,1999,4,Barking Buffoon,High,M528061,x
528007,Head of State,Adib al-Shishakli,1953,1964,1999,4,Powerhungry Demagogue,High,M528051,x
528008,Head of State,Lufti al-Haffar,1936,1964,1999,6,Die-hard Reformer,High,M528016,x
528009,Head of State,Shaykh Taj ad-din al-Hasani,1941,1964,1999,6,Weary Stiffneck,High,M528014,x
528010,Head of State,Shaykh Muhammed al-Zawahri,1936,1964,1999,7,Autocratic Charmer,High,M528011,x
528021,Head of Government,Shukri al-Kuwaitli,1945,1964,1999,4,Backroom Backstabber,High,M528015,x
528022,Head of Government,Khalid al Azm,1948,1964,1999,4,Flamboyant Tough Guy,High,M528063,x
528023,Head of Government,Hussein al-Zaim,1949,1964,1999,4,Old General,High,M528047,x
528024,Head of Government,Muhsin al Barazi,1949,1964,1999,4,Silent Workhorse,High,M528065,x
528025,Head of Government,Hassim al-Atassi,1949,1964,1999,4,Happy Amateur,High,M528012,x
528026,Head of Government,Nazim al Kudsi,1950,1964,1999,4,Ambitious Union Boss,High,M528067,x
528027,Head of Government,Hassan al Hakim,1951,1964,1999,4,Smiling Oilman,High,M528068,x
528028,Head of Government,Fawzi as Silu,1951,1964,1999,4,Old General,High,M528061,x
528029,Head of Government,Adib al-Shishakli,1953,1964,1999,4,Corporate Suit,High,M528051,x
528030,Head of Government,Jamil Mardam Bay,1936,1964,1999,5,Political Protege,High,M528003,x
528032,Foreign Minister,Jamil Mardam Bay,1936,1964,1999,4,Great Compromiser,High,M528003,x
528033,Foreign Minister,Muhsin al Barazi,1939,1964,1999,4,Apologetic Clerk,High,M528065,x
528034,Foreign Minister,Shaykh Muhammed al-Gawzi,1941,1964,1999,4,General Staffer,High,M528024,x
528035,Foreign Minister,Lufti al-Haffar,1943,1964,1999,4,Iron Fisted Brute,High,M528016,x
528036,Foreign Minister,Saadallah al-Jabiri,1945,1964,1999,4,The Cloak N Dagger Schemer,High,M528026,x
528037,Foreign Minister,Shaykh Mustafa al-Maraghi,1936,1964,1999,6,Great Compromiser,High,M528027,x
