TAJ,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
524001,Head of State,Dimitry Protopopov,1936,1964,1999,1,Die-hard Reformer,High,M524001,x
524002,Head of Government,Bobodzhan Gafurov,1936,1964,1999,1,Flamboyant Tough Guy,High,M524002,x
524003,Foreign Minister,Urunboy Ushorov,1936,1964,1999,1,General Staffer,High,M524003,x
524004,Minister of Armament,Mirza ogly Husseynov,1936,1964,1999,1,Tank Proponent,Medium,M524004,x
524005,Minister of Security,Grigorij Broydo,1936,1964,1999,1,Back Stabber,Medium,M524005,x
524006,Head of Military Intelligence,Suren Shchadunts,1936,1964,1999,1,Dismal Enigma,Medium,M524006,x
524007,Chief of Staff,Ara Gafurov,1936,1964,1999,1,School of Fire Support,Medium,M524007,x
524008,Chief of Army,Veniamin Protopopov,1936,1964,1999,1,Decisive Battle Doctrine,Medium,M524008,x
524009,Chief of Navy,Pendar Ryndenko,1936,1964,1999,1,Indirect Approach Doctrine,Medium,M524009,x
524010,Chief of Air Force,Mikhail Barsukov,1936,1964,1999,1,Vertical Envelopment Doctrine,Medium,M524010,x
524011,Head of State,Gasan Abdullaiev,1936,1964,1999,4,Stern Imperialist,High,M524011,x
524012,Head of State,Behrang Seleznev,1936,1964,1999,7,Insignificant Layman,High,M524012,x
524013,Head of Government,Shadan Lavrenets,1936,1964,1999,4,Corporate Suit,High,M524013,x
524014,Head of Government,Yevgenij Mamedov,1936,1964,1999,7,Backroom Backstabber,High,M524014,x
524015,Foreign Minister,Shirinsho Shotemor,1936,1964,1999,1,Iron Fisted Brute,High,M524015,x
524016,Foreign Minister,Feda Ronzin,1936,1964,1999,4,Ideological Crusader,High,M524016,x
524017,Foreign Minister,Garri Abelev,1936,1964,1999,4,Biased Intellectual,High,M524017,x
524018,Foreign Minister,Paghahan Asanov,1936,1964,1999,7,Ideological Crusader,High,M524018,x
524019,Foreign Minister,Freba Pashkov,1936,1964,1999,7,Iron Fisted Brute,High,M524019,x
524020,Minister of Armament,Kamshad Genkin,1936,1964,1999,1,Resource Industrialist,Medium,M524020,x
524021,Minister of Armament,Abdullo Rakhimbayev,1936,1964,1999,1,Military Entrepreneur,Medium,M524021,x
524022,Minister of Armament,Aleksandr Baikov,1936,1964,1999,1,Theoretical Scientist,Medium,M524022,x
524023,Minister of Armament,Zand Korzh,1936,1964,1999,4,Military Entrepreneur,Medium,M524023,x
524024,Minister of Armament,Naz Gindis,1936,1964,1999,4,Tank Proponent,Medium,M524024,x
524025,Minister of Armament,Ivan Prosit,1936,1964,1999,7,Air to Ground Proponent,Medium,M524025,x
524026,Minister of Armament,Ilya Chernyaev,1936,1964,1999,7,Theoretical Scientist,Medium,M524026,x
524027,Minister of Security,Mamdali Kurbanov,1936,1964,1999,1,Compassionate Gentleman,Medium,M524027,x
524028,Minister of Security,Mamtun Kurbanov,1936,1964,1999,4,Silent Lawyer,Medium,M524028,x
524029,Minister of Security,Grigorij Balanchine,1936,1964,1999,4,Compassionate Gentleman,Medium,M524029,x
524030,Minister of Security,Alexander Berkmann,1936,1964,1999,7,Prince of Terror,Medium,M524030,x
524031,Minister of Security,Mahasti Gafurov,1936,1964,1999,7,Silent Lawyer,Medium,M524031,x
524032,Minister of Security,Father Gennadij,1936,1964,1999,7,Crime Fighter,Medium,M524032,x
524033,Head of Military Intelligence,Mumtoz Raseltov,1936,1964,1999,1,Logistics Specialist,Medium,M524033,x
524034,Head of Military Intelligence,Shayan Barishnikov,1936,1964,1999,4,Dismal Enigma,Medium,M524034,x
524035,Head of Military Intelligence,Igor Balienkov,1936,1964,1999,4,Technical Specialist,Medium,M524035,x
524036,Head of Military Intelligence,Valerij Barsukov,1936,1964,1999,7,Technical Specialist,Medium,M524036,x
524037,Head of Military Intelligence,Feliks Ilyan,1936,1964,1999,7,Political Specialist,Medium,M524037,x
524038,Chief of Staff,Nikilai Provotvorov,1936,1964,1999,1,School of Mass Combat,Medium,M524038,x
524039,Chief of Staff,Yurij Perminov,1936,1964,1999,4,School of Manoeuvre,Medium,M524039,x
524040,Chief of Staff,Urunboy Ushorov,1936,1964,1999,7,School of Psychology,Medium,M524003,x
524041,Chief of Army,Neelufar Kazachestevo,1936,1964,1999,1,Guns and Butter Doctrine,Medium,M524041,x
524042,Chief of Army,Nikita Proskuriakov,1936,1964,1999,4,Armoured Spearhead Doctrine,Medium,M524042,x
524043,Chief of Army,Ara Gafurov,1936,1964,1999,7,Static Defence Doctrine,Medium,M524007,x
524044,Chief of Navy,Siamak Sinaiski,1936,1964,1999,4,Open Seas Doctrine,Medium,M524044,x
524045,Chief of Navy,Urunboy Ushorov,1936,1964,1999,7,Decisive Naval Battle Doctrine,Medium,M524003,x
524046,Chief of Air Force,Pendar Ryndenko,1936,1964,1999,4,Army Aviation Doctrine,Medium,M524009,x
524047,Chief of Air Force,Walter Surén,1936,1964,1999,7,Carpet Bombing Doctrine,Medium,M524047,x
