TIB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
73001,Head of State,Dalai Lama Tenzin Gyatso,1936,1964,1999,7,Benevolent Gentleman,High,M73023_Dalai Lama jeune,x
73002,Head of Government,Reting Rimpoche,1936,1964,1999,7,Happy Amateur,High,M73002,x
73003,Foreign Minister,Ngagchen Rinpoche,1936,1964,1999,7,Ideological Crusader,High,M73040_Ngagchen Rinpoche,x
73004,Minister of Armament,Mondo ,1936,1964,1999,7,Theoretical Scientist,High,M73039_Mondo,x
73005,Minister of Security,Lhalu Se,1936,1964,1999,7,Back Stabber,Medium,M73035_Lhalu Se,x
73006,Head of Military Intelligence,Jigme Taring,1936,1964,1999,7,Technical Specialist,High,M73029_Jigme Taring tradi,x
73007,Chief of Staff,Changra Depon,1936,1964,1999,7,School of Defence,High,M73022_Changra Depon,x
73008,Chief of Army,Changra Depon,1936,1964,1999,7,Static Defence Doctrine,High,M73022_Changra Depon,x
73009,Chief of Navy,Changra Depon,1936,1964,1999,7,Decisive Naval Battle Doctrine,High,M73022_Changra Depon,x
73010,Chief of Air Force,Changra Depon,1936,1964,1999,7,Army Aviation Doctrine,High,M73022_Changra Depon,x
73011,Head of State,Dalai Lama Tenzin Gyatso,1946,1964,1999,7,Autocratic Charmer,High,M73071_Dalai Lama adulte,x
73012,Head of State,Dalai Lama Tenzin Gyatso,1936,1964,1999,3,Benevolent Gentleman,High,M73071_Dalai Lama adulte,x
73013,Head of State,Panchen Lama Choekyi Gyaltsen ,1944,1964,1999,0,Popular Figurehead,High,M73058_Panchen Lama,x
73014,Head of Government,Langdun,1938,1964,1999,8,Political Protege,Medium,M73034_Langdun,x
73015,Minister of Security,Kyibu,1937,1964,1999,6,Compassionate Gentleman,High,M73033_Kyibu,x
73016,Head of Government,Kunphela,1936,1964,1999,4,Backroom Backstabber,High,M73032_Kunphela,x
73017,Head of Government,Phunwang,1936,1964,1999,2,Naive Optimist,High,M73055_Phunwang,x
73018,Head of Government,Ngapo Ngawang Jigme,1936,1964,1999,0,Silent Workhorse,High,M73051_Ngapoi Ngawang Jigme,x
73019,Foreign Minister,Lhawang Tobgyal Surkhang,1936,1964,1999,6,General Staffer,Medium,M73036_Lhawang Tobgyal,x
73020,Foreign Minister,Gedun Choephel,1936,1964,1999,3,Ideological Crusader,High,M73026_Gedun Choephel,x
73021,Foreign Minister,Ngapo Ngawang Jigme,1936,1964,1999,1,Great Compromiser,High,M73051_Ngapoi Ngawang Jigme,x
73022,Foreign Minister,Tashi Dorje Phunkhang,1938,1964,1999,7,iron fisted brute,Medium,,x
73023,Foreign Minister,Ngawang Gyaltsen,1938,1964,1999,7,Great Compromiser,Medium,M73057_Ngawang Gyaltsen,x
73024,Foreign Minister,Liushar,1946,1964,1999,7,Apologetic Clerk,Medium,M73037_Liushar,x
73025,Foreign Minister,Changlochen,1938,1964,1999,6,Biased Intellectual,Medium,M73021_Changlochen,x
73026,Foreign Minister,Gyalo Dhondup,1946,1964,1999,7,Ideological Crusader,Medium,M73028_Gyalo Dhondup,x
73027,Minister of Armament,Yarphel Pangdatsang,1936,1964,1999,4,Laissez-Faire Capitalist,High,M73069_Yarphel Pangdatsang,x
73028,Minister of Armament,Kunphela,1937,1964,1999,4,Administrative Genius,High,M73032_Kunphela,x
73029,Minister of Armament,Tsarong Dzasa,1936,1964,1999,6,Infantry Proponent,High,M73068_Tsarong,x
73030,Minister of Armament,Dodewa,1940,1964,1999,1,Infantry Proponent,Medium,M73025_Dodewa,x
73031,Minister of Armament,Ringang,1937,1964,1999,7,Resource Industrialist,High,M73063_Ringang,x
73032,Head of Military Intelligence,Rabga Pangdatsang,1936,1964,1999,3,Political Specialist,High,M73056_Rabga Pangdatsang,x
73033,Head of Military Intelligence,Reginald Fox,1938,1964,1999,7,Logistics Specialist,Medium,M73062_Reginald Fox,x
73034,Head of Military Intelligence,Phalha,1940,1964,1999,7,Dismal Enigma,High,M73059_Phalha,x
73035,Head of Military Intelligence,George Tsarong,1942,1964,1999,6,Industrial Specialist,High,M73027_George Tsarong,x
73036,Head of Military Intelligence,Changlochen,1936,1964,1999,3,Logistics Specialist,High,M73021_Changlochen,x
73037,Head of Military Intelligence,Rampa,1936,1964,1999,1,Political Specialist,High,M73061_Rampa,x
73038,Minister of Security,Rabga Pangdatsang,1936,1964,1999,3,Crime Fighter,High,M73056_Rabga Pangdatsang,x
73039,Minister of Security,Seksing,1936,1964,1999,7,Crooked Kleptocrat,Medium,M73065_Seksing,x
73040,Minister of Security,Lukhangnga,1938,1964,1999,7,Silent Lawyer,High,M73038_Lukangnga,x
73041,Head of Government,Taktra Rinpoche,1941,1964,1999,6,Backroom Backstabber,Medium,M73066_Taktra,x
73042,Minister of Security,Kapshoba,1937,1964,1999,6,Prince of Terror,Medium,M73031_Kapshoba,x
73043,Minister of Security,Changlochen,1938,1964,1999,3,Man of the People,High,M73021_Changlochen,x
73044,Minister of Security,Dingja,1941,1964,1999,1,Man of the People,Medium,M73024_Dingja,x
73045,Chief of Staff,Tsarong Dzasa,1936,1964,1999,6,School of Defence,High,M73068_Tsarong,x
73046,Chief of Staff,Yuthok,1938,1964,1999,3,School of Manoeuvre,High,M73070_Yuthok,x
73047,Chief of Staff,Jigme Taring,1938,1964,1999,6,School of Fire Support,Medium,M73030_Jigme Taring uniforme,x
73048,Chief of Staff,Ragashar,1940,1964,1999,7,School of Mass Combat,Medium,M73060_Ragashar,x
73049,Chief of Staff,Gyalo Dhondup,1944,1964,1999,7,School of Manoeuvre,Medium,M73028_Gyalo Dhondup,x
73050,Chief of Staff,Tobgyal Pangdatsang,1936,1964,1999,3,School of Fire Support,High,,x
73051,Chief of Staff,Ngapo Ngawang Jigme,1936,1964,1999,1,School of Psychology,High,M73051_Ngapoi Ngawang Jigme,x
73052,Chief of Staff,Andruk Gonpo Tashi,1946,1964,1999,6,School of Psychology,High,M73072_Gompo Tashi Andrugtsang,x
73053,Chief of Staff,Gyato Wangdu,1946,1964,1999,7,School of Psychology,High,M73029_Gyato Wangdu,x
73054,Chief of Army,Tobgyal Pangdatsang,1938,1964,1999,3,Guns and Butter Doctrine,High,,x
73055,Chief of Army,Yuthok,1936,1964,1999,3,Decisive Battle Doctrine,High,M73070_Yuthok,x
73056,Chief of Army,Tsarong Dzasa,1936,1964,1999,6,Static Defence Doctrine,High,M73068_Tsarong,x
73057,Chief of Army,Tendong Shappe,1938,1964,1999,7,Decisive Battle Doctrine,Medium,M73067_Tendong Shappe,x
73058,Chief of Army,Ragashar,1940,1964,1999,7,Guns and Butter Doctrine,Medium,M73060_Ragashar,x
