TRK,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
525001,Head of State,Kaikhaziz Atabayev,1936,1964,1999,0,Weary Stiffneck,High,M525001,x
525002,Head of Government,Grigorij Aronshtam,1936,1964,1999,0,Flamboyant Tough Guy,High,M525002,x
525003,Foreign Minister,Nikolai Sysin,1936,1964,1999,0,Iron Fisted Brute,High,M525003,x
525004,Minister of Armament,Yakov Popok,1936,1964,1999,0,Tank Proponent,Medium,M525004,x
525005,Minister of Security,Nerdibay Aytakov,1936,1964,1999,0,Back Stabber,Medium,M525005,x
525006,Head of Military Intelligence,Khivali Babayev,1936,1964,1999,0,Technical Specialist,Medium,M525006,x
525007,Chief of Staff,Nikita N. Belov,1936,1964,1999,0,School of Manoeuvre,Medium,M525007,x
525008,Chief of Army,Andrej Ulrich,1936,1964,1999,0,Armoured Spearhead Doctrine,Medium,M525008,x
525009,Chief of Navy,Yuri Batalov,1936,1964,1999,0,Base Control Doctrine,Medium,M525009,x
525010,Chief of Air Force,Aleksandr Baturin,1936,1964,1999,0,Naval Aviation Doctrine,Medium,M525010,x
525011,Head of State,Boris Stein,1936,1964,1999,3,Benevolent Gentleman,High,M525011,x
525012,Head of State,Jacob Suritz,1936,1964,1999,6,Pig-headed Isolationist,High,M525012,x
525013,Head of Government,Rozalia Zalikind,1936,1964,1999,3,Ambitious Union Boss,High,M525013,x
525014,Head of Government,Ivan Mayski,1936,1964,1999,6,Happy Amateur,High,M525014,x
525015,Foreign Minister,Shdzha Batyrov,1936,1964,1999,0,Great Compromiser,High,M525015,x
525016,Foreign Minister,Irina Nikolaeva,1936,1964,1999,3,The Cloak N Dagger Schemer,High,M525016,x
525017,Foreign Minister,Mihail Veber,1936,1964,1999,3,Ideological Crusader,High,M525017,x
525018,Foreign Minister,Yegor Lavrov,1936,1964,1999,6,Apologetic Clerk,High,M525018,x
525019,Foreign Minister,Ruslan Khvostov,1936,1964,1999,6,Ideological Crusader,High,M525019,x
525020,Minister of Armament,Ahmad Beletsky,1936,1964,1999,0,Theoretical Scientist,Medium,M525020,x
525021,Minister of Armament,Ahman Nikolaev,1936,1964,1999,0,Infantry Proponent,Medium,M525021,x
525022,Minister of Armament,Anatoliy Borisenko,1936,1964,1999,3,Tank Proponent,Medium,M525022,x
525023,Minister of Armament,Izaak Babel,1936,1964,1999,3,Strategic Air Proponent,Medium,M525023,x
525024,Minister of Armament,Salomon Mikhoels,1936,1964,1999,6,Military Entrepreneur,Medium,M525024,x
525025,Minister of Armament,Boris Jofan,1936,1964,1999,6,Tank Proponent,Medium,M525025,x
525026,Minister of Security,Jegor Falin,1936,1964,1999,0,Efficient Sociopath,Medium,M525026,x
525027,Minister of Security,Butalayev Chernov,1936,1964,1999,3,Silent Lawyer,Medium,M525027,x
525028,Minister of Security,Yakov Vashkov,1936,1964,1999,3,Efficient Sociopath,Medium,M525028,x
525029,Minister of Security,Ruslan Murachayev,1936,1964,1999,6,Prince of Terror,Medium,M525029,x
525030,Minister of Security,Polina Zemczuzyna,1936,1964,1999,6,Back Stabber,Medium,M525030,x
525031,Minister of Security,Rahman Malikov,1936,1964,1999,6,Compassionate Gentleman,Medium,M525031,x
525032,Head of Military Intelligence,Turgul Preminin,1936,1964,1999,0,Dismal Enigma,Medium,M525032,x
525033,Head of Military Intelligence,Ninika Breshkov,1936,1964,1999,3,Political Specialist,Medium,M525033,x
525034,Head of Military Intelligence,Amatullah Rokhlin,1936,1964,1999,3,Naval Intelligence Specialist,Medium,M525034,x
525035,Head of Military Intelligence,Mikhail Kolchov,1936,1964,1999,6,Political Specialist,Medium,M525035,x
525036,Head of Military Intelligence,Vsevolod Meyerhold,1936,1964,1999,6,Logistics Specialist,Medium,M525036,x
525037,Chief of Staff,Piotr A. Barabanov,1936,1964,1999,3,School of Psychology,Medium,M525037,x
525038,Chief of Staff,Shuntzha Raevs,1936,1964,1999,6,School of Mass Combat,Medium,M525038,x
525039,Chief of Army,Sergei P. Baranov,1936,1964,1999,3,Decisive Battle Doctrine,Medium,M525039,x
525040,Chief of Army,Lavrenti Berlin,1936,1964,1999,6,Elastic Defence Doctrine,Medium,M525040,x
525041,Chief of Navy,Aleksandr Baturin,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,M525010,x
525042,Chief of Navy,Yaghood Filipev,1936,1964,1999,6,Indirect Approach Doctrine,Medium,M525042,x
525043,Chief of Air Force,Ismael Petrikov,1936,1964,1999,6,Army Aviation Doctrine,Medium,M525043,x
525044,Chief of Air Force,Enan Zadorozhny,1936,1964,1999,6,Air Superiority Doctrine,Medium,M525044,x
