U17,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
701600,Head of State,Lewis Valentine,1936,1964,1999,3,Die-hard Reformer,Medium,Lewis_Valentine,x
701601,Head of Government,David Lloyd George,1936,1964,1999,6,Ambitious Union Boss,Medium,David_Lloyd_George,x
701602,Minister of Armament,Edward Prosser Rhys,1936,1964,1999,3,Resource Industrialist,Medium,Edward_Prosser_Rhys,x
701603,Minister of Security,Mai Roberts,1936,1964,1999,3,Man of the People,Medium,Mai_Roberts,x
701604,Head of Military Intelligence,Saunders Lewis,1936,1964,1999,3,Political Specialist,Medium,Saunders_Lewis,x
701605,Chief of Staff,Jim Griffiths,1936,1964,1999,6,school of defence,Medium,Jim_Griffiths,x
701606,Chief of Army,Ambrose Bebb,1936,1964,1999,8,static defence doctrine,Medium,Ambrose_Bebb,x
701607,Chief of Navy,H. R. Jones,1936,1964,1999,3,Base Control Doctrine,Medium,H_R_Jones,x
701608,Chief of Air Force,David John Williams,1936,1964,1999,3,Air Superiority Doctrine,Medium,David_John_Williams,x
701609,Head of State,David Lloyd George,1936,1964,1999,6,Stern Imperialist,Medium,David_Lloyd_George,x
701610,Head of Government,Lady Megan Lloyd George,1936,1964,1999,3,Ambitious Union Boss,Medium,Lady_Megan_Lloyd_George,x
701611,Foreign Minister,Bertrand Russell,1936,1964,1999,4,Biased Intellectual,Medium,Bertrand_Russell,x
701612,Minister of Armament,Kate Roberts,1936,1964,1999,3,Air to Ground Proponent,Medium,Kate_Roberts,x
701613,Minister of Security,Ernest Jones,1936,1964,1999,2,Man of the People,Medium,Ernest_Jones,x
701614,Head of Military Intelligence,Elizabeth Andrews,1936,1964,1999,2,Political Specialist,Medium,Kaiserreich elizabeth andrews,x
701615,Chief of Staff,Aneurin Bevan,1936,1964,1999,4,school of defence,Medium,Aneurin_Bevan,x
701617,Chief of Navy,Edward Prosser Rhys,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,Edward_Prosser_Rhys,x
701618,Foreign Minister,Viscountess Rhondda,1936,1964,1999,4,General Staffer,Medium,Viscountess_Rhondda,x
701621,Foreign Minister,Idris Cox,1936,1964,1999,7,Great Compromiser,Medium,unknown,x
701622,Minister of Armament,Dai Dan Evans,1936,1964,1999,2,Military Entrepreneur,Medium,Dai_Dan_Evans,x
701623,Minister of Security,Harry Pollitt,1936,1964,1999,7,Prince of Terror,Medium,Harry_Pollitt,x
701625,Chief of Staff,Ernest Jones,1936,1964,1999,2,School of Manoeuvre,Medium,Ernest_Jones,x
701626,Chief of Army,Harry Pollitt,1936,1964,1999,7,Decisive Battle Doctrine,Medium,Harry_Pollitt,x
701632,Head of State,S.K.M. Rupprecht I,1936,1964,1999,7,german aristocrat,High,kaiserreich rupprechtIvW,x #German Govt.
701633,Head of Government,Saunders Lewis,1936,1964,1999,7,Flamboyant Tough Guy,High,Saunders Lewis,x #German Govt.
701634,Foreign Minister,Idris Cox,1936,1964,1999,7,Great Compromiser,Medium,unknown,x #German Govt.
701635,Minister of Security,Harry Pollitt,1936,1964,1999,7,Prince of Terror,Medium,Harry_Pollitt,x #German Govt.
701636,Head of Military Intelligence,T. E. Nicholas,1936,1964,1999,7,Undistinguished Suit,Medium,T_E_Nicholas,x #German Govt.
701637,Minister of Armament,Hugh Dalton,1936,1964,1999,7,Resource Industrialist,Medium,Hugh_Dalton,x #German Govt.
701638,Chief of Staff,Henry Weale,1936,1964,1999,7,school of defence,Medium,Henry_Weale,x #German Govt.
701639,Chief of Army,Tasker Watkins,1936,1964,1999,7,Decisive Battle Doctrine,Medium,Tasker_Watkins,x #German Govt.
701640,Chief of Navy,Bernard Warburton-Lee,1936,1964,1999,7,Decisive Naval Battle Doctrine,Medium,Bernard_Warburton-Lee,x #German Govt.
701641,Chief of Air Force,Will Paynter,1936,1964,1999,7,Air Superiority Doctrine,Medium,Will_Paynter,x #German Govt.
701642,Head of Government,Huw T. Edwards,1936,1964,1999,2,Naive Optimist,High,Kaiserreich huwtedwards,x
701643,Head of State,Niclas y Glais,1936,1964,1999,1,Barking Buffoon,High,kaiserreich NiclasyGlais,x
701644,Minister of Armament,Nye Bevan,1936,1964,1999,2,Administrative Genius,High,Kaiserreich Nye Bevan,x
701645,Minister of Security,Nye Bevan,1936,1964,1999,2,Compassionate Gentleman,High,Kaiserreich Nye Bevan,x
701646,Foreign Minister,Elizabeth Andrews,1936,1964,1999,2,Apologetic Clerk,High,Kaiserreich elizabeth andrews,x
701647,Minister of Security,Albert Clifford Williams,1936,1964,1999,2,Man of the People,High,,x
701648,Chief of Army,Peter Freeman,1936,1964,1999,2,Static Defence Doctrine,High,Kaiserreich Peter Freeman,x
701649,Chief of Staff,Hubert William Lewis,1936,1964,1999,2,School of Defence,High,Kaiserreich Hubert William Lewis,x
701650,Head of Military Intelligence,Jim Griffiths,1936,1964,1999,2,Logistics Specialist,High,Jim_Griffiths,x
701651,Chief of Navy,H. R. Jones,1936,1964,1999,1,Base Control Doctrine,High,H_R_Jones,x
701652,Chief of Air Force,David John Williams,1936,1964,1999,1,Air Superiority Doctrine,High,David_John_Williams,x
701653,Head of State,H.R.M. Joan I,1936,1964,1999,7,russian aristocrat,High,kai_joanirus,x
701654,Head of State,H.R.M. Joan I,1936,1964,1999,6,russian aristocrat,High,kai_joanirus,x
