URU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
22301,Head of State,M.S.R. Carol II,1936,1964,1999,6,Benevolent Gentleman,High,M22001,x
22302,Head of Government,Gheorghe Tatarescu,1936,1964,1999,6,Silent Workhorse,High,M22002,x
22303,Foreign Minister,Nicolae Titulescu,1936,1964,1999,6,Great Compromiser,Medium,M22003,x
22304,Minister of Armament,Constantin Bratianu,1936,1964,1999,6,Resource Industrialist,High,M22004,x
22305,Minister of Security,Istrate Micescu,1936,1964,1999,6,Silent Lawyer,Medium,M22005,x
22306,Head of Military Intelligence,Mihail Moruzov,1936,1964,1999,6,Logistics Specialist,Very High,M22006,x
22307,Chief of Staff,Ion Antonescu,1936,1964,1999,8,School of Psychology,High,M22007,x
22308,Chief of Army,Marin Ceausu,1936,1964,1999,6,Static Defence Doctrine,Low,M22008,x
22309,Chief of Navy,Nicolae Caranfil,1936,1964,1999,6,Decisive Naval Battle Doctrine,Low,M22009,x
22310,Chief of Air Force,Dante Vizante,1936,1964,1999,6,Air Superiority Doctrine,Medium,M22010,x
22331,Head of State,M.S.R. Carol II,1936,1964,1999,4,Benevolent Gentleman,High,M22001,x
22332,Head of State,M.S.R. Carol II,1936,1964,1999,7,Benevolent Gentleman,High,M22001,x
22334,Head of State,M.S.R. Mihai I,1939,1964,1999,6,Insignificant Layman,High,M22011,x
22335,Head of State,M.S.R. Mihai I,1939,1964,1999,8,Insignificant Layman,High,M22011,x
22337,Head of State,M.S.R. Mihai I,1939,1964,1999,0,Insignificant Layman,High,M22011,x
22338,Head of State,M.S.R. Constantin I. Parhon,1936,1964,1999,0,Powerhungry Demagogue,High,M22038,x
22339,Head of State,M.S.R. Carol II,1936,1964,1999,9,Benevolent Gentleman,High,M22001,x
22340,Head of State,M.S.R. Mihai I,1939,1964,1999,9,Insignificant Layman,High,M22011,x
22341,Head of Government,Octavian Goga,1936,1964,1999,4,Happy Amateur,High,M22041,x
22342,Head of Government,Miron Cristea,1938,1964,1999,7,Ambitious Union Boss,High,M22042,x
22343,Head of Government,Armand Calinescu,1939,1964,1999,4,Smiling Oilman,High,M22043,x
22344,Head of Government,Gheorghe Argeseanu,1939,1964,1999,4,Silent Workhorse,High,M22044,x
22345,Head of Government,Constantin Argetoianu,1939,1964,1999,4,Political Protege,High,M22045,x
22347,Head of Government,Ion Gigurtu,1940,1964,1999,4,Corporate Suit,High,M22047,x
22348,Head of Government,Ion Antonescu,1936,1964,1999,8,Old General,High,M22007,x
22349,Head of Government,Constantin Sanatescu,1944,1964,1999,7,Old General,High,M22049,x
22350,Head of Government,Nicolae Radescu,1944,1964,1999,6,Happy Amateur,High,M22050,x
22351,Head of Government,Petru Groza,1936,1964,1999,0,Backroom Backstabber,High,M22022,x
22352,Head of Government,Gheorghe Gheorghiu-Dej,1942,1964,1999,0,Political Protege,High,M22052,x
22353,Head of Government,Corneliu Codreanu,1936,1964,1999,9,Flamboyant Tough Guy,High,M22053,x
22354,Head of Government,Horia Sima,1938,1964,1999,9,Happy Amateur,High,kaiserreich_horiasima,x
22355,Head of Government,Iuliu Maniu,1936,1964,1999,3,Naive Optimist,High,M22055,x
22356,Head of Government,Constantin Bratianu,1945,1964,1999,6,Corporate Suit,High,M22004,x
22357,Foreign Minister,Victor Antonescu,1936,1964,1999,6,Great Compromiser,Medium,,x
22358,Foreign Minister,Istrate Micescu,1936,1964,1999,4,Great Compromiser,Medium,M22005,x
22359,Foreign Minister,Gheorghe Tatarescu,1938,1964,1999,7,Iron Fisted Brute,Medium,M22002,x
22370,Foreign Minister,Nicolae Petrescu-Comnen,1938,1964,1999,7,Apologetic Clerk,Medium,M22070,x
22371,Foreign Minister,Grigore Gafencu,1939,1964,1999,4,Biased Intellectual,Low,M22071,x
22372,Foreign Minister,Ion Gigurtu,1940,1964,1999,6,Ideological Crusader,Medium,M22047,x
22373,Foreign Minister,Constantin Argetoianu,1939,1964,1999,6,General Staffer,Medium,M22045,x
22374,Foreign Minister,Mihail Manoilescu,1940,1964,1999,4,Apologetic Clerk,Medium,M22074,x
22375,Foreign Minister,Mihail Sturdza,1940,1964,1999,8,Ideological Crusader,Medium,M22013,x
22376,Foreign Minister,Ion Antonescu,1936,1964,1999,8,General Staffer,Medium,M22007,x
22377,Foreign Minister,Mihai Antonescu,1940,1964,1999,8,The Cloak N Dagger Schemer,Low,M22077,x
22378,Foreign Minister,Grigore Niculesco-Buzesti,1944,1964,1999,7,Apologetic Clerk,Medium,M22078,x
22379,Foreign Minister,Constantin Visoianu,1944,1964,1999,6,The Cloak N Dagger Schemer,Medium,M22079,x
22380,Foreign Minister,Gheorghe Tatarescu,1936,1964,1999,1,Iron Fisted Brute,Medium,M22002,x
22381,Foreign Minister,Ana Pauker,1947,1964,1999,0,Ideological Crusader,Very High,M22023,x
22382,Foreign Minister,Corneliu Codreanu,1937,1964,1999,9,Ideological Crusader,Low,M22053,x
22383,Foreign Minister,Constantin I. Parhon,1937,1964,1999,0,Great Compromiser,Low,M22038,x
22384,Foreign Minister,Iuliu Hossu,1936,1964,1999,3,Great Compromiser,Medium,M22084,x
22385,Foreign Minister,Ion Antonescu,1940,1964,1999,9,General Staffer,Medium,M22012,x
22386,Foreign Minister,Georges Oprescu,1938,1964,1999,3,Biased Intellectual,Medium,M22086,x
22387,Minister of Armament,Virgil Madgearu,1936,1964,1999,4,Administrative Genius,Medium,M22087,x
22388,Minister of Armament,Caius Brediceanu,1938,1964,1999,7,laissez-faire capitalist,High,M22088,x
22389,Minister of Armament,Constantin Bratianu,1939,1964,1999,4,Resource Industrialist,High,M22004,x
22391,Minister of Armament,Iuliu Maniu,1939,1964,1999,6,Administrative Genius,Medium,M22055,x
22392,Minister of Armament,Constantin Antoniade,1940,1964,1999,4,laissez-faire capitalist,Low,M22092,x
22393,Minister of Armament,Gheorghe Potopeanu,1940,1964,1999,8,Military Entrepreneur,High,M22093,x
22394,Minister of Armament,Gheorghe Dobre,1942,1964,1999,8,Infantry Proponent,High,M22094,x
22395,Minister of Armament,Nicolae Stoenescu,1944,1964,1999,7,Tank Proponent,Medium,M22095,x
22396,Minister of Armament,Mihail Racovitza,1944,1964,1999,6,Infantry Proponent,High,M22096,x
22397,Minister of Armament,Constantin Papanace,1943,1964,1999,9,Administrative Genius,Low,M22014,x
22398,Minister of Armament,Vasile Luca,1936,1964,1999,0,Administrative Genius,High,M22024,x
22399,Minister of Security,Armand Calinescu,1936,1964,1999,4,Prince of Terror,High,M22043,x
22400,Minister of Security,Cesare Vaida-Voievod,1938,1964,1999,7,Crime Fighter,Medium,M22100,x
22401,Minister of Security,Ion Mihalache,1939,1964,1999,4,Man of the People,Low,M22101,x
22404,Minister of Security,Vasile Goldis,1940,1964,1999,4,Man of the People,Medium,M22104,x
22405,Minister of Security,Istrate Micescu,1940,1964,1999,8,Crime Fighter,Medium,M22005,x
22406,Minister of Security,David Popescu,1941,1964,1999,8,Prince of Terror,Medium,M22106,x
22407,Minister of Security,Ion Boiteanu,1944,1964,1999,7,Man of the People,Medium,M22107,x
22408,Minister of Security,Nicolae Radescu,1944,1964,1999,6,Compassionate Gentleman,High,M22050,x
22409,Minister of Security,Aurel Aldea,1945,1964,1999,6,Back Stabber,Medium,M22109,x
22410,Minister of Security,Horia Sima,1940,1964,1999,9,Efficient Sociopath,High,kaiserreich_horiasima,x
22411,Minister of Security,Ion Petrovicescu,1943,1964,1999,9,Efficient Sociopath,Low,M22015,x
22412,Minister of Security,Teohari Georgescu,1936,1964,1999,0,Back Stabber,High,M22025,x
