USA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
6002,Head of Government,John Nance Garner,1936,1964,1999,4,Corporate Suit,High,M6002,X
6003,Foreign Minister,Cordell Hull,1936,1964,1999,4,Great Compromiser,High,M6003,X
6077,Minister of Armament,Henry Morgenthau,1936,1964,1999,3,Resource Industrialist,High,M6077,X
6005,Minister of Security,J. Edgar Hoover,1936,1964,1999,4,Crime Fighter,Very High,M6005,X
6006,Head of Military Intelligence,William F. Friedman,1936,1964,1999,4,Logistics Specialist,Very High,M6006,X
6007,Chief of Staff,Malin Craig,1936,1964,1999,4,School of Defence,High,M6007,X
6008,Chief of Army,Malin Craig,1936,1964,1999,4,Guns and Butter Doctrine,High,M6007,X
6009,Chief of Navy,Claude A. Swanson,1936,1964,1999,4,Decisive Naval Battle Doctrine,High,M6009,X
6010,Chief of Air Force,Oscar Westover,1936,1964,1999,3,Army Aviation Doctrine,High,M6010,X
6032,Head of State,Henry A. Wallace,1940,1964,1999,4,Benevolent Gentleman,High,M6032,X
6033,Head of State,Warren G. Hooper,1944,1964,1999,4,Ruthless Powermonger,High,M6033,X
6034,Head of State,Harry S. Truman,1945,1964,1999,4,Die-hard Reformer,High,M6034,X
6035,Head of State,Alf M. Landon,1936,1964,1999,5,Pig-headed Isolationist,High,M6035,X
6036,Head of State,Wendell Willkie,1940,1964,1999,5,Autocratic Charmer,High,M6036,X
6037,Head of State,Charles McNary,1944,1964,1999,5,Insignificant Layman,High,M6037,X
6038,Head of State,Thomas E. Dewey,1944,1964,1999,5,Popular Figurehead,High,M6038,X
6039,Head of State,Fritz Kuhn,1936,1964,1999,8,Barking Buffoon,High,M6011,X
6040,Head of State,Gerald K. Smith,1936,1964,1999,7,Powerhungry Demagogue,High,M6040,X
6041,Head of State,Earl Browder,1936,1964,1999,0,Ruthless Powermonger,High,M6041,X
6042,Head of State,Norman Thomas,1940,1964,1999,2,Insignificant Layman,High,M6021,X
6044,Head of Government,Henry A. Wallace,1936,1964,1999,4,Silent Workhorse,High,M6032,X
6045,Head of Government,Joel B. Clark,1940,1964,1999,4,Backroom Backstabber,High,M6045,X
6046,Head of Government,Harry S. Truman,1944,1964,1999,4,Flamboyant Tough Guy,High,M6034,X
6047,Head of Government,Alben W. Barkley,1945,1964,1999,4,Silent Workhorse,High,M6047,X
6048,Head of Government,Frank Knox,1936,1964,1999,5,Naive Optimist,High,M6048,X
6049,Head of Government,Charles McNary,1940,1964,1999,5,Political Protege,High,M6037,X
6050,Head of Government,John Bricker,1944,1964,1999,5,Corporate Suit,High,M6050,X
6051,Head of Government,Strom Thurmond,1945,1964,1999,6,Old General,High,M6051,X
6052,Head of Government,George Van Horn Moseley,1936,1964,1999,7,Old General,High,M6052,X
6053,Head of Government,Gerald K. Smith,1936,1964,1999,7,Happy Amateur,High,M6040,X
6054,Head of Government,William Leahy,1938,1964,1999,7,Old Admiral,High,Kaiserreich Leahy,X
6055,Head of Government,William Z. Foster,1936,1964,1999,0,Totalist Chairman,High,M6055,X
6056,Head of Government,James Cannon,1936,1964,1999,2,Smiling Oilman,High,M6056,X
6057,Head of Government,Joseph P. Lash,1944,1964,1999,1,Naive Optimist,High,M6024,X
6058,Head of Government,Jack Reed,1936,1964,1999,1,Ambitious Union Boss,High,kaiserreich jackreed,X
6059,Head of Government,Huey Long,1936,1964,1999,8,Backroom Backstabber,High,kaiserreich hueylong,X
6060,Foreign Minister,Edward Stettinius,1944,1964,1999,4,The Cloak N Dagger Schemer,Very High,M6060,X
6061,Foreign Minister,Henry L. Stimson,1936,1964,1999,4,Apologetic Clerk,High,M6061,X
6062,Foreign Minister,Walker Lyerly,1944,1964,1999,4,The Cloak N Dagger Schemer,High,M6062,X
6063,Foreign Minister,James Byrnes,1945,1964,1999,3,Great Compromiser,Very High,M6063,X
6064,Foreign Minister,George C. Marshall,1947,1964,1999,4,Ideological Crusader,High,M6064,X
6065,Foreign Minister,John Bassett Moore,1936,1964,1999,5,General Staffer,High,M6065,X
6066,Foreign Minister,Arthur Vandenberg,1940,1964,1999,5,Iron Fisted Brute,High,M6066,X
6067,Foreign Minister,Alfred E. Smith,1940,1964,1999,5,Apologetic Clerk,High,M6067,X
6068,Foreign Minister,Gerald Nye,1944,1964,1999,5,Biased Intellectual,High,M6068,X
6069,Foreign Minister,Earnest King,1936,1964,1999,8,General Staffer,Very High,Kaiserreich EarnestKing,X
6070,Foreign Minister,Charles Coughlin,1936,1964,1999,7,Ideological Crusader,High,M6013,X
6071,Foreign Minister,Lawrence Dennis,1944,1964,1999,8,Apologetic Clerk,High,M6071,X
6072,Foreign Minister,Floyd B. Olson,1936,1964,1999,2,Ideological Crusader,Low,M6072,X
6073,Foreign Minister,Sam Darcy,1937,1964,1999,0,Ideological Crusader,Low,M6073,X
6074,Foreign Minister,James Paul Warburg,1940,1964,1999,1,Ideological Crusader,High,M6023,X
6075,Foreign Minister,Robert Minor,1942,1964,1999,0,General Staffer,High,M6075,X
6076,Foreign Minister,Eugene Dennis,1944,1964,1999,1,Biased Intellectual,High,M6076,X
6004,Minister of Armament,George H. Dern,1936,1964,1999,3,Military Entrepreneur,High,M6004,X
6078,Minister of Armament,Harry I. Hopkins,1938,1964,1999,4,Laissez-Faire Capitalist,High,M6078,X
6079,Minister of Armament,Jesse H. Jones,1940,1964,1999,4,Laissez-Faire Capitalist,Very High,M6079,X
6080,Minister of Armament,Leroy Grumman,1940,1964,1999,3,Air Superiority Proponent,Very High,M6080,X
6081,Minister of Armament,Preston T. Tucker,1944,1964,1999,4,Strategic Air Proponent,Very High,M6081,X
6083,Minister of Armament,Robert P. Patterson,1945,1964,1999,4,Tank Proponent,High,M6083,X
6084,Minister of Armament,Kenneth C. Royall,1947,1964,1999,3,Laissez-Faire Capitalist,High,M6084,X
6085,Minister of Armament,Daniel C. Roper,1936,1964,1999,5,Air Superiority Proponent,Very High,M6085,X
6086,Minister of Armament,James M. Cox,1939,1964,1999,5,Military Entrepreneur,Very High,M6086,X
6088,Minister of Armament,Warren G. Hooper,1940,1964,1999,5,Corrupt Kleptocrat,Low,M6033,X
6089,Minister of Armament,Harry H. Woodring,1936,1964,1999,5,Strategic Air Proponent,High,M6089,X
6090,Minister of Armament,John D. Rockefeller,1944,1964,1999,5,Laissez-Faire Capitalist,High,M6090,X
6091,Minister of Armament,Frederick Vinson,1945,1964,1999,5,Resource Industrialist,Very High,M6091,X
6092,Minister of Armament,Louis Johnson,1945,1964,1999,5,Battle Fleet Proponent,High,M6092,X
6093,Minister of Armament,Norman H. Davis,1946,1964,1999,5,Laissez-Faire Capitalist,Very High,M6093,X
6094,Minister of Armament,William Leahy,1936,1964,1999,8,Battle Fleet Proponent,Very High,Kaiserreich Leahy,X
6095,Minister of Armament,Francis Townsend,1936,1964,1999,7,Resource Industrialist,Very High,M6095,X
6096,Minister of Armament,Henry Ford,1936,1964,1999,7,Administrative Genius,Very High,M6014,X
6097,Minister of Armament,William F. Lemke,1944,1964,1999,7,Theoretical Scientist,High,M6097,X
6098,Minister of Armament,Wyndham Mortimer,1936,1964,1999,2,Resource Industrialist,Low,M6098,X
6099,Minister of Armament,Elizabeth Gurley Flynn,1936,1964,1999,0,Battle Fleet Proponent,Very High,M6099,X
6100,Minister of Armament,Upton Sinclair,1940,1964,1999,0,Air to Ground Proponent,High,M6100,X
6101,Minister of Armament,Lemart Harris,1944,1964,1999,2,Resource Industrialist,Very High,M6101,X
6102,Minister of Armament,Walther Reuther,1946,1964,1999,2,Resource Industrialist,Very High,M6102,X
6103,Minister of Armament,Jack Reed,1936,1964,1999,1,Administrative Genius,High,kaiserreich jackreed,X
6104,Minister of Security,Victor Selden Clark,1940,1964,1999,4,Compassionate Gentleman,Very High,M6104,X
6105,Minister of Security,Henry Chalmers,1944,1964,1999,3,Man of the People,Very High,M6105,X
6106,Minister of Security,Francis B. Biddle,1944,1964,1999,4,Prince of Terror,Very High,M6106,X
6107,Minister of Security,Frank Murphy,1936,1964,1999,5,Crime Fighter,Very High,M6107,X
6108,Minister of Security,Robert H. Jackson,1939,1964,1999,5,Silent Lawyer,Very High,M6108,X
6110,Minister of Security,Hugh Simons Gibson,1944,1964,1999,5,Compassionate Gentleman,Very High,M6110,X
6111,Minister of Security,Dwight D. Eisenhower,1936,1964,1999,7,Compassionate Gentleman,Very High,M6137,X
6112,Minister of Security,Carl Spaatz,1936,1964,1999,8,Crime Fighter,Medium,KRSpaatz,X
6113,Minister of Security,John L. DeWitt,1936,1964,1999,7,Prince of Terror,Medium,Kaiserreich DeWitt,X
6114,Minister of Security,William Aalto,1936,1964,1999,2,Back Stabber,Medium,M6114,X
6115,Minister of Security,Charles Chaplin,1937,1964,1999,2,Man of the People,Medium,M6115,X
6116,Minister of Security,Raymond Charles Moley,1939,1964,1999,1,Prince of Terror,Low,M6116,X
6117,Minister of Security,John Abt,1940,1964,1999,1,Efficient Sociopath,Medium,M6029,X
6118,Minister of Security,Daniel Hoan,1942,1964,1999,2,Silent Lawyer,Medium,M6025,X
6119,Minister of Security,Jessica Smith,1944,1964,1999,1,Compassionate Gentleman,Medium,M6119,X
