UZB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
526001,Head of State,Usman Yusupov,1936,1964,1999,1,Barking Buffoon,High,M526001,x
526002,Head of Government,Akmal Ikramov,1936,1964,1999,1,Naive Optimist,High,M526002,x
526003,Foreign Minister,Fayzulla Khodzhayev,1936,1964,1999,1,Iron Fisted Brute,High,M526003,x
526004,Minister of Armament,Abduvali Muminov,1936,1964,1999,1,Tank Proponent,Medium,M526004,x
526005,Minister of Security,Abdudzhabar Abdurrakhmanov,1936,1964,1999,1,Back Stabber,Medium,M526005,x
526006,Head of Military Intelligence,Gila I. Dzhunkovskaya,1936,1964,1999,1,Logistics Specialist,Medium,M526006,x
526007,Chief of Staff,Teginbek Shokirov,1936,1964,1999,1,School of Fire Support,Medium,M526007,x
526008,Chief of Army,Abdumannob Streshnev,1936,1964,1999,1,Armoured Spearhead Doctrine,Medium,M526008,x
526009,Chief of Navy,Vlateslav Doronin,1936,1964,1999,1,Base Control Doctrine,Medium,M526009,x
526010,Chief of Air Force,Istvan M. Dzuba,1936,1964,1999,1,Carpet Bombing Doctrine,Medium,M526010,x
526011,Head of State,Yoldashbay oglu Babayev,1936,1964,1999,3,Insignificant Layman,High,M526011,x
526012,Head of State,Polvoniz Yusopov,1936,1964,1999,7,Weary Stiffneck,High,M526012,x
526013,Head of Government,Farqat Nurutdinov,1936,1964,1999,3,Corporate Suit,High,M526013,x
526014,Head of Government,Abdurahim Martemyanov,1936,1964,1999,7,Silent Workhorse,High,M526014,x
526015,Foreign Minister,Alisher Ogorodov,1936,1964,1999,1,The Cloak N Dagger Schemer,High,M526015,x
526016,Foreign Minister,Ashkar Mukhitdinov,1936,1964,1999,3,Ideological Crusader,High,M526016,x
526017,Foreign Minister,Alishaer Jemil,1936,1964,1999,3,The Cloak N Dagger Schemer,High,M526017,x
526018,Foreign Minister,Nikolay Chichagov,1936,1964,1999,7,Apologetic Clerk,High,M526018,x
526019,Foreign Minister,Alisher Ivanov,1936,1964,1999,7,Great Compromiser,High,M526019,x
526020,Minister of Armament,Bil Filipov,1936,1964,1999,1,laissez-faire capitalist,Medium,M526020,x
526021,Minister of Armament,Gennadij Davidov,1936,1964,1999,1,Air to Ground Proponent,Medium,M526021,x
526022,Minister of Armament,Fakriddin Dzhevetsky,1936,1964,1999,3,Military Entrepreneur,Medium,M526022,x
526023,Minister of Armament,Hamid Dorodnitsyn,1936,1964,1999,3,Strategic Air Proponent,Medium,M526023,x
526024,Minister of Armament,Babur Ipatiev,1936,1964,1999,7,Air Superiority Proponent,Medium,M526024,x
526025,Minister of Armament,Bahauddin Gorchakov,1936,1964,1999,7,Military Entrepreneur,Medium,M526025,x
526026,Minister of Security,Innokenti Gerasimov,1936,1964,1999,1,Crime Fighter,Medium,M526026,x
526027,Minister of Security,Nizam Dondukov,1936,1964,1999,1,Compassionate Gentleman,Medium,M526027,x
526028,Minister of Security,Yamin Dmitriev,1936,1964,1999,3,Efficient Sociopath,Medium,M526028,x
526029,Minister of Security,Boris Dmitrievsky,1936,1964,1999,3,Compassionate Gentleman,Medium,M526029,x
526030,Minister of Security,Mammaduli Dinnei,1936,1964,1999,7,Silent Lawyer,Medium,M526030,x
526031,Minister of Security,Salim Yevgetorv,1936,1964,1999,7,Man of the People,Medium,M526031,x
526032,Head of Military Intelligence,Mikhail Dubkov,1936,1964,1999,1,Technical Specialist,Medium,M526032,x
526033,Head of Military Intelligence,Ibi Dobatkin,1936,1964,1999,3,Dismal Enigma,Medium,M526033,x
526034,Head of Military Intelligence,Avram Golitsin,1936,1964,1999,3,Logistics Specialist,Medium,M526034,x
526035,Head of Military Intelligence,Hamza Dobrynin,1936,1964,1999,7,Logistics Specialist,Medium,M526035,x
526036,Head of Military Intelligence,Felix Dorozhinsky,1936,1964,1999,7,Dismal Enigma,Medium,M526036,x
526037,Chief of Staff,Furkat Drachenk,1936,1964,1999,3,School of Mass Combat,Medium,M526037,x
526038,Chief of Staff,Babur Ipatiev,1936,1964,1999,7,School of Manoeuvre,Medium,M526038,x
526039,Chief of Army,Nikolay Ghukov,1936,1964,1999,3,Static Defence Doctrine,Medium,M526039,x
526040,Chief of Army,Nazhe Dudin,1936,1964,1999,7,Elastic Defence Doctrine,Medium,M526040,x
526041,Chief of Navy,Osman Dema,1936,1964,1999,3,Indirect Approach Doctrine,Medium,M526041,x
526042,Chief of Navy,Salim Ibadinov,1936,1964,1999,7,Open Seas Doctrine,Medium,M526042,x
526043,Chief of Air Force,Gennadij Gvornikov,1936,1964,1999,3,Vertical Envelopment Doctrine,Medium,M526043,x
526044,Chief of Air Force,Babur Ipatiev,1936,1964,1999,7,Air Superiority Doctrine,Medium,M526038,x
