ARM,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
515030,Head of Government,Semeno Ter-Petrossian,1,Silent Workhorse,kai_smntrkm
515036,Minister of Armament,Arshag Karagheusian,4,Resource Industrialist,ARMKar
515039,Chief of Army,Christophor Araratov,4,Decisive Battle Doctrine,ARMAra
515040,Chief of Staff,Christophor Araratov,4,School of Mass Combat,ARMAra
515034,Foreign Minister,Alexander Khatisyan,5,Great Compromiser,ARMAle
515038,Minister of Security,Arshag Tchobanian,5,Compassionate Gentleman,ARMArs
515033,Head of Government,Avetis Aharonyan,5,Corporate Suit,ARMAha
515035,Minister of Armament,Calouste Gulbenkian,5,Administrative Genius,ARMCal
515041,Chief of Staff,Movses Silikyan,6,School of Manoeuvre,ARMMov
515042,Head of Military Intelligence,Nikol Aghbalian,6,Political Specialist,ARMNik
515008,Foreign Minister,Berch Keresteciyan,7,Great Compromiser,M515011
515011,Minister of Armament,Berch Keresteciyan,7,Administrative Genius,M515011
515024,Chief of Air Force,Garabed Arafian,7,Vertical Envelopment Doctrine,M515027
515006,Head of Military Intelligence,Jack Agazarian,7,Dismal Enigma,M515006
515017,Minister of Security,Patriarch Lalazar,7,Man of the People,M515020
515019,Head of Military Intelligence,Vartan Sharents,7,Technical Specialist,M515022
515002,Head of Government,Andranik Toros Ozanian,8,Old General,kaiserreich aozanian
515007,Chief of Army,Antranig Osanian,8,Guns and Butter Doctrine,M515008
515016,Minister of Security,Aram Andonian,8,Compassionate Gentleman,M515019
515023,Chief of Navy,Berj Isahakian,8,Decisive Naval Battle Doctrine,M515026
515003,Foreign Minister,Boghas Nubar Pasha,8,Ideological Crusader,M515003
515013,Minister of Armament,Dikran Arafian,8,laissez-faire capitalist,M515016
515020,Head of Military Intelligence,Father Christapor,8,Logistics Specialist,M515023
515004,Minister of Armament,Hagop Andonian,8,Military Entrepreneur,M515004
515009,Foreign Minister,Jivan Hamparsumian,8,The Cloak N Dagger Schemer,M515012
515005,Minister of Security,Karek Pastermadjan,8,Prince of Terror,M515005
515032,Head of Government,Mehmed Wehib Pasha,8,Old General,kai_MehmedwehibPasha
515021,Chief of Army,Misak Babajanian,8,Armoured Spearhead Doctrine,M515024
515026,Chief of Staff,Misak Babajanian,8,School of Mass Combat,M515024
515025,Chief of Air Force,Sarkis Petrikian,8,Air Superiority Doctrine,M515028
515012,Minister of Armament,Arshag K. Schmavonian,9,Resource Industrialist,M515015
515022,Chief of Army,Drastamat Kanyan,9,Elastic Defence Doctrine,M515025
515015,Minister of Security,Father Hovhannes,9,Crime Fighter,M515018
515010,Foreign Minister,Father Romanos,9,Iron Fisted Brute,M515013
515028,Head of Government,Garegin Nzdek,9,Backroom Backstabber,M515017
515014,Minister of Security,Garegin Nzdek,9,Efficient Sociopath,M515017
515018,Head of Military Intelligence,Khint Osebian,9,Industrial Specialist,M515021
