AST,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
56123,Chief of Navy,F.E. Getting,0,Decisive Naval Battle Doctrine,M56029
56709,Chief of Air Force,G.J.W. MacKinolty,0,Air Superiority Doctrine,M56030
56091,Minister of Security,Guido Barracchi,0,Silent Lawyer,M56091
56053,Foreign Minister,Hugh Moxon,0,Ideological Crusader,M56023
56109,Chief of Staff,James Cannan,0,School of Mass Combat,M56027
56076,Minister of Armament,Jim Henderson,0,Infantry Proponent,M56076
56090,Minister of Security,John B. Miles,0,Prince of Terror,M56025
56706,Chief of Staff,John Beasley,0,School of Psychology,M56706
56055,Foreign Minister,John McAuley,0,Great Compromiser,M56055
56702,Foreign Minister,John Miles,0,Iron Fisted Brute,M56025
56707,Chief of Army,John Northcott,0,Guns and Butter Doctrine,M56028
56703,Minister of Armament,John R. Lee,0,Resource Industrialist,M56703
56131,Chief of Air Force,Lance Sharkey,0,Army Aviation Doctrine,M56021
56041,Head of Government,Lance Sharkey,0,Ambitious Union Boss,M56021
56092,Minister of Security,Philip Adams,0,Man of the People,M56092
56100,Head of Military Intelligence,Tom Dale,0,Dismal Enigma,M56026
56102,Head of Military Intelligence,Tony McGillick,0,Technical Specialist,M56077
56077,Minister of Armament,Tony McGillick,0,Theoretical Scientist,M56077
56101,Head of Military Intelligence,Alf Bradley,1,Logistics Specialist,M56101
56704,Minister of Security,Edmond Hogan,1,Efficient Sociopath,M56704
56054,Foreign Minister,George Bateman,1,Biased Intellectual,M56054
56075,Minister of Armament,Jack Henry,1,Military Entrepreneur,M56024
56701,Head of Government,John Garden,1,Ambitious Union Boss,M56701
56830,Minister of Armament,Eddie Ward,2,Mixed Economy,AST_Eddie Ward
56708,Chief of Navy,Hector Waller,2,Base Control Doctrine,M56117
56829,Minister of Armament,James Fraser,2,Keynesian Economy,AST_James Fraser
56705,Head of Military Intelligence,Rex Mason,2,Technical Specialist,M56705
56128,Chief of Air Force,A.M.G. Jones,3,Carpet Bombing Doctrine,M56063
56063,Minister of Armament,A.M.G. Jones,3,Strategic Air Proponent,M56063
56127,Chief of Air Force,Charles Burnett,3,Air Superiority Doctrine,M56127
56141,Head of Government,Francis M. Forde,3,Silent Workhorse,M56141
56119,Chief of Navy,Guy C.C. Royle,3,Indirect Approach Doctrine,M56068
56068,Minister of Armament,Guy C.C. Royle,3,Submarine Proponent,M56068
56604,Minister of Security,H.C. Barnard,3,Man of the People,M56604
56608,Chief of Navy,Harold Farncomb,3,Indirect Approach Doctrine,L54070
56824,Head of Military Intelligence,Harold Farncomb,3,Naval Intelligence Specialist,L54070
56823,Minister of Armament,Harold Farncomb,3,Carrier Proponent,L54070
56121,Chief of Navy,Henry Showers,3,Decisive Naval Battle Doctrine,M56064
56064,Minister of Armament,Henry Showers,3,Battle Fleet Proponent,M56064
56402,Foreign Minister,Herbert Evatt,3,Biased Intellectual,M56050
56097,Head of Military Intelligence,Hubert P. Lazzarini,3,Dismal Enigma,M56085
56085,Minister of Armament,Hubert P. Lazzarini,3,Industrialiser,M56085
56120,Chief of Navy,John Collins,3,Power Projection Doctrine,M56068
56301,Head of Government,John J. Curtin,3,Silent Workhorse,M56038
56811,Minister of Armament,Joseph Chifley,3,Bank President,AST_Chifley
56607,Chief of Army,Norris Stephen Falla,3,Elastic Defence Doctrine,M55080
56126,Chief of Air Force,Stanley J. Goble,3,Army Aviation Doctrine,M56067
56067,Minister of Armament,Stanley J. Goble,3,Air to Ground Proponent,M56067
56114,Chief of Army,Sydney Rowell,3,Guns and Butter Doctrine,M56066
56066,Minister of Armament,Sydney Rowell,3,Tank Proponent,M56066
56039,Head of Government,Ben Chifley,4,Political Protege,M56039
56605,Head of Military Intelligence,Ben Chifley,4,Political Specialist,M56039
56601,Head of Government,Jack Lang,4,Backroom Backstabber,M56601
56096,Head of Military Intelligence,Norman J. Makin,4,Industrial Specialist,M56061
56603,Minister of Armament,Norman J. Makin,4,Military Entrepreneur,M56061
56606,Chief of Staff,Peter Fraser,4,School of Mass Combat,M55038
56140,Head of Government,Arthur W. Fadden,5,Happy Amateur,M56140
56203,Minister of Armament,Arthur W. Fadden,5,Administrative Genius,M56140
56056,Minister of Armament,Edward Davis Millen,5,Resource Industrialist,M56056
56205,Head of Military Intelligence,John Dedman,5,Technical Specialist,M56098
56408,Chief of Navy,John Gregory Crace,5,Open Seas Doctrine,L54066
56303,Minister of Armament,John Latham,5,Bank President,M56303
56078,Minister of Security,Kenneth Eather,5,Efficient Sociopath,M56078
56307,Chief of Army,Leslie Beavis,5,Elastic Defence Doctrine,M56107
56107,Chief of Staff,Leslie Beavis,5,School of Manoeuvre,M56107
56827,Minister of Armament,Michael Bruxner,5,Mixed Economy,AST_Michael Bruxner
56010,Chief of Air Force,Richard Williams,5,Air Superiority Doctrine,M56010
56070,Minister of Armament,Richard Williams,5,Air Superiority Proponent,M56010
56821,Chief of Navy,Roy Dowling,5,Power Projection Doctrine,AST_Roy Dowling
56202,Foreign Minister,Walter Nash,5,Apologetic Clerk,M55004
56124,Chief of Air Force,A.M. Charlesworth,6,Vertical Envelopment Doctrine,M56124
56006,Head of Military Intelligence,Alexander McLachlan,6,Technical Specialist,M56006
56079,Minister of Security,Alexander McLachlan,6,Crime Fighter,M56006
56304,Minister of Security,Archie Cameron,6,Crime Fighter,M56304
56609,Minister of Armament,Clive Latham Baillieu,6,Resource Industrialist,AST_Clive Latham Baillieu
56207,Chief of Army,Cyril Bingham-White,6,Decisive Battle Doctrine,M56093
56104,Chief of Staff,Cyril Bingham-White,6,School of Mass Combat,M56093
56093,Head of Military Intelligence,Cyril Bingham-White,6,Logistics Specialist,M56093
56105,Chief of Staff,E.K. Squires,6,School of Defence,M56105
56048,Foreign Minister,Earle Page,6,Biased Intellectual,M56139
56201,Head of Government,Earle Page,6,Naive Optimist,M56139
56149,Minister of Armament,Earle Page,6,Laissez-Faire Capitalist,M56139
56080,Minister of Security,Earle Page,6,Man of the People,M56139
56825,Minister of Armament,Frank Beaurepaire,6,Balanced Budget Economy,AST_Frank Beaurepaire
56046,Foreign Minister,Frederick Stewart,6,Ideological Crusader,M56046
56305,Head of Military Intelligence,G.A. Street,6,Logistics Specialist,M56305
56057,Minister of Armament,G.A. Street,6,Administrative Genius,M56305
56602,Foreign Minister,Henry S. Gullet,6,Great Compromiser,M56043
56081,Minister of Security,Henry S. Gullett,6,Silent Lawyer,M56043
56112,Chief of Army,Horace William Strutt,6,Static Defence Doctrine,M56065
56065,Minister of Armament,Horace William Strutt,6,Infantry Proponent,M56065
56407,Chief of Army,Iven Mackay,6,Elastic Defence Doctrine,L54033
56204,Minister of Security,J.E. Fenton,6,Man of the People,M56204
56309,Chief of Air Force,James Fairbairn,6,Air Superiority Doctrine,M56103
