AZB,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
516020,Minister of Armament,Amin Aziz,2,Infantry Proponent,M516020
516005,Minister of Security,Arash Bulbul,2,Compassionate Gentleman,M516005
516019,Minister of Armament,dr. Mahmood Ghasbalatam,2,Laissez-Faire Capitalist,M516019
516002,Head of Government,Faraz Guzeinov,2,Backroom Backstabber,M516002
516010,Chief of Air Force,Gurgen Voskan Kamalyan,2,Air Superiority Doctrine,M516010
516004,Minister of Armament,Ilyas Afandiev,2,Theoretical Scientist,M516004
516009,Chief of Navy,Kambiz Krasnoshapka,2,Open Seas Doctrine,M516009
516008,Chief of Army,Khalil Mamedov,2,Elastic Defence Doctrine,M516008
516014,Foreign Minister,Khaslatam Narimanov,2,General Staffer,M516014
516007,Chief of Staff,Mahmud Nuri Berköz,2,School of Mass Combat,M516007
516018,Minister of Armament,Mehdi Husein,2,Tank Proponent,M516018
516027,Head of Military Intelligence,Nariman Narimanov,2,Naval Intelligence Specialist,M516027
516023,Minister of Security,Nigar Rafibelyi,2,Crime Fighter,M516023
516006,Head of Military Intelligence,Rasul Reza,2,Industrial Specialist,M516006
516024,Minister of Security,Sabat Rahman,2,Silent Lawyer,M516024
516003,Foreign Minister,Suleyman Rustam,2,The Cloak N Dagger Schemer,M516003
516016,Foreign Minister,Arash Bulbul,3,Great Compromiser,M516005
516036,Chief of Air Force,Kambiz Krasnoshapka,3,Naval Aviation Doctrine,M516009
516032,Chief of Army,Mahmud Nuri Berköz,3,Elastic Defence Doctrine,M516007
516021,Minister of Armament,Rajib Kulbenzhian,3,Corrupt Kleptocrat,M516011
516025,Minister of Security,Rasul Reza,3,Man of the People,M516006
516034,Chief of Navy,Samed Bey Mehmandarov,3,Base Control Doctrine,M516030
516030,Chief of Staff,Samed Bey Mehmandarov,3,School of Defence,M516030
516028,Head of Military Intelligence,Soultanov Khosrov Ebk,3,Logistics Specialist,M516028
516037,Chief of Air Force,Andronik Abram Kazaryan,5,Army Aviation Doctrine,M516037
516013,Head of Government,Arash Bulbul,5,Flamboyant Tough Guy,M516005
516012,Head of Government,Fatali Khan Khoyski,5,Smiling Oilman,M516003
516022,Minister of Armament,Ismayl Shikhali,5,Military Entrepreneur,M516022
516031,Chief of Staff,Khalil Mamedov,5,School of Fire Support,M516008
516017,Foreign Minister,Mahammad Rahman,5,Iron Fisted Brute,M516017
516026,Minister of Security,Mirza Ibrahimov,5,Back Stabber,M516026
516029,Head of Military Intelligence,Rahmud Azizbayob,5,Dismal Enigma,M516029
516033,Chief of Army,Soureb Hakop Gasparyan,5,Armoured Spearhead Doctrine,M516033
516035,Chief of Navy,Ysmail Makhov,5,Indirect Approach Doctrine,M516035
516041,Minister of Armament,Abdulali bey Amirjanov,6,Industrialiser,AZB_Amirjanov
516042,Minister of Security,Behbud Khan Javanshir,6,Prince of Terror,AZB_Javanshir
516047,Chief of Air Force,Ibrahim bey Usubov,6,Air Superiority Doctrine,AZB_Usobov
516046,Chief of Navy,Khosrov bey Sultanov,6,Base Control Doctrine,AZB_Sultanov
516015,Foreign Minister,Mammad Amin Rasulzade,6,Biased Intellectual,AZB_Rasulzade
516043,Head of Military Intelligence,Mammad Hasan Hajinski,6,Political Specialist,AZB_Hajinski
516040,Foreign Minister,Mammad Yusif Jafarov,6,Apologetic Clerk,AZB_Jafarov
516039,Head of Government,Nasib Yusifbeyli,6,Silent Workhorse,AZB_Yusifbeyli
516045,Chief of Army,Sadykh bey Aghabeyov,6,Static Defence Doctrine,AZB_Aghabeyov
516049,Head of Government,Ali-Agha Shikhlinski,7,Old General,AZB_Shikhlinski
516044,Chief of Staff,Ali-Agha Shikhlinski,7,School of Defence,AZB_Shikhlinski
