PRK,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
579115,Foreign Minister,A. C. N. Nambiar,0,Great Compromiser,PRKNam
579117,Chief of Army,A.D.Loganadan,0,Armoured Spearhead Doctrine,PRKLog
579118,Chief of Staff,A.D.Loganadan,0,School of Fire Support,PRKLog
579033,Foreign Minister,Alexandra David-Néel,0,Ideological Crusader,PRKAlex
579058,Chief of Army,Bhagat Singh,0,Doctrine of Autonomy,KRBhagat_Singh
579057,Minister of Security,Chandrasekhar Azad,0,Efficient Sociopath,PRKCha
579080,Chief of Air Force,Gurbachan Singh,0,Army Aviation Doctrine,PRKGur
579074,Head of Government,Hemanta Kumar Sarkar,0,Ambitious Union Boss,PRKHem
579081,Minister of Armament,Leela Roy,0,Planned Economy Proponent,PRKLee
579107,Head of Military Intelligence,Muzaffar Ahmed,0,Logistics Specialist,PRKMuz
579106,Minister of Armament,Nalini Ranjan Sarkar ,0,Administrative Genius,PRKNal
579006,Foreign Minister,Sarat Chandra Bose,0,The Cloak N Dagger Schemer,M59045
579023,Foreign Minister,Sardul Singh Caveeshar,0,Biased Intellectual,PRKCav
579004,Foreign Minister,Subhas Chandra Bose,0,General Staffer,KRSubhas
579014,Chief of Staff,Subhas Chandra Bose,0,School of Manoeuvre,KRSubhas
579019,Minister of Security,Subhas Chandra Bose,0,Compassionate Gentleman,KRSubhas
579105,Minister of Security,U. Muthuramalingam Thevar,0,Secret Police Chief,PRKMut
579062,Chief of Staff,Virendranath Chattopadhyaya,0,School of Fire Support,KRVirendranath
579129,Minister of Armament,Army Reform Committee,1,Army Reform Committee,PRKRef
579070,Chief of Staff,Bhai Bhagwan Singh,1,School of Mass Combat,KRBhag
579071,Foreign Minister,Bhavabhushan Mitra,1,Ideological Crusader,KRMitra
579065,Minister of Armament,Bhupendra Kumar Datta,1,Resource Industrialist,KRDatta
579066,Chief of Army,Bhupendra Kumar Datta,1,Guns and Butter Doctrine,KRDatta
579095,Chief of Staff,Chempakaraman Pillai,1,School of Defence,INDChem
579096,Chief of Army,Chempakaraman Pillai,1,Decisive Battle Doctrine,INDChem
579078,Chief of Air Force,Dodla Ranga Reddy,1,Carpet Bombing Doctrine,PRKDad
579125,Minister of Armament,Gulzarilal Nanda,1,Industrialiser,PRKGul
579072,Head of Government,Jawaharlal Nehru,1,Flamboyant Tough Guy,PRKNeh
579073,Minister of Armament,Jawaharlal Nehru,1,Industrialiser,PRKNeh
579108,Head of Government,Jayaprakash Narayan,1,Naive Optimist,PRKJay
579109,Foreign Minister,Jayaprakash Narayan,1,Great Compromiser,PRKJay
579008,Minister of Armament,Lal Bahadur Shastri,1,Administrative Genius,PRKSha
