BHU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
74053,Chief of Navy,Ahmad Akhaz,7,Decisive Naval Battle Doctrine,M74004
74014,Foreign Minister,Ahmad Akhaz,7,The Cloak N Dagger Schemer,M74004
74004,Minister of Armament,Ahmad Akhaz,7,Infantry Proponent,M74004
74030,Minister of Security,Ahmad Akhaz,7,Prince of Terror,M74004
74016,Foreign Minister,Arthur John Hopkinson,7,Great Compromiser,M74016
74037,Head of Military Intelligence,Arthur John Hopkinson,7,Technical Specialist,M74016
74028,Minister of Armament,Arthur John Hopkinson,7,Theoretical Scientist,M74016
74054,Chief of Air Force,Bill Collett,7,Army Aviation Doctrine,M74026
74026,Minister of Armament,Bill Collett,7,Air to Ground Proponent,M74026
74017,Foreign Minister,Edward Cook,7,Biased Intellectual,M74017
74038,Head of Military Intelligence,Edward Cook,7,Political Specialist,M74017
74021,Minister of Armament,Edward Cook,7,Administrative Genius,M74017
74035,Minister of Security,Edward Cook,7,Efficient Sociopath,M74017
74052,Chief of Army,Henry Weedon-Gould,7,Guns and Butter Doctrine,M74040
74046,Chief of Staff,Henry Weedon-Gould,7,School of Mass Combat,M74040
74040,Head of Military Intelligence,Henry Weedon-Gould,7,Logistics Specialist,M74040
74057,Head of Government,Jigme Palden Dorji,7,Corporate Suit,M74057
74049,Chief of Army,Jigme Wangchuk,7,Static Defence Doctrine,M74001
74024,Minister of Armament,Jigme Wangchuk,7,Infantry Proponent,M74001
74041,Head of Military Intelligence,Karma S. Bahadur,7,Dismal Enigma,M74019
74019,Minister of Armament,Karma S. Bahadur,7,Military Entrepreneur,M74019
74034,Minister of Security,Karma S. Bahadur,7,Back Stabber,M74019
74013,Foreign Minister,Mang-pos Bhur-ba'i Rgyalpo,7,Ideological Crusader,M74005
74005,Minister of Security,Mang-pos Bhur-ba'i Rgyalpo,7,Man of the People,M74005
74055,Chief of Air Force,Namgyal Bahadur,7,Carpet Bombing Doctrine,M74007
74007,Chief of Staff,Namgyal Bahadur,7,School of Manoeuvre,M74007
74012,Foreign Minister,Namgyal Bahadur,7,General Staffer,M74007
74039,Head of Military Intelligence,Namgyal Bahadur,7,Industrial Specialist,M74007
74027,Minister of Armament,Namgyal Bahadur,7,Strategic Air Proponent,M74007
74033,Minister of Security,Namgyal Bahadur,7,Compassionate Gentleman,M74007
74010,Chief of Air Force,Nicky Barr,7,Air Superiority Doctrine,M74010
74022,Minister of Armament,Nicky Barr,7,Air Superiority Proponent,M74010
74008,Chief of Army,Philip Toozey,7,Guns and Butter Doctrine,M74008
74043,Chief of Staff,Philip Toozey,7,School of Defence,M74008
74050,Chief of Army,Reginald B. Stevens,7,Decisive Battle Doctrine,M74006
74045,Chief of Staff,Reginald B. Stevens,7,School of Manoeuvre,M74006
74006,Head of Military Intelligence,Reginald B. Stevens,7,Dismal Enigma,M74006
74011,Foreign Minister,Sir Basil Gould,7,Iron Fisted Brute,M74011
74031,Minister of Security,sir Basil Gould,7,Silent Lawyer,M74011
74051,Chief of Army,Sonam Pradukha,7,Armoured Spearhead Doctrine,M74029
74047,Chief of Staff,Sonam Pradukha,7,School of Fire Support,M74029
74029,Minister of Armament,Sonam Pradukha,7,Tank Proponent,M74029
74003,Foreign Minister,Sonam Tobgay Dorji,7,Biased Intellectual,M74002
74002,Head of Government,Sonam Tobgay Dorji,7,Backroom Backstabber,M74002
74020,Minister of Armament,Sonam Tobgay Dorji,7,laissez-faire capitalist,M74002
74032,Minister of Security,Sonam Tobgay Dorji,7,Man of the People,M74002
74009,Chief of Navy,Tommy Gould,7,Indirect Approach Doctrine,M74009
74044,Chief of Staff,Tommy Gould,7,School of Psychology,M74009
74042,Head of Military Intelligence,Tommy Gould,7,Naval Intelligence Specialist,M74009
74023,Minister of Armament,Tommy Gould,7,Submarine Proponent,M74009
74015,Foreign Minister,William Stevenson Meyer,7,Apologetic Clerk,M74015
74018,Minister of Armament,William Stevenson Meyer,7,Resource Industrialist,M74015
74036,Minister of Security,William Stevenson Meyer,7,Crime Fighter,M74015
