CZE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
24178,Minister of Armament,Bedrich Reicin,0,Resource Industrialist,kaiserreich reicin
24079,Minister of Armament,Bohumil Stepanec,0,Tank Proponent,M24079
24168,Minister of Security,Bruno Kohler,0,Prince of Terror,M100000014
24145,Chief of Air Force,Jan Prokop,0,Vertical Envelopment Doctrine,M24030
24098,Minister of Security,Jozef Zeman,0,Back Stabber,M24098
24080,Minister of Armament,Karel Olmanec,0,Laissez-Faire Capitalist,M24080
24139,Chief of Navy,Klement Gottwald,0,Base Control Doctrine,M24021
24147,Head of Government,Klement Gottwald,0,Backroom Backstabber,M24021
24097,Minister of Security,Kristoph Emmerich,0,Silent Lawyer,M24097
24134,Chief of Army,Ludvik Svoboda,0,Static Defence Doctrine,M24027
24121,Chief of Staff,Ludvik Svoboda,0,School of Mass Combat,M24027
24095,Minister of Security,Prokop Drtina,0,Man of the People,M24025
24065,Foreign Minister,Rudolf Slánský,0,The Cloak N Dagger Schemer,M24024
24110,Head of Military Intelligence,Rudolf Slánský,0,Political Specialist,M24024
24024,Minister of Armament,Rudolf Slánský,0,Theoretical Scientist,M24024
24171,Foreign Minister,Artur London,1,Ideological Crusader,M100000017
24172,Minister of Armament,Rudolf Margolius,1,Theoretical Scientist,M100000018
24174,Minister of Armament,Frantiska Plaminkova,2,Military Entrepreneur,M100000020
24167,Foreign Minister,Antonín Kalina,3,Great Compromiser,M100000013
24160,Head of Government,Milada Horáková,3,Happy Amateur,M100000005
24162,Minister of Armament,Rudolf Bechyne,3,Administrative Genius,M100000007
24111,Head of Government,Zdenek Fierlinger,3,Ambitious Union Boss,M24026
24009,Chief of Navy,Antonin Hasal,5,Indirect Approach Doctrine,M24009
24126,Chief of Army,Bohumil Bosek,5,Armoured Spearhead Doctrine,M24126
24102,Head of Military Intelligence,Boris Kovancok,5,Technical Specialist,M24102
24099,Head of Military Intelligence,Boris Trumper,5,Political Specialist,M24099
24116,Chief of Staff,Bruno Sklenovsky,5,School of Psychology,M24116
24003,Foreign Minister,Edouard Benes,5,Biased Intellectual,M24001
24124,Chief of Army,Emil Fiala,5,Decisive Battle Doctrine,M24124
24066,Minister of Armament,Emil Franke,5,Theoretical Scientist,M24066
24071,Minister of Armament,Emil Hácha,5,Bank President,M24031
24086,Minister of Security,Ernst Frischer,5,Back Stabber,M24086
24069,Minister of Armament,Ferdinand Veverka,5,Administrative Genius,M24069
24054,Foreign Minister,Frantisek Chvalkovsky,5,Iron Fisted Brute,M24054
24006,Head of Military Intelligence,Frantisek Machník,5,Logistics Specialist,M24006
24007,Minister of Armament,Frantisek Machník,5,Infantry Proponent,M24006
24123,Chief of Army,Frantisek Zaviska,5,Guns and Butter Doctrine,M24123
24161,Head of Government,Jan Malypetr,5,Flamboyant Tough Guy,M100000006
24055,Foreign Minister,Ján Masaryk,5,Ideological Crusader,M24055
24044,Head of Government,Ján Srámek,5,Ambitious Union Boss,M24044
24085,Minister of Security,Ján Srámek,5,Silent Lawyer,M24044
24084,Minister of Security,Jaromir Kopecky,5,Prince of Terror,M24084
24115,Chief of Staff,Jaroslav Cihak,5,School of Mass Combat,M24115
24004,Minister of Armament,Josef Kalfus,5,Resource Industrialist,M24004
