U21,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
8520,Head of Government,Armand Kéravel,1,Corporate Suit,M8520
8514,Minister of Security,Henri Rol-Tanguy,1,Efficient Sociopath,M8514
8515,Head of Military Intelligence,Alan Heusaff,2,Political Specialist,M8515
8521,Foreign Minister,François Tanguy-Prigent,2,Apologetic Clerk,M8521
8512,Foreign Minister,Pierre-Henri Teitgen,2,Great Compromiser,M8512
8513,Minister of Armament,Pierre-Henri Teitgen,2,Infantry Proponent,M8512
8522,Minister of Armament,Victor Le Gorgeu,2,Infantry Proponent,M8522
8511,Head of Government,Yann Brekilien,2,Undistinguished Suit,M8511
8531,Chief of Army,Charles Le Cocq,3,Guns and Butter Doctrine,M8531
8533,Chief of Air Force,Jean-François Demozay,3,Air Superiority Doctrine,M8533
8534,Head of Military Intelligence,Nöel Riou,3,Political Specialist,M8529
8529,Minister of Security,Nöel Riou,3,Crime Fighter,M8529
8528,Foreign Minister,Pierre Deshayes,3,Undistinguished Suit,M8528
8530,Head of Military Intelligence,Pierre Deshayes,3,Dismal Enigma,M8528
8532,Chief of Navy,René Pleven,3,Base Control Doctrine,M8527
8517,Chief of Army,André Colin,4,elastic defence doctrine,M8517
8518,Chief of Navy,André Colin,4,Base Control Doctrine,M8517
8502,Foreign Minister,François Taldir-Jaffrennou,4,Ideological Crusader,M8502
8543,Head of Government,Yann Fouéré,5,Silent Workhorse,M8543
8526,Chief of Army,Jean Simon,6,static defence doctrine,M8524
8525,Chief of Staff,Jean Simon,6,school of defence,M8524
8524,Foreign Minister,Jean Simon,6,General Staffer,M8524
8503,Minister of Armament,Camille Le Mercier d’Erm,7,Theoretical Scientist,M8503
8547,Foreign Minister,François Taldir-Jaffrennou,7,Biased Intellectual,M8547
8548,Head of Government,François Taldir-Jaffrennou,7,Happy Amateur,M8547
8516,Chief of Staff,Hervé Budes de Guébriant,7,School of Manoeuvre,M8510
8554,Foreign Minister,Jean-Marie Perrot,7,Ideological Crusader,M8553
8551,Foreign Minister,Morvan Lebesque,7,Great Compromiser,M8551
8549,Chief of Army,Célestin Lainé,8,Armoured Spearhead Doctrine,M8549
8550,Chief of Staff,Célestin Lainé,8,School of Manoeuvre,M8549
8501,Head of Government,François Debauvais,8,Ambitious Union Boss,M8501
8536,Minister of Armament,Gwilherm Berthou,8,Theoretical Scientist,M8535
8535,Minister of Security,Gwilherm Berthou,8,Prince of Terror,M8535
8523,Head of Military Intelligence,Jacques Desoubrie,8,Dismal Enigma,M8523
8537,Foreign Minister,James Bouillé,8,Ideological Crusader,M8537
8508,Chief of Navy,Loeiz Andouard,8,Power Projection Doctrine,M8504
8504,Minister of Security,Loeiz Andouard,8,Prince of Terror,M8504
8542,Head of Government,Maurice Duhamel,8,Backroom Backstabber,M8541
8509,Chief of Air Force,Olier Mordrel,8,Air Superiority Doctrine,M8500
8505,Head of Military Intelligence,Roparz Hemon,8,Political Specialist,M8505
8538,Foreign Minister,Youenn Drezen,8,Biased Intellectual,M8538
8540,Minister of Armament,Youenn Drezen,8,Infantry Proponent,M8538
8539,Minister of Security,Youenn Drezen,8,Prince of Terror,M8538
8507,Chief of Army,Yves Creston,8,Decisive Battle Doctrine,M8506
8506,Chief of Staff,Yves Creston,8,School of Mass Combat,M8506
8546,Chief of Staff,Yann Goulet,9,School of Psychology,M8544
8545,Minister of Armament,Yann Goulet,9,Military Entrepreneur,M8544
