BUR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
563024,Minister of Security,Thakin Mya,1,Compassionate Gentleman,BURMayt
563026,Chief of Staff,Thakin Soe,1,School of Manoeuvre,BURSoe
563027,Chief of Army,Than Tun,1,Guns and Butter Doctrine,BURTun
563025,Head of Military Intelligence,Abdul Razak,2,Dismal Enigma,BURAbd
563022,Foreign Minister,Aung San,2,Ideological Crusader,BURAun
563023,Minister of Armament,Ba Win,2,Resource Industrialist,BURWin
563030,Minister of Armament,Mahn Ba Khaing,2,Military Entrepreneur,BURMah
563021,Head of Government,U Nu,2,Ambitious Union Boss,BURUnu
563034,Head of Government,U Ottoma,2,Ambitious Union Boss,BUROtt
563037,Minister of Armament,Bo Let Ya,3,Military Entrepreneur,BURLet
563041,Head of Government,Pe Maung Tin,3,Silent Workhorse,BURPem
563040,Minister of Security,Po Kya,4,Man of the People,BURPok
563035,Head of Government,Saw Ba U Gyi,4,Naive Optimist,BURBau
563038,Minister of Security,Saw Hka Nan,5,Man of the People,BURHka
563036,Foreign Minister,U Thant,5,Great Compromiser,BURThant
563032,Head of Government,U May Aung,6,Silent Workhorse,BURUma
563033,Minister of Armament,U May Aung,6,Resource Industrialist,BURUma
563031,Head of Government,U Saw,6,Backroom Backstabber,BURSaws
563004,Minister of Armament,Ba Maw,7,Bank President,BURMaw
563029,Chief of Air Force,Hmu Aung,7,Air Superiority Doctrine,BURHmu
563011,Minister of Armament,Lim Chin Tsong,7,Administrative Genius,BURLim
563003,Foreign Minister,Maung Gyi,7,The Cloak N Dagger Schemer,BURMur
563012,Foreign Minister,San C. Po,7,Great Compromiser,BURCpo
563016,Chief of Army,Sao Kawng Kiao Intaleng,7,Elastic Defence Doctrine,BURKaw
563017,Head of Military Intelligence,Sao Saimong,7,Political Specialist,BURSai
563005,Minister of Security,Sao San Tun,7,Crime Fighter,BURSan
563028,Chief of Navy,Sao Shwe Thaik,7,Power Projection Doctrine,BURTha
563018,Chief of Staff,Sao Yang Wen Pin,7,School of Psychology,BURWen
563019,Head of Military Intelligence,Sao Yang Wen Pin,7,Logistics Specialist,BURWen
563013,Minister of Security,Saw Durmay,7,Silent Lawyer,BURSaw
563006,Head of Military Intelligence,Saya Gyi U Ba Khin,7,Dismal Enigma,BURGyi
563008,Chief of Army,Saya San,7,Static Defence Doctrine,BURSay
563007,Chief of Staff,Saya San,7,School of Defence,BURSay
563014,Minister of Security,Thakin Kodaw Hmaing,7,Man of the People,BURKod
563015,Foreign Minister,U Chit Hlaing,7,Biased Intellectual,BURChi
563002,Head of Government,U Chit Hlaing,7,Flamboyant Tough Guy,BURChi
