GUY,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
562115,Foreign Minister,Cyril Lionel Robert James,1,Ideological Crusader,GUY_clr_james
562111,Head of Government,Cyril Lionel Robert James,1,Flamboyant Tough Guy,GUY_clr_james
562126,Head of Military Intelligence,Cyril Lionel Robert James,1,Political Specialist,GUY_clr_james
562112,Head of Government,Tubal Uriah Butler,1,Smiling Oilman,GUY_tubal_uriah_butler
562119,Minister of Armament,Tubal Uriah Butler,1,Resource Industrialist,GUY_tubal_uriah_butler
562117,Foreign Minister,Alexander Clarke Bustamante,2,Ideological Crusader,GUY_alexander_bustamente
562114,Head of Government,Alexander Clarke Bustamante,2,Ambitious Union Boss,GUY_alexander_bustamente
562121,Minister of Armament,Alexander Clarke Bustamante,2,Laissez-Faire Capitalist,GUY_alexander_bustamente
562033,Chief of Army,Christopher Lobban,2,Guns and Butter Doctrine,M562027
562019,Minister of Armament,Dr. Gobinda Ganga,2,Theoretical Scientist,M562018
562014,Head of Government,Forbes Burnham,2,Political Protege,M562014
562116,Foreign Minister,George F. Fitzpatrick,2,Great Compromiser,GUY_fitzpatrick
562113,Head of Government,Grantley Herbert Adams,2,Happy Amateur,GUY_grantley_herbert_adams
562124,Minister of Security,Grantley Herbert Adams,2,Compassionate Gentleman,GUY_grantley_herbert_adams
562029,Chief of Staff,Kingsley Forrester,2,School of Manoeuvre,M562025
562120,Minister of Armament,Krishna Deonarine,2,Resource Industrialist,GUY_krishna_denarine
562125,Minister of Security,Krishna Deonarine,2,Man of the People,GUY_krishna_denarine
562039,Chief of Air Force,Kyle Lightfoot,2,Air Superiority Doctrine,M562031
562118,Foreign Minister,Malcolm Meredith Nurse,2,Biased Intellectual,GUY_nurse
562128,Head of Military Intelligence,Malcolm Meredith Nurse,2,Logistics Specialist,GUY_nurse
562123,Minister of Armament,Malcolm Meredith Nurse,2,Military Entrepreneur,GUY_nurse
