U32,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
95834,Head of Government,John Brophy,2,Backroom Backstabber,M44534
95896,Minister of Security,John Brophy,2,Prince of Terror,M44534
95913,Chief of Staff,John L. Lewis,2,School of Mass Combat,M44531
95909,Head of Military Intelligence,John L. Lewis,2,Political Specialist,M44531
95881,Minister of Armament,John L. Lewis,2,Resource Industrialist,M44531
95897,Minister of Security,John L. Lewis,2,Prince of Terror,M44531
95863,Foreign Minister,Leonard Freel Woodcock,2,Great Compromiser,M44563
95893,Minister of Security,Peter Werbe,2,Compassionate Gentleman,M44593
95894,Minister of Security,Richard Frankensteen,2,Silent Lawyer,M44594
95865,Foreign Minister,Saul Alinsky,2,Biased Intellectual,M44565
95898,Minister of Security,Saul Alinsky,2,Compassionate Gentleman,M44565
95856,Head of Government,Thomas Kennedy,2,Ambitious Union Boss,M44556
95864,Foreign Minister,Victor G. Reuther,2,Ideological Crusader,M44564
95908,Head of Military Intelligence,Victor G. Reuther,2,Technical Specialist,M44564
95855,Head of Government,Walter Reuther,2,Ambitious Union Boss,M44530
95882,Minister of Armament,Walter Reuther,2,Resource Industrialist,M44530
95895,Minister of Security,Walter Reuther,2,Efficient Sociopath,M44530
95925,Chief of Air Force,Eddie Rickenbacker,3,Army Aviation Doctrine,M44625
95857,Head of Government,Jimmy Hoffa,3,Flamboyant Tough Guy,M44532
95942,Chief of Air Force,Keith B. McCutcheon,3,Naval Aviation Doctrine,M44642
95943,Head of Military Intelligence,Keith B. McCutcheon,3,Naval Intelligence Specialist,M44642
95928,Chief of Air Force,Kenneth H. Dahlberg,3,Air Superiority Doctrine,M44627
95927,Minister of Armament,Kenneth H. Dahlberg,3,Air Superiority Proponent,M44627
95929,Chief of Navy,Walden L. Ainsworth,3,Indirect Approach Doctrine,M44629
95930,Head of Military Intelligence,Walden L. Ainsworth,3,Naval Intelligence Specialist,M44629
95933,Chief of Navy,Winfield S. Cunningham,3,Indirect Approach Doctrine,M44633
95858,Foreign Minister,Adlai Ewing Stevenson II,4,Apologetic Clerk,M44512
95836,Head of Government,Adlai Ewing Stevenson II,4,Happy Amateur,M44512
95884,Minister of Security,Adlai Ewing Stevenson II,4,Silent Lawyer,M44512
95907,Head of Military Intelligence,Claude Elwood Shannon,4,Dismal Enigma,M44607
95906,Head of Military Intelligence,Eduard C. Lindeman,4,Technical Specialist,M44606
95841,Head of Government,Edward J. Kelly,4,Ambitious Union Boss,M44517
95869,Minister of Armament,Edward J. Kelly,4,Resource Industrialist,M44517
95890,Minister of Security,Emily Helen Butterfield,4,Compassionate Gentleman,M44590
95860,Foreign Minister,G. Mennen Williams,4,Ideological Crusader,M44525
95848,Head of Government,G. Mennen Williams,4,Ambitious Union Boss,M44525
95902,Head of Military Intelligence,G. Mennen Williams,4,Naval Intelligence Specialist,M44525
95871,Minister of Armament,G. Mennen Williams,4,laissez-faire capitalist,M44525
95833,Head of Government,Henry Horner,4,Ambitious Union Boss,M44511
95852,Head of Government,Jerome P. Cavanagh,4,Naive Optimist,M44528
95888,Minister of Security,Jerome P. Cavanagh,4,Compassionate Gentleman,M44528
95910,Chief of Staff,John B. Swainson,4,School of Psychology,M44526
95861,Foreign Minister,John B. Swainson,4,General Staffer,M44526
95849,Head of Government,John B. Swainson,4,Ambitious Union Boss,M44526
95872,Minister of Armament,John B. Swainson,4,Infantry Proponent,M44526
95801,Head of Government,John H. Stelle,4,Old General,M44501
95866,Minister of Armament,John H. Stelle,4,Military Entrepreneur,M44501
95807,Chief of Army,Martin H. Kennelly,4,Guns and Butter Doctrine,M44507
95842,Head of Government,Martin H. Kennelly,4,Old General,M44507
95900,Head of Military Intelligence,Martin H. Kennelly,4,Logistics Specialist,M44507
95806,Chief of Staff,Murray D. Van Wagoner,4,school of defence,M44506
95845,Head of Government,Murray D. Van Wagoner,4,Corporate Suit,M44506
