CHI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
183570,Minister of Security,Kang Sheng,1,Prince of Terror,CHIKang
183613,Head of Military Intelligence,Liao Chengzhi,1,Political Specialist,LiaoChengzhi
183554,Chief of Staff,Cai Tingkai,2,School of Psychology,CHITingkai
183528,Head of Government,Chen Tanqui,2,Corporate Suit,CHITanqui
183571,Head of Military Intelligence,Deng Yanda,2,Dismal Enigma,CHIYanda
183639,Foreign Minister,Eugene Chen,2,Iron Fisted Brute,Eugene Chen
183529,Foreign Minister,Jian Bozan,2,Ideological Crusader,CHIBozan
183614,Chief of Army,Li Jishen,2,Decisive Battle Doctrine,L502003
183622,Chief of Staff,Li Jishen,2,School of Fire Support,L502003
183606,Chief of Navy,Li Zhilong,2,Decisive Naval Battle Doctrine,Li Zhilong
183557,Minister of Security,Shen Junru,2,Efficient Sociopath,CHIJunru
52084,Head of Military Intelligence,Sun Yu,2,Logistics Specialist,CHISunyu
183523,Minister of Armament,Chang Ching-kiang,3,Administrative Genius,Chang Ching-kiang
183617,Head of Government,Chang Chun-mai,3,Smiling Oilman,CHIJunmai
183548,Chief of Staff,Chen Mingshu,3,School of Mass Combat,CHIMingshu
183626,Head of Government,Chen Mingshu,3,Smiling Oilman,Chen Mingshu
183594,Head of Government,Cheng Qian,3,Old General,CHICheng Qian
183601,Chief of Army,Chiang Wei-kuo,3,Armoured Spearhead Doctrine,Chiang Wei-kuo
183600,Chief of Staff,Chiang Wei-kuo,3,School of Manoeuvre,Chiang Wei-kuo
183663,Minister of Security,Chu Cheng,3,Man of the People,Chu Cheng
183563,Chief of Air Force,Feng Ru,3,Carpet Bombing Doctrine,CHIFeng
183610,Chief of Navy,Guo Faao,3,Power Projection Doctrine,Guo Faao
183589,Chief of Army,He Chengjun,3,Guns and Butter Doctrine,He Chengjun
183595,Chief of Staff,Hsiung Shih-hui,3,School of Mass Combat,Xiong Shihui
183572,Chief of Air Force,Kwei-Tan Li,3,Air Superiority Doctrine,CHITsu
183634,Head of Government,Li Jisen,3,Old General,L502003
183642,Chief of Army,Li Liejun,3,Guns and Butter Doctrine,Li Liejun
183641,Chief of Staff,Li Liejun,3,School of Fire Support,Li Liejun
183620,Head of Military Intelligence,Li Shucheng,3,Technical Specialist,Li Shucheng
183612,Head of Government,Liao Zhongkai,3,Silent Workhorse,CHIZhongkai
183513,Minister of Armament,Liao Zhongkai,3,Resource Industrialist,CHIZhongkai
183536,Head of Government,Soong Ching-ling,3,Flamboyant Tough Guy,CHIMadame
183540,Chief of Army,Tai Chi-tao,3,Decisive Battle Doctrine,CHITai
183519,Foreign Minister,Tan Kah Kee,3,General Staffer,CHITan
183585,Foreign Minister,Tsiang Tingfu,3,General Staffer,Tsiang Tingfu
183559,Foreign Minister,Wang Ch'ung-hui,3,Apologetic Clerk,CHIChung
183560,Chief of Staff,Wang Jingwei,3,School of Fire Support,CHIWangjing
183561,Head of Government,Wang Jingwei,3,Old General,CHIWangjing
183629,Head of Government,Wang Kunlun,3,Corporate Suit,Wang Kunlun
183597,Chief of Staff,Yang Chieh,3,School of Psychology,CHIYang Jie
183551,Head of Military Intelligence,Yu Youren,3,Technical Specialist,CHIYouren
183657,Head of Government,Zhang Bojun,3,Political Protege,Zhang Bojun
183651,Foreign Minister,C. T. Wang,4,Apologetic Clerk,C. T. Wang
183530,Foreign Minister,Chang Chun-mai,4,Great Compromiser,CHIJunmai
183687,Chief of Army,Chen Geng,4,Static Defence Doctrine,CYN_geng
183686,Chief of Staff,Chen Geng,4,School of Fire Support,CYN_geng
183685,Head of Government,Chen Geng,4,Happy Amateur,CYN_geng
183564,Chief of Air Force,Chin Shui-Tin,4,Air Superiority Doctrine,CHIShui
183578,Minister of Armament,Fei Hsiao-Tung,4,Military Entrepreneur,CHIXiaotong
183565,Chief of Air Force,Gao Zhihang,4,Vertical Envelopment Doctrine,CHIZhihang
