CHL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
44076,Minister of Armament,Augustin Edwards,1,Air Superiority Proponent,M44089
44033,Head of Government,C.L. Blest Riffo,1,Old Admiral,M44022
44067,Minister of Armament,C.L. Blest Riffo,1,Theoretical Scientist,M44022
44131,Chief of Navy,Gustavo Silva,1,Indirect Approach Doctrine,M44027
44115,Chief of Staff,Gustavo Silva,1,School of Manoeuvre,M44027
44123,Chief of Army,Julio Allard Pinto,1,Elastic Defence Doctrine,M44006
44101,Head of Military Intelligence,Julio Allard Pinto,1,Political Specialist,M44006
44047,Foreign Minister,Luis Arteaga Garcia,1,The Cloak N Dagger Schemer,M44023
44138,Chief of Air Force,Marmaduke Grove,1,Naval Aviation Doctrine,M44021
44038,Head of Government,Marmaduke Grove,1,old airmarshal,M44021
44088,Minister of Security,Marmaduke Grove,1,Man of the People,M44021
44080,Minister of Armament,Aurelio Celedon Palma,2,Strategic Air Proponent,M44090
44096,Minister of Security,Cristobál Saénz Cerda,2,Prince of Terror,M44052
44060,Foreign Minister,Fernando Brown Morales,2,Apologetic Clerk,M44067
44140,Chief of Air Force,Gustavo Silva,2,Army Aviation Doctrine,M44027
44040,Head of Government,Salvador Allende,2,Ambitious Union Boss,M44039
44048,Foreign Minister,Abraham Ortega Aguayo,3,Iron Fisted Brute,M44051
44042,Head of Government,Alfredo Duhalde Vasquez,3,Naive Optimist,M44159
44097,Minister of Security,Antonio J. Rios,3,Prince of Terror,M44032
44039,Head of Government,Antonio J. Rios Morales,3,Flamboyant Tough Guy,M44032
44071,Minister of Armament,Carlos Fuentes Rabe,3,Military Entrepreneur,M44072
44065,Minister of Armament,Carlos Garcia Palacios,3,Theoretical Scientist,M44068
44050,Foreign Minister,Cristobál Saénz Cerda,3,Apologetic Clerk,M44052
44110,Head of Military Intelligence,Dario Mujica Gamboa,3,Technical Specialist,M44010
44078,Minister of Armament,Dario Mujica Gamboa,3,Air Superiority Proponent,M44010
44092,Minister of Security,Dario Mujica Gamboa,3,Efficient Sociopath,M44010
44139,Chief of Air Force,Diego Aracena,3,Air Superiority Doctrine,M44146
44105,Head of Military Intelligence,Eduardo Hillman,3,Naval Intelligence Specialist,M44004
44054,Foreign Minister,Ernesto Barras Jarpa,3,General Staffer,M44056
44116,Chief of Staff,Ernesto M. Orlando,3,School of Mass Combat,M44121
44102,Head of Military Intelligence,Federico Escamante,3,Logistics Specialist,M44106
44072,Minister of Armament,Francisco Walker Linares,3,Tank Proponent,M44073
44043,Head of Government,Gabriel Gonzalez Videla,3,Backroom Backstabber,M44033
44055,Foreign Minister,J. Fernandez y Fernandéz,3,The Cloak N Dagger Schemer,M44057
44035,Head of Government,Jeronimo Mendez Arancíbia,3,Silent Workhorse,M44157
44104,Head of Military Intelligence,Juan Rios Morales,3,Dismal Enigma,M44069
44066,Minister of Armament,Juan Rios Morales,3,Resource Industrialist,M44069
44132,Chief of Navy,Juan Rodriguez,3,Open Seas Doctrine,M44138
44133,Chief of Navy,Julio Gerken Mahn,3,Power Projection Doctrine,M44139
44053,Foreign Minister,Luis Alamos Barros,3,Ideological Crusader,M44055
44069,Minister of Armament,Luis Alamos Barros,3,Infantry Proponent,M44055
44124,Chief of Army,Luis Otero Mujica,3,Armoured Spearhead Doctrine,M44130
44052,Foreign Minister,Manuel Bianchi Gúndian,3,Iron Fisted Brute,M44054
44081,Minister of Armament,Manuel C. Pereira,3,Resource Industrialist,M44075
44051,Foreign Minister,Manuel Mora Miranda,3,Great Compromiser,M44045
44091,Minister of Security,Manuel Mora Miranda,3,Back Stabber,M44045
44090,Minister of Security,Manuel Salinas,3,Silent Lawyer,M44091
44031,Head of Government,Pedro Aguirre Cerda,3,Political Protege,M44031
44070,Minister of Armament,Pedro Aguirre Cerda,3,laissez-faire capitalist,M44031
44056,Foreign Minister,Raúl Juliet Gómez,3,Apologetic Clerk,M44058
44108,Head of Military Intelligence,Salvador Allende,3,Industrial Specialist,M44039
44127,Chief of Army,Salvador Arron Galvéz,3,Guns and Butter Doctrine,M44131
44084,Minister of Security,Abraham Ortega Aguayo,4,Crime Fighter,M44051
44086,Minister of Security,Antonio Huneeus,4,Man of the People,M44095
44032,Head of Government,Arturo Alessandri Palma,4,Smiling Oilman,M44001
44005,Minister of Security,Arturo Alessandri Palma,4,Compassionate Gentleman,M44001
44009,Chief of Navy,C.J. de la Motte,4,Open Seas Doctrine,M44007
44007,Chief of Staff,C.J. de la Motte,4,School of Fire Support,M44007
44121,Chief of Army,Carlos Fuentes Rabe,4,Decisive Battle Doctrine,M44072
44099,Head of Military Intelligence,Carlos Fuentes Rabe,4,Industrial Specialist,M44072
44112,Chief of Staff,Carlos Puga Monsalve,4,School of Mass Combat,M44087
44103,Head of Military Intelligence,Carlos Puga Monsalve,4,Technical Specialist,M44087
44063,Minister of Armament,Cristobál Saénz Cerda,4,Administrative Genius,M44052
44010,Chief of Air Force,Dario Mujica Gamboa,4,Air Superiority Doctrine,M44010
44008,Chief of Army,E. Novoa Fuentes,4,Static Defence Doctrine,M44008
44004,Minister of Armament,Eduardo Hillman,4,Resource Industrialist,M44004
44028,Head of Government,Emiliano Figueroa,4,Silent Workhorse,Emiliano Figueroa
44107,Head of Military Intelligence,Federico Claude,4,Industrial Specialist,M44115
44129,Chief of Navy,Francisco O'Ryan Orrego,4,Decisive Naval Battle Doctrine,M44062
44045,Foreign Minister,J.R.Guiterréz Allende,4,Biased Intellectual,M44059
44135,Chief of Air Force,José Luis Sánchez Besa,4,Carpet Bombing Doctrine,M44076
44062,Minister of Armament,José Luis Sánchez Besa,4,Air to Ground Proponent,M44076
44003,Foreign Minister,Miguel Cruchaga Tocornal,4,Iron Fisted Brute,M44003
44030,Head of Government,Miguel Cruchaga Tocornal,4,Naive Optimist,M44003
44089,Minister of Security,Miguel Gonzalez Rios,4,Crooked Kleptocrat,M44096
44141,Chief of Air Force,Raúl Gonzalez Nolle,4,Army Aviation Doctrine,M44147
44126,Chief of Army,Arturo Espinoza Mujica,6,Static Defence Doctrine,M44122
