SPR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
11269,Chief of Army,Antonio Cordón García,0,Static Defence Doctrine,M11238
11238,Chief of Staff,Antonio Cordón García,0,School of Defence,M11238
11166,Minister of Security,Antonio Mije,0,Prince of Terror,M11166
11203,Head of Military Intelligence,Daniel Ortega Martínez,0,Logistics Specialist,M11203
11076,Foreign Minister,Dolores Ibáurri Gómez,0,Iron Fisted Brute,M11049
11162,Minister of Security,Dolores Ibáurri Gómez,0,Efficient Sociopath,M11162
11235,Chief of Staff,Emilio Kléber,0,School of Defence,M11235
11117,Minister of Armament,Enrique Castro Delgado,0,Infantry Proponent,M11024
11267,Chief of Army,Enrique Líster Forján,0,Decisive Battle Doctrine,M11028
11236,Chief of Staff,Enrique Líster Forján,0,School of Psychology,M11236
11270,Chief of Army,Etelvino Vega Martínez,0,Armoured Spearhead Doctrine,M11116
11116,Minister of Armament,Etelvino Vega Martínez,0,Tank Proponent,M11116
11300,Chief of Navy,Francisco Galán Rodríguez,0,Open Seas Doctrine,M11029
11240,Chief of Staff,Francisco Galán Rodríguez,0,School of Fire Support,M11240
11234,Chief of Staff,Frank Ryan,0,School of Mass Combat,M11234
11075,Foreign Minister,Jesús Hernández y Tomás,0,Ideological Crusader,M11023
11201,Head of Military Intelligence,Jesús Hernández y Tomás,0,Technical Specialist,M11023
11118,Minister of Armament,Jesús Hernández y Tomás,0,Theoretical Scientist,M11118
11167,Minister of Security,Joaquín Grimau García,0,Efficient Sociopath,M11167
11058,Head of Government,José Díaz Ramos,0,Ambitious Union Boss,M11021
11165,Minister of Security,José Díaz Ramos,0,Man of the People,M11021
11204,Head of Military Intelligence,Juan Comorera y Soler,0,Dismal Enigma,M11204
11115,Minister of Armament,Juan Comorera y Soler,0,Resource Industrialist,M11026
11268,Chief of Army,Juan Modesto Guilloto,0,Guns and Butter Doctrine,M11237
11237,Chief of Staff,Juan Modesto Guilloto,0,School of Mass Combat,M11237
11266,Chief of Army,Manuel Tagüeña Lacorte,0,Elastic Defence Doctrine,M11266
11239,Chief of Staff,Manuel Tagüeña Lacorte,0,School of Manoeuvre,M11027
11077,Foreign Minister,Margarita Nelken,0,Biased Intellectual,M11077
11164,Minister of Security,Margarita Nelken,0,Compassionate Gentleman,M11077
11322,Chief of Air Force,Pedro Fernández Checa,0,Army Aviation Doctrine,M11299
11299,Chief of Navy,Pedro Fernández Checa,0,Decisive Naval Battle Doctrine,M11299
11301,Chief of Navy,Pedro Prado Mendizábal,0,Indirect Approach Doctrine,M11301
11200,Head of Military Intelligence,Rafael Videlia Rubio,0,Industrial Specialist,M11200
11079,Foreign Minister,Santiago Carrillo Solares,0,The Cloak N Dagger Schemer,M11059
11059,Head of Government,Santiago Carrillo Solares,0,Political Protege,M11059
11202,Head of Military Intelligence,Santiago Carrillo Solares,0,Political Specialist,M11202
11168,Minister of Security,Santiago Carrillo Solares,0,Prince of Terror,M11059
11163,Minister of Security,Valentín González González,0,Back Stabber,M11163
11323,Chief of Air Force,Vicente Uribe Galdeano,0,Vertical Envelopment Doctrine,M11114
11298,Chief of Navy,Vicente Uribe Galdeano,0,Base Control Doctrine,M11114
11114,Minister of Armament,Vicente Uribe Galdeano,0,Administrative Genius,M11114
11161,Minister of Security,Vicente Uribe Galdeano,0,Man of the People,M11114
11080,Foreign Minister,Andreu Nin i Pérez,1,The Cloak N Dagger Schemer,M11080
11171,Minister of Security,Andreu Nin i Pérez,1,Compassionate Gentleman,M11080
11208,Head of Military Intelligence,Ángel Pestaña,1,Political Specialist,M11208
11120,Minister of Armament,Ángel Pestaña,1,Air to Ground Proponent,M11120
11405,Head of Government,António Pinto Quartim,1,Silent Workhorse,POR_pinto_quartim
11275,Chief of Army,Buenaventura Durruti Dumange,1,Decisive Battle Doctrine,kaiserreich_SPR_Durruti
11245,Chief of Staff,Buenaventura Durruti Dumange,1,School of Defence,kaiserreich_SPR_Durruti
11175,Minister of Security,Buenaventura Durruti Dumange,1,Prince of Terror,M11175
11271,Chief of Army,Cipriano Mera Sanz,1,Static Defence Doctrine,M11244
11244,Chief of Staff,Cipriano Mera Sanz,1,School of Psychology,M11244
11084,Foreign Minister,Diego Abad de Santillán,1,Biased Intellectual,M11084
11082,Foreign Minister,Eduardo de Guzmán,1,Great Compromiser,M11082
11172,Minister of Security,Eduardo de Guzmán,1,Silent Lawyer,M11082
11205,Head of Military Intelligence,Federica Monsteny Mané,1,Technical Specialist,M11124
11124,Minister of Armament,Federica Monsteny Mané,1,Theoretical Scientist,M11124
11274,Chief of Army,Francisco Ascaso Budría,1,Guns and Butter Doctrine,M11243
11243,Chief of Staff,Francisco Ascaso Budría,1,School of Mass Combat,M11243
11061,Head of Government,Joaquín Ascaso Budriá,1,Happy Amateur,M11061
11122,Minister of Armament,Joaquín Ascaso Budriá,1,Military Entrepreneur,M11061
11081,Foreign Minister,Joaquin Maurín Juliá,1,Ideological Crusader,M11081
11121,Minister of Armament,Joaquin Maurín Juliá,1,Tank Proponent,M11081
11169,Minister of Security,José Expósito Leiva,1,Silent Lawyer,M11169
11083,Foreign Minister,José Peirats,1,Apologetic Clerk,M11083
11174,Minister of Security,Juan García Oliver,1,Man of the People,M11174
11324,Chief of Air Force,Juan López Sánchez,1,Army Aviation Doctrine,M11119
11303,Chief of Navy,Juan López Sánchez,1,Indirect Approach Doctrine,M11119
11207,Head of Military Intelligence,Juan López Sánchez,1,Industrial Specialist,M11119
11119,Minister of Armament,Juan López Sánchez,1,Resource Industrialist,M11119
11325,Chief of Air Force,Juan Peiró Belis,1,Carpet Bombing Doctrine,M11123
11302,Chief of Navy,Juan Peiró Belis,1,Base Control Doctrine,M11123
11123,Minister of Armament,Juan Peiró Belis,1,Administrative Genius,M11123
11209,Head of Military Intelligence,Julian Gorkin Gómez García,1,Naval Intelligence Specialist,M11209
11327,Chief of Air Force,Mariano Vázquez Rodríguez,1,Air Superiority Doctrine,M11206
11206,Head of Military Intelligence,Mariano Vázquez Rodríguez,1,Dismal Enigma,M11206
