COL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
37160,Chief of Air Force,Luis Bernardo Andrade,0,Naval Aviation Doctrine,M37027
37134,Chief of Staff,Luis Bernardo Andrade,0,School of Psychology,M37027
37143,Chief of Army,Querista Sellor,0,Guns and Butter Doctrine,M37021
37123,Head of Military Intelligence,Querista Sellor,0,Dismal Enigma,M37021
37055,Head of Government,Querista Sellor,1,Backroom Backstabber,M37021
37041,Head of State,Querista Sellor,1,Pig-headed Isolationist,M37021
37092,Minister of Armament,Carlos Lozano y Lozano,2,laissez-faire capitalist,M37044
37110,Minister of Security,Darío Echandía,2,Compassionate Gentleman,M37045
37149,Chief of Navy,Gabriel Quintanilla Morales,2,Power Projection Doctrine,M37029
37091,Minister of Armament,Gabriel Quintanilla Morales,2,Battle Fleet Proponent,M37029
37056,Head of Government,Jorge Eliecer Gaitan,2,Naive Optimist,M37037
37042,Head of State,Jorge Eliecer Gaitan,2,Popular Figurehead,M37037
37135,Chief of Staff,Jorge Lopez Suyo,2,School of Manoeuvre,M37109
37109,Minister of Security,Jorge Lopez Suyo,2,Prince of Terror,M37109
37090,Minister of Armament,Jorge Roa Martinez,2,Infantry Proponent,M37005
37124,Head of Military Intelligence,Leon de Greiff,2,Technical Specialist,M37025
37108,Minister of Security,Leon de Greiff,2,Man of the People,M37025
37161,Chief of Air Force,Raphael Hollmann,2,Vertical Envelopment Doctrine,M37094
37074,Minister of Armament,Alain Adair Arriaga,3,Resource Industrialist,M37074
37060,Foreign Minister,Alberto Lleras Camargo,3,Biased Intellectual,M37033
37095,Minister of Security,Alberto Lleras Camargo,3,Silent Lawyer,M37033
37075,Minister of Armament,Alfonso Lopéz Pumarejo,3,Infantry Proponent,M37001
37002,Head of Government,Alfonso López Pumarejo,3,Silent Workhorse,M37001
37001,Head of State,Alfonso López Pumarejo,3,Weary Stiffneck,M37001
37166,Head of State,Alfonso López Pumarejo,3,Weary Stiffneck,M37001
37004,Minister of Armament,Benito Hernandez,3,Corrupt Kleptocrat,M37004
37059,Foreign Minister,Carlos Lozano y Lozano,3,Great Compromiser,M37044
37044,Head of Government,Carlos Lozano y Lozano,3,Smiling Oilman,M37044
37045,Head of Government,Darío Echandía,3,Happy Amateur,M37045
37008,Chief of Army,Eduardo Poirier Escobar,3,Elastic Defence Doctrine,M37008
37003,Foreign Minister,Ernesto Gonzalez Piedrahita,3,Ideological Crusader,M37003
37006,Head of Military Intelligence,Fernando Londono y Londono,3,Industrial Specialist,M37006
37076,Minister of Armament,Francisco Barberi Zamorano,3,laissez-faire capitalist,M37076
37169,Chief of Army,Gabriel Paris Gordillo,3,Elastic Defence Doctrine,M37169
37058,Foreign Minister,Gabriel Turbay Ayala,3,Iron Fisted Brute,M37034
37010,Chief of Air Force,German Olano,3,Air Superiority Doctrine,M37010
37073,Minister of Armament,Gregorio Obregon,3,Tank Proponent,M37073
37137,Chief of Army,Gustavo Rojas Pinilla,3,Static Defence Doctrine,M37133
37167,Head of State,Gustavo Rojas Pinilla,3,Resigned Generalissimo,M37040
37111,Head of Military Intelligence,Jorge Lopez Suyo,3,Political Specialist,M37109
37007,Chief of Staff,Jorge Mercado Sanchez,3,School of Defence,M37007
37005,Minister of Security,Jorge Roa Martinez,3,Compassionate Gentleman,M37005
37057,Foreign Minister,Jorge Soto del Corral,3,The Cloak N Dagger Schemer,M37057
37127,Chief of Staff,José Guisa y Escalar,3,School of Defence,M37127
37150,Chief of Air Force,Luis Acevedo,3,Naval Aviation Doctrine,M37009
37136,Chief of Army,Luis Acevedo,3,Armoured Spearhead Doctrine,M37009
37009,Chief of Navy,Luis Acevedo,3,Decisive Naval Battle Doctrine,M37009
37126,Chief of Staff,Luis Acevedo,3,School of Mass Combat,M37009
37112,Head of Military Intelligence,Manuel Arizan Lopez,3,Technical Specialist,M37112
37093,Minister of Security,Rafael Giraldo Vargas,3,Crooked Kleptocrat,M37093
37094,Minister of Security,Raphael Hollmann,3,Compassionate Gentleman,M37094
37151,Chief of Air Force,Salvador Tiaga Gonzalez,3,Vertical Envelopment Doctrine,M37131
37047,Head of Government,Alberto Lleras Camargo,4,Political Protege,M37033
37033,Head of State,Alberto Lleras Camargo,4,Insignificant Layman,M37033
