U02,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
8955008,Chief of Navy,Karl Artelt,3,Decisive Naval Battle Doctrine,kaiserreich Artelt
8955001,Head of Government,Carl Dankwort,6,Silent Workhorse,kaiserreich Dankwort
8955004,Minister of Security,Elias Mellos,6,Man of the People,kaiserreich Mellos
8955018,Chief of Navy,Petros Voulgaris,6,Indirect Approach Doctrine,M18061
8955019,Chief of Air Force,Ali Fuat Cebesoy,7,Army Aviation Doctrine,kaiserreich Cebesoy
8955006,Chief of Staff,Ali Fuat Cebesoy,7,School of Defence,kaiserreich Cebesoy
8955002,Foreign Minister,Aristidis Stergiadis,7,iron fisted brute,kaiserreich Stergiadis
8955003,Minister of Armament,Basil Zaharoff,7,Corrupt Kleptocrat,kaiserreich Zaharoff
8955009,Chief of Air Force,Erwin Böhme,7,Air Superiority Doctrine,kaiserreich Böhme
8955005,Head of Military Intelligence,Friedrich Schubert,7,Dismal Enigma,kaiserreich Schubert
8955012,Head of Government,Munis Tekinalp,7,Naive Optimist,kaiserreich Tekinalp
8955014,Minister of Security,Musa Cevat Sakir,7,Compassionate Gentleman,kaiserreich Sakir
8955007,Chief of Army,Mustafa Fehmi Kubilay,7,Guns and Butter Doctrine,kaiserreich Kubilay
8955017,Chief of Army,Nikolaos Plastiras,7,Guns and Butter Doctrine,M18060
8955016,Chief of Staff,Nikolaos Plastiras,7,School of Psychology,M18060
8955015,Head of Military Intelligence,Salih Omurtak,7,Logistics Specialist,kaiserreich Omurtak
8955013,Minister of Armament,Sükrü Kaya,7,Administrative Genius,kaiserreich Kaya
