CYP,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
560025,Chief of Army,Dighenis Grivas,2,Guns and Butter Doctrine,M560025
560019,Minister of Security,Dighenis Grivas,2,Prince of Terror,M560019
560021,Head of Military Intelligence,Eleferides Clerides,2,Dismal Enigma,M560021
560029,Chief of Air Force,Georgios Vayenas,2,Naval Aviation Doctrine,M560029
560023,Chief of Staff,Giorgios Siradikis,2,School of Fire Support,M560023
560015,Foreign Minister,Harilaos Agapias,2,Ideological Crusader,M560015
560027,Chief of Navy,Polo Miltoniades,2,Base Control Doctrine,M560027
560013,Head of Government,Soames Trevor-Ropkins,2,Corporate Suit,M560018
560017,Minister of Armament,Traianos Basiliakos,2,Battle Fleet Proponent,M560017
560007,Chief of Staff,Andrew Barkworth Wright,5,School of Mass Combat,M560007
560008,Chief of Army,John Harding,5,Decisive Battle Doctrine,M560008
560009,Chief of Navy,Ormond Norville,5,Decisive Naval Battle Doctrine,M560009
560006,Head of Military Intelligence,Roderick Fenwick-Palmer,5,Industrial Specialist,M560006
560004,Minister of Armament,Roderick McTarr,5,Military Entrepreneur,M560004
560003,Foreign Minister,Sir Herbert Palmer,5,General Staffer,M560003
560005,Minister of Security,Sir Hugh Mackintosh Foot,5,Silent Lawyer,M560005
560002,Head of Government,Sir Reginald Lord Winster,5,Naive Optimist,M560002
560010,Chief of Air Force,Sir William D. Battershill,5,Vertical Envelopment Doctrine,M560001
560014,Head of Government,Aytak Batür,7,Backroom Backstabber,M560014
560032,Head of Government,Eleutherios Kosmatopoulos,7,Corporate Suit,M560013
560016,Foreign Minister,Hayri Inalcik,7,Biased Intellectual,M560016
560026,Chief of Army,Kadir Moncef Bey,7,Elastic Defence Doctrine,M549006
560024,Chief of Staff,Mehmet Halam Pasha,7,School of Manoeuvre,L549028
560028,Chief of Navy,Osman Sorokocoglu,7,Indirect Approach Doctrine,M560028
560020,Minister of Security,Palmer McKinolty,7,Compassionate Gentleman,M560020
560022,Head of Military Intelligence,Richard Pethwick,7,Political Specialist,M560022
560018,Minister of Armament,Soames Trevor-Ropkins,7,Theoretical Scientist,M560018
560030,Chief of Air Force,Taff Quelch,7,Air Superiority Doctrine,M560030
