PAK,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
564113,Minister of Armament,Bhogaraju Pattabhi Sitaramayya,2,Keynesian Economy,PRKBho
564115,Foreign Minister,Mahadev Desai,2,Great Compromiser,PRKMah
564116,Minister of Security,Mohandas Karamchand Gandhi,2,Great Soul,PRKGandhi
564114,Minister of Security,Rajkumari Amrit Kaur,2,Health and Safety,PRKAmr
564059,Head of Military Intelligence,B. R. Ambedkar,3,Dismal Enigma,PAKAmb
564055,Minister of Security,B. R. Ambedkar,3,Health and Safety,PAKAmb
564072,Minister of Armament,Ghanshyam Das Birla,3,Keynesian Economy,PAKDas
564070,Foreign Minister,Huseyn Shaheed Suhrawardy,3,Biased Intellectual,PAKHus
564071,Minister of Security,K. P. Kesava Menon,3,Health and Safety,PAKMen
564096,Minister of Security,Karam Chand Jain,3,Crime Fighter,PAKKaram
564034,Foreign Minister,Liaquat Ali Khan,3,The Cloak N Dagger Schemer,M59052
564132,Minister of Security,M. C. Chagla,3,Crime Fighter,PAKChag
564058,Head of Military Intelligence,Maharaja K. S. Digvijaysinhji,3,Logistics Specialist,PAKDigv
564098,Chief of Staff,Maharaja K. S. Digvijaysinhji,3,School of Psychology,PAKDigv
564049,Minister of Security,Mehr Chand Mahajan,3,Silent Lawyer,PAKChand
564092,Minister of Security,Morarji Desai,3,Compassionate Gentleman,PAKMor
564091,Minister of Armament,Morarji Desai,3,Planned Economy Proponent,PAKMor
564069,Head of Government,Muhammad Ali Jinnah,3,Gentleman Politician,PAKJin2
564135,Foreign Minister,N. Gopalaswami Ayyangar,3,Great Compromiser,PAKAyy
564121,Foreign Minister,Sachchidananda Sinha,3,Great Compromiser,PAKSac
564133,Foreign Minister,Sheikh M. Abdullah,3,Ideological Crusader,PAKAbd
564095,Minister of Armament,Sir Shanti Swaroop Bhatnagar,3,Theoretical Scientist,PAKSwa
564122,Head of Government,V. K. Krishna Menon,3,Flamboyant Tough Guy,PAKVkm
564123,Foreign Minister,V. K. Krishna Menon,3,Iron Fisted Brute,PAKVkm
564086,Minister of Armament,Walchand Hirachand Doshi,3,Administrative Genius,PAKWil
564127,Minister of Armament,Ambalal Sarabhai,4,Resource Industrialist,PAKSarabhai
564041,Minister of Armament,Ardeshir Darabshaw Shroff,4,Mixed Economy,PAKShr
564136,Minister of Security,B. G. Kher,4,Health and Safety,PAKKhe
564137,Head of Government,B. G. Kher,4,Naive Optimist,PAKKhe
564039,Minister of Armament,Chunnilal Devkaran Nanjee,4,Bank President,PAKDev
564089,Chief of Air Force,Hardutt Singh Malikr,4,Air Superiority Doctrine,PAKHar
564068,Minister of Armament,Kanaiyalal Maneklal Munshi,4,Industrialiser,PAKMun
564138,Head of Government,Kanaiyalal Maneklal Munshi,4,Silent Workhorse,PAKMun
564128,Head of Military Intelligence,Kasturbhai Lalbhai,4,Industrial Specialist,PAKKas
564129,Minister of Armament,Kasturbhai Lalbhai,4,Industrialiser,PAKKas
564067,Minister of Security,M. R. Jayakar,4,Health and Safety,PAKJay
564015,Chief of Air Force,Mehar Singh,4,Army Aviation Doctrine,M59114
564065,Head of Government,Narasimha Chintaman Kelkar,4,Happy Amateur,PAKChi
564145,Minister of Armament,Nathu Singh Rathore,4,Reformer,PAKRat
564029,Chief of Staff,Nathu Singh Rathore,4,School of Manoeuvre,PAKRat
564043,Chief of Staff,Sayajirao Gaekwad III,4,School of Manoeuvre,PAKGae
564141,Foreign Minister,Sir Cowasjee Jehangir,4,Great Compromiser,PAKJeh
564090,Minister of Security,Sir Cowasjee Jehangir,4,Man of the People,PAKJeh
564024,Chief of Army,Sir Frank Messervy,4,Commando Doctrine Army,M59102
564033,Foreign Minister,Sir Girija Shankar Bajpai,4,Great Compromiser,PAKGir
564051,Minister of Security,Sir Henry Gidney,4,Compassionate Gentleman,PAKHen
564131,Foreign Minister,Sir R. P. Paranjpe,4,Biased Intellectual,PAKPar
564066,Foreign Minister,Sir Shah Nawaz Bhutto,4,Biased Intellectual,PAKBhu
564061,Foreign Minister,Sir Tej Bahadur Sapru,4,Apologetic Clerk,PAKTej
564094,Chief of Staff,Umed Singh II of Kotah,4,School of Mass Combat,PAKUme
564093,Chief of Army,Umed Singh II of Kotah,4,Static Defence Doctrine,PAKUme
564025,Chief of Army,Archibald Wavell,5,Elastic Defence Doctrine,PAKWav
564087,Minister of Armament,B.R. Shenoy,5,Laissez-Faire Capitalist,PAKShe
564084,Chief of Air Force,Cecil Bouchier,5,Carpet Bombing Doctrine,PAKBou
564108,Chief of Navy,D. N. Mukerji,5,Base Control Doctrine,INDMuk
564050,Minister of Security,Evan Meredith Jenkins,5,Compassionate Gentleman,M564024
564130,Chief of Navy,F.P.R. Noronha,5,Decisive Naval Battle Doctrine,PAKNoh
564124,Chief of Army,Gopal Gurunath Bewoor,5,Doctrine of Autonomy,PAKGop
564125,Chief of Staff,Gopal Gurunath Bewoor,5,School of Manoeuvre,PAKGop
564126,Minister of Security,H. N. Kunzru,5,Man of the People,PAKKun
564010,Chief of Air Force,Indra Lal Roy,5,Air Superiority Doctrine,PAKInd
564038,Minister of Armament,Jehangir Ratanji Dadabhoy Tata,5,Vernacular Industrialiser,PAKTata
564016,Chief of Navy,John Talbot-Savignac-Hall,5,Indirect Approach Doctrine,PAKTal
564014,Chief of Air Force,Karun Krishna Majumdar,5,Vertical Envelopment Doctrine,PAKKar
