DEN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
16135,Chief of Air Force,Aksel Larsen,0,Air Superiority Doctrine,M16021
16046,Head of Government,Aksel Larsen,0,Backroom Backstabber,M16021
16070,Minister of Armament,Alfred Jensen,0,Tank Proponent,M16024
16097,Head of Military Intelligence,Eigil Larsen,0,Naval Intelligence Specialist,M16026
16056,Foreign Minister,Ib Norlund,0,Iron Fisted Brute,M16056
16126,Chief of Navy,Knud Jespersen,0,Power Projection Doctrine,M16086
16086,Minister of Security,Knud Jespersen,0,Man of the People,M16086
16159,Chief of Air Force,Andreas Fritzner,1,Vertical Envelopment Doctrine,KRFritzner
16158,Head of Military Intelligence,Asger Jorn,1,Dismal Enigma,KRJorn
16156,Chief of Staff,Christian Eli Christensen,1,School of Mass Combat,KREli
16153,Head of Government,Halfdan Rasmussen,1,Happy Amateur,KRHalfdan
16155,Minister of Security,Hans Scherfig,1,Man of the People,KRScherfig
16154,Foreign Minister,Martin Andersen Nexø,1,Ideological Crusader,KRNexo
16157,Minister of Armament,Poul Gissemann,1,Industrialiser,KRGissemand
16161,Chief of Navy,Richard Jensen,1,Base Control Doctrine,KRJensen
16160,Chief of Army,Thøger Thøgersen,1,Elastic Defence Doctrine,KRThøger
16055,Foreign Minister,Albert Olsen,2,General Staffer,M16023
16085,Minister of Security,Borge Houmann,2,Efficient Sociopath,M16025
16117,Chief of Army,Borge Thing,2,Elastic Defence Doctrine,M16028
16098,Head of Military Intelligence,Niels Bohr,2,Technical Specialist,M16071
16071,Minister of Armament,Niels Bohr,2,Theoretical Scientist,M16071
16107,Chief of Staff,Svend Wagner,2,School of Psychology,M16027
16004,Minister of Armament,Alsing Andersen,3,Laissez-Faire Capitalist,M16004
16146,Minister of Security,Alsing Andersen,3,Compassionate Gentleman,M16004
16110,Chief of Army,Christian X,3,Decisive Battle Doctrine,M16001
16088,Head of Military Intelligence,Ejnar Warum,3,Dismal Enigma,M16088
16008,Chief of Army,Erik With,3,Static Defence Doctrine,M16008
16144,Foreign Minister,Gustav Rasmussen,3,Biased Intellectual,M16053
16150,Foreign Minister,H.C. Hansen,3,Ideological Crusader,M16091
16091,Head of Military Intelligence,H.C. Hansen,3,Technical Specialist,M16091
16145,Minister of Armament,H.C. Hansen,3,Submarine Proponent,M16091
16100,Chief of Staff,Hans A. Rolsted,3,School of Mass Combat,M16100
16049,Foreign Minister,Hans Hedtoft,3,Great Compromiser,M16049
16143,Head of Government,Hans Hedtoft,3,Happy Amateur,M16049
16060,Minister of Armament,Hans Hedtoft,3,Resource Industrialist,M16049
16009,Chief of Navy,Hjalmar Rechnitzer,3,Indirect Approach Doctrine,M16009
16128,Chief of Air Force,Jens Otto Krag,3,Vertical Envelopment Doctrine,M16128
16151,Minister of Security,Johannes Kjerboll,3,Crime Fighter,M16151
16129,Chief of Air Force,Kaj Birksted,3,Air Superiority Doctrine,M16129
16005,Minister of Security,Karl Kristian Steincke,3,Silent Lawyer,M16005
16111,Chief of Army,Peter Christian Schou,3,Guns and Butter Doctrine,M16074
16002,Head of Government,Thorvald Stauning,3,Ambitious Union Boss,M16002
16072,Minister of Security,Thorvald Stauning,3,Crime Fighter,M16002
16062,Minister of Armament,Viggo Kampmann,3,Administrative Genius,M16062
16039,Head of Government,Vilhelm Buhl,3,Flamboyant Tough Guy,M16039
16059,Minister of Armament,Vilhelm Buhl,3,Battle Fleet Proponent,M16039
16102,Chief of Staff,Vilhelm La Cour,3,School of Psychology,M16102
16119,Chief of Navy,Aage H. Vedel,4,Open Seas Doctrine,M16119
16120,Chief of Navy,E.B. de Crèvecoeur,4,Power Projection Doctrine,M16120
16076,Minister of Security,Eigil Thune Jacobsen,4,Compassionate Gentleman,M16076
16006,Head of Military Intelligence,Erik Mertz,4,Logistics Specialist,M16006
16048,Foreign Minister,Erik Scavenius,4,Biased Intellectual,M16040
16040,Head of Government,Erik Scavenius,4,Silent Workhorse,M16040
16061,Minister of Armament,Gunnar Larsen,4,Administrative Genius,M16061
16090,Head of Military Intelligence,H.M. Lunding,4,Logistics Specialist,M16090
16089,Head of Military Intelligence,Halvor Peitersen,4,Political Specialist,M16089
16077,Minister of Security,J.C. Jorgensen,4,Man of the People,M16077
16017,Head of Government,Jorgen Jorgensen,4,Happy Amateur,kai_jorgjorg
16010,Chief of Air Force,K.W. Essemann,4,Army Aviation Doctrine,M16010
16087,Head of Military Intelligence,Laust Jensen Moltesen,4,Industrial Specialist,M16087
16051,Foreign Minister,Otto Carl Mohr,4,Ideological Crusader,M16051
16074,Minister of Security,Peter Christian Schou,4,Back Stabber,M16074
16003,Foreign Minister,Peter Munch,4,Apologetic Clerk,M16003
16015,Head of Government,Peter Munch,4,Silent Workhorse,kai_petrmunc
16109,Chief of Army,Wilhelm W. Prior,4,Elastic Defence Doctrine,M16007
16007,Chief of Staff,Wilhelm W. Prior,4,School of Defence,M16007
16101,Chief of Staff,William Nebendahl,4,School of Manoeuvre,M16101
16093,Head of Military Intelligence,Axel Linvald,5,Dismal Enigma,M16093
16121,Chief of Navy,Carl Hammerich,5,Decisive Naval Battle Doctrine,M16121
16067,Minister of Armament,Christen Nielsen Hauge,5,Laissez-Faire Capitalist,M16067
16079,Minister of Security,Didrik G. Nyholm,5,Compassionate Gentleman,M16079
16112,Chief of Army,Ebbe Gortz,5,Static Defence Doctrine,M16103
16103,Chief of Staff,Ebbe Gørtz,5,School of Psychology,M16103
16147,Head of Government,Erik Eriksen,5,Naive Optimist,M16147
16053,Foreign Minister,Gustav Rasmussen,5,The Cloak N Dagger Schemer,M16053
16065,Minister of Armament,Halfdan Henriksen,5,Air to Ground Proponent,M16065
16080,Minister of Security,Ivar Stamm,5,Crime Fighter,M16080
16043,Head of Government,Knud Kristensen,5,Political Protege,M16043
16064,Minister of Armament,Knud Kristensen,5,Infantry Proponent,M16043
16092,Head of Military Intelligence,Niels Frederiksen,5,Political Specialist,M16092
16131,Chief of Air Force,Svend Asbjørn Holten,5,Carpet Bombing Doctrine,M16081
16014,Head of Government,Thomas Madsen-Mygdal,5,Silent Workhorse,kia_thomad
16148,Minister of Armament,Thorkild Kristensen,5,Administrative Genius,M16148
16149,Minister of Security,Aksel Moller,6,Silent Lawyer,M16149
16013,Head of Government,Christmas Moller,6,Flamboyant Tough Guy,kai_christmol
16052,Foreign Minister,Christmas Møller,6,Biased Intellectual,M16041
16041,Head of Government,Christmas Møller,6,Happy Amateur,M16041
16011,Head of Military Intelligence,Harald Petersen,6,Political Specialist,M16078
16078,Minister of Security,Harald Petersen,6,Crime Fighter,M16078
16114,Chief of Army,Henrik Kauffmann,6,Guns and Butter Doctrine,M16114
16012,Chief of Staff,Henrik Kauffmann,6,School of Defence,M16114
16050,Foreign Minister,Ole Bjorn Kraft,6,Great Compromiser,M16042
16042,Head of Government,Ole Bjorn Kraft,6,Smiling Oilman,M16042
16066,Minister of Armament,Ole Bjorn Kraft,6,Resource Industrialist,M16042
16063,Minister of Armament,Soren Brorsen,6,Theoretical Scientist,M16063
16081,Minister of Security,Svend Asbjørn Holten,6,Prince of Terror,M16081
16016,Head of Government,Vilhelm Fibiger,6,Naive Optimist,kai_vilhfib
16116,Chief of Army,Arthur Dahl,7,Guns and Butter Doctrine,M16084
16084,Minister of Security,Arthur Dahl,7,Man of the People,M16084
16069,Minister of Armament,C.V. Bramsnæs,7,Laissez-Faire Capitalist,M16069
16134,Chief of Air Force,Fritz Clausen,7,Naval Aviation Doctrine,M16011
16096,Head of Military Intelligence,Georg Frederiksen,7,Industrial Specialist,M16096
16057,Foreign Minister,Henrik Hauch,7,Apologetic Clerk,M16057
16123,Chief of Navy,Hjalmar Rechnitzer,7,Indirect Approach Doctrine,M16009
16045,Head of Government,Otto Bovensiepen,7,Old General,M16045
16083,Minister of Security,Otto Bovensiepen,7,Prince of Terror,M16045
16124,Chief of Navy,Søren Brorsen,7,Open Seas Doctrine,M16063
