TRA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
523056,Chief of Navy,Nikolai Muralov,0,Open Seas Doctrine,kai_TRAnklmrlv
523053,Head of Government,Sergei Syrcov,0,Totalist Chairman,kai_TRAsrgsrc
523055,Chief of Staff,Mikhail Svechnikov,1,School of Mass Combat,kai_TRAmkhlschve
523057,Chief of Air Force,Terentiy Dmitreevich Deribas,1,Air Superiority Doctrine,kai_TRAtrntderdr
523032,Head of Military Intelligence,Aleksandr Ivanov,2,Industrial Specialist,M523032
523039,Chief of Army,Alesksandr Saburov,2,Elastic Defence Doctrine,M523039
523026,Minister of Security,Gennadij Smirnov,2,Compassionate Gentleman,M526026
523010,Chief of Air Force,Genneadij Abakumov,2,Army Aviation Doctrine,M523010
523006,Head of Military Intelligence,Grigorij Sokolnikov,2,Dismal Enigma,M523006
523003,Foreign Minister,Grigory Grinko,2,Great Compromiser,M523003
523007,Chief of Staff,Keldysh Nikitin,2,School of Defence,M523007
523020,Minister of Armament,Maksim Saburov,2,Theoretical Scientist,M523020
523004,Minister of Armament,Nikolay Bryukhanov,2,Infantry Proponent,M523004
523015,Foreign Minister,Nikolay Voznesensky,2,Biased Intellectual,M523015
523008,Chief of Army,Osip Fokine,2,Decisive Battle Doctrine,M523008
523009,Chief of Navy,Rurik Ertelkin,2,Decisive Naval Battle Doctrine,L502013
523054,Minister of Armament,Sergei Lukashin,2,Theoretical Scientist,kai_TRAsrglksh
523052,Head of Government,Valentin Trifonov,2,Ambitious Union Boss,kai_TRAvlttrf
523027,Minister of Security,Viktor Abakumov,2,Prince of Terror,M523027
523005,Minister of Security,Vselevod Merkulov,2,Back Stabber,M523005
523034,Head of Military Intelligence,Boris Galerkin,5,Dismal Enigma,M523034
523043,Chief of Navy,Ignatz Dmyrkin,5,Open Seas Doctrine,L504000
523013,Head of Government,Luka L. Bych,5,Silent Workhorse,TRA_Bych
523045,Chief of Air Force,Nikifor Gapon,5,Carpet Bombing Doctrine,M523045
523029,Minister of Security,Nikita Günther,5,Crime Fighter,M523029
523022,Minister of Armament,Nikita Krylov,5,Military Entrepreneur,M523022
523021,Minister of Armament,Nikolay Derzhavin,5,Air Superiority Proponent,M523021
523017,Foreign Minister,Sergei Bernstein,5,Iron Fisted Brute,M523017
523037,Chief of Staff,Vasili Chebykimov,5,School of Fire Support,M523037
523028,Minister of Security,Vladimir Shimkevich,5,Efficient Sociopath,M523028
523040,Chief of Army,Volya Borshevski,5,Armoured Spearhead Doctrine,Barshevski
523016,Foreign Minister,Vsevolod Tomashevsky,5,Apologetic Clerk,M523016
523033,Head of Military Intelligence,Yurtsev Smirnov,5,Technical Specialist,M523033
523042,Chief of Army,Aleksandr V. Golubintzev,7,Elastic Defence Doctrine,TRA_Golubintzev
523018,Foreign Minister,Alexander P. Filimonov,7,General Staffer,TRA_Filimonov
523025,Minister of Armament,Dimitri Grabbe-Nikitin,7,Infantry Proponent,M523025
523044,Chief of Navy,Dimitriy Sakarski,7,Indirect Approach Doctrine,M520034
523048,Head of Government,Gavriil of Don,7,Silent Workhorse,Gavriil
523030,Minister of Security,Grigoriy Y. Kislov,7,Crime Fighter,TRA_Kislov
523041,Chief of Army,Igor Kovlon,7,Static Defence Doctrine,M523041
523036,Head of Military Intelligence,Ivan A. Polyakov,7,Logistics Specialist,TRA_Polyakov
523014,Head of Government,Mikhail N. Grabbe,7,Respected War Hero,TRA_Grabbe
523046,Chief of Air Force,Nikolay A. Bukretov,7,Army Aviation Doctrine,TRA_Bukretov
523024,Minister of Armament,Pavel Vorony,7,Battle Fleet Proponent,M523024
523038,Chief of Staff,Pyotr K. Popov,7,School of Manoeuvre,TRA_Popov
523002,Head of Government,Pyotr N. Krasnov,7,Happy Amateur,Mrus krasnov
523031,Minister of Security,Shavrov Nikitin,7,Crime Fighter,M523031
523058,Chief of Navy,Under Army Command,7,Base Control Doctrine,TRA_Navy
523023,Minister of Armament,Vasiliy N. Ivanis,7,Military Entrepreneur,TRA_Ivanis
523019,Foreign Minister,Vladimir Orlov,7,Iron Fisted Brute,M523019
