EGY,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
512057,Minister of Armament,Abd el-Azim,3,Infantry Proponent,M512057
512085,Chief of Staff,Abdallah Ziwar Pasha,3,School of Manoeuvre,M512009
512026,Head of Government,Abdallah Ziwar Pasha,3,Old Admiral,M512009
512109,Chief of Air Force,Aga I Khan,3,Army Aviation Doctrine,M512077
512077,Head of Military Intelligence,Aga I Khan,3,Industrial Specialist,M512077
512058,Minister of Armament,Aga I Khan,3,Resource Industrialist,M512058
512070,Minister of Security,Ali Hilali Pasha,3,Crime Fighter,M512070
512042,Foreign Minister,Aly Chamsy Pasha,3,The Cloak N Dagger Schemer,M512042
512027,Head of Government,Aly Chamsy Pasha,3,Corporate Suit,M512027
512068,Minister of Security,Gaafaar Waly Pasha,3,Back Stabber,M512068
512118,Chief of Air Force,Gamal Abdel Nasser,3,Carpet Bombing Doctrine,L512001
512117,Chief of Army,Gamal Abdel Nasser,3,Armoured Spearhead Doctrine,L512001
512115,Minister of Security,Kamaleddin Hussein,3,Prince of Terror,M512115
512069,Minister of Security,Makran Ebeid Pasha,3,Man of the People,M512069
512056,Minister of Armament,Mohammed Fahmy al-Kaiss,3,Strategic Air Proponent,M512056
512116,Chief of Staff,Mohammed Naguib,3,School of Mass Combat,M512088
512113,Head of Government,Mohammed Naguib,3,Old General,M512088
512044,Foreign Minister,Mustafa an-Nahhas Pasha,3,General Staffer,M512005
512114,Minister of Armament,Noureddin Arraf,3,Theoretical Scientist,M512114
512110,Chief of Air Force,Solima Sami,3,Naval Aviation Doctrine,M512073
512102,Chief of Navy,Wahid Raafat,3,Power Projection Doctrine,M512078
512078,Head of Military Intelligence,Wahid Raafat,3,Technical Specialist,M512078
512093,Chief of Army,Wasef Boutros Ghali,3,Guns and Butter Doctrine,M512023
512043,Foreign Minister,Wasef Boutros Ghali,3,Great Compromiser,M512023
512054,Minister of Armament,Ali Hassouna Pasha,4,Infantry Proponent,M512054
512107,Chief of Air Force,Ali Mahir Pasha,4,Naval Aviation Doctrine,M512002
512041,Foreign Minister,Ali Mahir Pasha,4,The Cloak N Dagger Schemer,M512002
512025,Head of Government,Ali Mahir Pasha,4,Naive Optimist,M512025
512055,Minister of Armament,Ali Amir Pasha,4,Administrative Genius,M512055
512108,Chief of Air Force,Aly Chamsy Pasha,4,Carpet Bombing Doctrine,M512027
512075,Head of Military Intelligence,Aly Chamsy Pasha,4,Industrial Specialist,M512027
512100,Chief of Navy,Aly Hamid Pasha,4,Base Control Doctrine,M512072
512040,Foreign Minister,Elie Nessim Mosseri,4,Great Compromiser,M512040
512076,Head of Military Intelligence,George Cresswell,4,Dismal Enigma,M512076
512083,Chief of Staff,Mohammed Aflatan,4,School of Mass Combat,M512083
512067,Minister of Security,Mohammed Hilmi Issa,4,Man of the People,M512006
512066,Minister of Security,Mohammed Najib Pasha,4,Compassionate Gentleman,M512066
512053,Minister of Armament,Mohammed Salah al Din,4,Air to Sea Proponent,M512053
512091,Chief of Army,Mustafa Kamel,4,Decisive Battle Doctrine,M512087
512099,Chief of Navy,Pierre Lacau,4,Power Projection Doctrine,M512072
512065,Minister of Security,Salib Samir Pasha,4,Back Stabber,M512065
512023,Head of Government,Wasef Boutros Ghali,4,Political Protege,M512023
512035,Foreign Minister,Abdullah Nahawi,5,Biased Intellectual,M512035
512082,Chief of Staff,Abil Nashran,5,School of Manoeuvre,M512080
512039,Foreign Minister,Ahmed Lofti al Sayed,5,Biased Intellectual,M512039
512089,Chief of Army,Hassan Sirry Pasha,5,Elastic Defence Doctrine,M512019
512081,Chief of Staff,Hassan Sirry Pasha,5,School of Defence,M512019
512036,Foreign Minister,Hassan Sirry Pasha,5,Great Compromiser,M512019
512019,Head of Government,Hassan Sirry Pasha,5,Political Protege,M512019
512021,Head of Government,Ismail Sidqi Pasha,5,Naive Optimist,M512021
512062,Minister of Security,Kamel Nabih Pasha,5,Man of the People,M512062
512037,Foreign Minister,Mahmoud an Nukraishi Pasha,5,Apologetic Clerk,M512016
512020,Head of Government,Mahmoud an Nukraishi Pasha,5,Silent Workhorse,M512016
512105,Chief of Air Force,Mohammed Nasheed,5,Army Aviation Doctrine,M512105
512017,Head of Government,Muhammad Mahmoud Pasha,5,Happy Amateur,M512017
512064,Minister of Security,Romarcos Hanna Pasha,5,Crime Fighter,M512064
512063,Minister of Security,Safiya Zaghloul,5,Man of the People,EGY_Safiya Zaghloul
512052,Minister of Armament,Salib Sami Bey,5,Tank Proponent,M512031
512073,Head of Military Intelligence,Solima Sami,5,Naval Intelligence Specialist,M512073
512050,Minister of Armament,Taalat Harb,5,Administrative Genius,M512050
512097,Chief of Navy,Talal al-Quros,5,Indirect Approach Doctrine,M512051
512051,Minister of Armament,Talal al-Quros,5,Air to Ground Proponent,M512051
512049,Minister of Armament,Wahid Ghaylam Pasha,5,Laissez-Faire Capitalist,M512049
512009,Chief of Navy,Abdallah Ziwar Pasha,6,Indirect Approach Doctrine,M512009
512038,Foreign Minister,Abdel Hamid Badawi Pasha,6,The Cloak N Dagger Schemer,M512022
512121,Minister of Armament,Abdel Hamid Badawi Pasha,6,Bank President,M512022
512022,Minister of Security,Abdel Hamid Badawi Pasha,6,Crime Fighter,M512022
512103,Chief of Air Force,Abdel Hamid Soliman,6,Air Superiority Doctrine,M512048
512079,Chief of Staff,Abdel Hamid Soliman,6,School of Psychology,M512048
512048,Minister of Armament,Abdel Hamid Soliman,6,Laissez-Faire Capitalist,M512048
512029,Foreign Minister,Abdelfattah Yahya Pasha,6,Apologetic Clerk,M512029
