ETH,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
65122,Head of Military Intelligence,Maxamed Siyaad Barre,1,Dismal Enigma,ETH_siad_barre
65121,Minister of Security,Maxamed Siyaad Barre,1,Prince of Terror,ETH_siad_barre
65125,Head of Government,Alemework Beyene,2,Silent Workhorse,ETH_alemework_beyene
65120,Foreign Minister,Ali Djamah,2,Ideological Crusader,ETH_ali_djamah
65175,Chief of Air Force,Farah Ali Omar,2,Carpet Bombing Doctrine,Omar
65164,Minister of Armament,Farah Ali Omar,2,Strategic Air Proponent,Omar
65117,Chief of Army,Geresu Dukki,2,Elastic Defence Doctrine,ETH_geresu_dukki
65116,Chief of Staff,Geresu Dukki,2,School of Manoeuvre,ETH_geresu_dukki
65163,Foreign Minister,Germame Neway,2,Iron Fisted Brute,Neway
65169,Minister of Security,Germame Neway,2,Back Stabber,Neway
65127,Foreign Minister,Hamid Idris Awate,2,General Staffer,ETH_idris_awate
65126,Head of Government,Hamid Idris Awate,2,Ambitious Union Boss,ETH_idris_awate
65162,Head of Government,Ibrahim Sultan Ali,2,Ambitious Union Boss,Ali
65170,Head of Military Intelligence,Mahmud Omar Ibrahim,2,Industrial Specialist,Ibrahim
65165,Minister of Armament,Mahmud Omar Ibrahim,2,Resource Industrialist,Ibrahim
65168,Minister of Security,Mahmud Omar Ibrahim,2,Man of the People,Ibrahim
65172,Chief of Army,Mengistu Neway,2,Static Defence Doctrine,Neway1
65171,Chief of Staff,Mengistu Neway,2,School of Defence,Neway1
65115,Chief of Army,Tadesse Birru,2,Decisive Battle Doctrine,ETH_tadesse_birru
65114,Chief of Staff,Tadesse Birru,2,School of Fire Support,ETH_tadesse_birru
65174,Chief of Navy,Tafari Benti,2,Decisive Naval Battle Doctrine,Benti
65166,Minister of Armament,Tafari Benti,2,Battle Fleet Proponent,Benti
65173,Chief of Navy,Yilma Deressa,2,Indirect Approach Doctrine,Deressa
65167,Minister of Armament,Yilma Deressa,2,Submarine Proponent,Deressa
