MAN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
58060,Head of Military Intelligence,Kang Sheng,1,Dismal Enigma,kai_kngshng
58061,Minister of Security,Kang Sheng,1,Efficient Sociopath,kai_kngshng
58072,Minister of Armament,Zhao Shangzhi,2,Military Entrepreneur,kai_zhaoshanxi
58062,Chief of Army,Zhou Baozhong,2,Elastic Defence Doctrine,kai_zhoubaozh
58063,Chief of Staff,Zhou Baozhong,2,School of Defence,kai_zhoubaozh
58071,Head of Government,Chen Duxiu,3,Flamboyant Tough Guy,kai_chenduxiu
58073,Head of Military Intelligence,Lu Zhengcao,3,Logistics Specialist,kai_luzhegcao
58066,Head of Government,Gao Yihan,5,Silent Workhorse,Kai_gaoyinh
58067,Foreign Minister,Gao Yihan,5,Biased Intellectual,Kai_gaoyinh
58031,Head of Military Intelligence,Chang Su-lee,7,Industrial Specialist,M58048
58084,Chief of Air Force,Gao Zhihang,7,Air Superiority Doctrine,Gao
58074,Chief of Staff,Hsiung Pin,7,School of Defence,Hsiung Pin
58075,Minister of Security,Hsiung Pin,7,Crime Fighter,Hsiung Pin
58057,Head of Government,Konstantin Rodzaevsky,7,old general,ManRodzaevsky
58003,Foreign Minister,Liu Han,7,The Cloak N Dagger Schemer,Kaiserreich Liu Han
58020,Minister of Armament,Lo Tsang-yin,7,Administrative Genius,M58034
58042,Chief of Air Force,Loh Tcheng,7,Naval Aviation Doctrine,M58019
58076,Chief of Staff,Lu Zhonglin,7,School of Fire Support,Lu Zhonglin
58077,Chief of Army,Lu Zhonglin,7,Elastic Defence Doctrine,Lu Zhonglin
58083,Chief of Navy,Shen Honglie,7,Open Seas Doctrine,MANShen Honglie
58082,Chief of Army,Wu Kuang-hsin,7,Guns and Butter Doctrine,L153001
58029,Head of Military Intelligence,Amleto Vespa,8,Dismal Enigma,Kaiserreich Amleto Vespa
58004,Minister of Armament,Chang Ching-hui,8,Military Entrepreneur,M58002
58006,Head of Military Intelligence,Daisaku Koumoto,8,Political Specialist,Kaiserreich Daisaku Koumoto
58005,Minister of Security,Feng Yuxiang,8,Back Stabber,kaiserreich Feng Yuhsiang
58016,Head of Government,Feng Yuxiang,8,Backroom Backstabber,kaiserreich Feng Yuhsiang
58036,Chief of Army,Feng Yuxiang,8,Static Defence Doctrine,kaiserreich Feng Yuhsiang
58051,Chief of Air Force,Isono Yuzo,8,Air Superiority Doctrine,M58068
58049,Chief of Army,Kawashima Yoshiko,8,Guns and Butter Doctrine,M58006
58019,Foreign Minister,Li Hong Yu,8,Biased Intellectual,Kaiserreich Li Hong Yu
58079,Foreign Minister,Li Shaogeng,8,Apologetic Clerk,Li Shaogeng
58018,Foreign Minister,Li Shao-keng,8,Iron Fisted Brute,M58004
58026,Minister of Security,Li Zhaolin,8,Efficient Sociopath,Kaiserreich Li Zhaolin
58021,Minister of Armament,Liou Tcheng-fou,8,Battle Fleet Proponent,M58014
58039,Chief of Navy,Liou Tcheng-fou,8,Open Seas Doctrine,M58014
58022,Minister of Armament,Liu Feng Shih,8,Laissez-Faire Capitalist,Kaiserreich Liu Feng Shih
58081,Foreign Minister,Lu Ronghuan,8,Iron Fisted Brute,Lu Ronghuan
58080,Foreign Minister,Lv I Wen,8,Great Compromiser,Lv I Wen
58037,Chief of Army,Ma Zhanshan,8,Elastic Defence Doctrine,Kaiserreich Ma Zhanshan
58041,Chief of Air Force,Ma Zhanshan,8,Vertical Envelopment Doctrine,Kaiserreich Ma Zhanshan
58078,Foreign Minister,Shen Jui-lin,8,Apologetic Clerk,Shen Juilin
58027,Minister of Security,Soume Tcheng,8,Crime Fighter,M58036
58025,Minister of Security,Tang Juwu,8,Man of the People,Kaiserreich Tang Juwu
58038,Chief of Army,Tang Juwu,8,Decisive Battle Doctrine,Kaiserreich Tang Juwu
58024,Minister of Armament,Tang Yulin,8,Corrupt Kleptocrat,Kaiserreich Tang Yulin
58028,Minister of Security,Tang Yulin,8,Crooked Kleptocrat,Kaiserreich Tang Yulin
58030,Head of Military Intelligence,Tang Yulin,8,Logistics Specialist,Kaiserreich Tang Yulin
58007,Chief of Staff,Wu Junsheng,8,School of Mass Combat,Kaiserreich Wu Junsheng
58002,Head of Government,Yan Xishan,8,Old General,L50348
58009,Chief of Navy,Yin Tsuo-chien,8,Base Control Doctrine,M58062
58010,Chief of Air Force,Zhang Xueliang,8,Army Aviation Doctrine,Kaiserreich Zhang Xueliang
58014,Head of Government,Zhang Xueliang,8,Flamboyant Tough Guy,Kaiserreich Zhang Xueliang
58023,Minister of Armament,Zhang Xueliang,8,air to ground proponent,Kaiserreich Zhang Xueliang
58034,Chief of Staff,Zhang Xueliang,8,School of Psychology,Kaiserreich Zhang Xueliang
58008,Chief of Army,Zhang Zongchang,8,Elastic Defence Doctrine,Kaiserreich Zhang Zongchang
58015,Head of Government,Zhang Zongchang,8,Silent Workhorse,Kaiserreich Zhang Zongchang
58033,Chief of Staff,Zhang Zongchang,8,School of Defence,Kaiserreich Zhang Zongchang
58017,Head of Government,Zhang Zuolin,8,Old General,Zhang Zuolin
58032,Chief of Staff,Zhang Zuolin,8,School of Fire Support,Zhang Zuolin
58046,Minister of Security,Hayashi Gonsuke,9,Crime Fighter,M58038
58044,Foreign Minister,Nagai Matsuzo,9,Ideological Crusader,M58024
58048,Chief of Staff,Nakajima Kesago,9,School of Defence,M58051
58043,Head of Government,Nitobe Inazo,9,old airmarshal,M58018
58050,Chief of Navy,Oka Keijun,9,Indirect Approach Doctrine,M58063
58047,Head of Military Intelligence,Saito Hiroshi,9,Logistics Specialist,M58044
58045,Minister of Armament,Tsushima Juichi,9,laissez-faire capitalist,M58030
