U08,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
551733,Chief of Army,André Marty,0,Guns and Butter Doctrine,M2018
551741,Chief of Navy,André Marty,0,Indirect Approach Doctrine,M2018
551675,Minister of Armament,Auguste Lecoeur,0,Military Entrepreneur,M2095
551674,Minister of Armament,Benoit Frachon,0,Battle Fleet Proponent,M2094
551752,Chief of Air Force,Charles Tillon,0,Army Aviation Doctrine,M2180
551742,Chief of Navy,Charles Tillon,0,Base Control Doctrine,M2180
551698,Minister of Security,Claudine Chomat,0,Efficient Sociopath,M2118
551676,Minister of Armament,Daniel Renoult,0,Theoretical Scientist,M2096
551671,Minister of Armament,George Lévy,0,Administrative Genius,M2014
551720,Head of Military Intelligence,Gustave Guéhenneux,0,Technical Specialist,M2141
551719,Head of Military Intelligence,Henri Gourdeaux,0,Logistics Specialist,M2119
551699,Minister of Security,Henri Gourdeaux,0,Silent Lawyer,M2119
551646,Foreign Minister,Jacques Duclos,0,Ideological Crusader,M2012
551626,Head of Government,Jacques Duclos,0,Backroom Backstabber,M2012
551673,Minister of Armament,Jean Jerome,0,laissez-faire capitalist,M2093
551718,Head of Military Intelligence,Jean-Marie Clamamus,0,Industrial Specialist,M2120
551700,Minister of Security,Jean-Marie Clamamus,0,Man of the People,M2120
551645,Foreign Minister,Laurent Casenove,0,Great Compromiser,M2064
551672,Minister of Armament,Laurent Casenove,0,Theoretical Scientist,M2064
551697,Minister of Security,Lucien Micol,0,Crime Fighter,M2015
551728,Chief of Staff,Marcel Cachin,0,School of Fire Support,M2017
551643,Foreign Minister,Marcel Cachin,0,Biased Intellectual,M2017
551627,Head of Government,Marcel Cachin,0,Silent Workhorse,M2017
551751,Chief of Air Force,Marcel Gitton,0,Air Superiority Doctrine,M2020
551644,Foreign Minister,Marcel Gitton,0,Apologetic Clerk,M2020
551701,Minister of Security,Maurice Thorez,0,Prince of Terror,M2011
551734,Chief of Army,Pierre Fabien,0,Decisive Battle Doctrine,M2167
551717,Head of Military Intelligence,Waldeck Rochet,0,Dismal Enigma,M2016
551680,Minister of Security,Adrien Tixier,3,Compassionate Gentleman,M2100
551683,Minister of Security,Albert Lebrun,3,Silent Lawyer,M2001
551706,Head of Military Intelligence,André Le Troquer,3,Dismal Enigma,M2072
551652,Minister of Armament,André Le Troquer,3,Resource Industrialist,M2072
551779,Minister of Security,Charles Brune,3,Silent Lawyer,M2229
551705,Head of Military Intelligence,Daniel Mayer,3,Logistics Specialist,M2023
551768,Head of Government,Edgar Faure,3,Backroom Backstabber,M2219
551783,Head of Military Intelligence,Edgar Faure,3,Dismal Enigma,M2219
551635,Foreign Minister,Edouard Daladier,3,Great Compromiser,M2037
551619,Head of Government,Edouard Daladier,3,Naive Optimist,M2037
551648,Minister of Armament,Edouard Daladier,3,laissez-faire capitalist,M2037
551616,Head of Government,Felix Gouin,3,Smiling Oilman,M2034
551704,Head of Military Intelligence,Felix Gouin,3,Technical Specialist,M2034
551651,Minister of Armament,Guy Mollet,3,Theoretical Scientist,M2071
551681,Minister of Security,Henri Bonnet,3,Back Stabber,M2101
551737,Chief of Navy,Jean Gout,3,Power Projection Doctrine,M2171
551649,Minister of Armament,Jean Louis Barthou,3,Military Entrepreneur,M2069
551736,Chief of Navy,Joseph Paul Boncour,3,Base Control Doctrine,M2170
551630,Foreign Minister,Joseph Paul Boncour,3,Ideological Crusader,M2049
551776,Minister of Armament,Jules Moch,3,Battle Fleet Proponent,M2104
551679,Minister of Security,Julien Luchaire,3,Efficient Sociopath,M2099
551632,Foreign Minister,Léon Blum,3,Apologetic Clerk,M2033
551615,Head of Government,Léon Blum,3,Naive Optimist,M2033
551650,Minister of Armament,Leon Jouhaux,3,Strategic Air Proponent,M2070
551729,Chief of Army,Leon Victor Bourgeois,3,Guns and Butter Doctrine,M2157
551744,Chief of Air Force,Marcel Deat,3,Air Superiority Doctrine,M2183
551617,Head of Government,Paul Ramadier,3,Ambitious Union Boss,M2035
551682,Minister of Security,Paul Ramadier,3,Crime Fighter,M2035
551678,Minister of Security,Pierre Auguste Chardigny,3,Prince of Terror,M2098
551631,Foreign Minister,Pierre Comert,3,The Cloak N Dagger Schemer,M2050
551745,Chief of Air Force,Pierre Cot,3,Army Aviation Doctrine,M2184
551703,Head of Military Intelligence,Roger Salengro,3,Industrial Specialist,M2123
551709,Head of Military Intelligence,Aimé Lepercq,4,Industrial Specialist,M2130
551601,Head of Government,Albert Sarraut,4,Happy Amateur,M2002
551655,Minister of Armament,Albert Sarraut,4,laissez-faire capitalist,M2002
551686,Minister of Security,Arthur Fontaine,4,Efficient Sociopath,M2106
551618,Head of Government,Camille Chautemps,4,Silent Workhorse,M2036
551634,Foreign Minister,Georges Bonnet,4,Iron Fisted Brute,M2053
551658,Minister of Armament,Georges Bonnet,4,Resource Industrialist,M2053
551795,Head of Government,Georges Clemenceau,4,The Tiger,2600
551747,Chief of Air Force,Guy La Chambre,4,Vertical Envelopment Doctrine,M2188
551687,Minister of Security,Henri Roy,4,Man of the People,M2107
551689,Minister of Security,Jean Maillet,4,Back Stabber,M2109
551605,Head of Military Intelligence,Joseph Paganon,4,Political Specialist,M2006
551746,Chief of Air Force,Joseph Vuillemin,4,Air Superiority Doctrine,M2187
551684,Minister of Security,Jules Moch,4,Man of the People,M2104
551654,Minister of Armament,Louis Loucheur,4,Air to Ground Proponent,M2074
551759,Head of Government,Louis-Georges Mandel,4,Backroom Backstabber,M2108
551688,Minister of Security,Louis-Georges Mandel,4,Crime Fighter,M2108
551656,Minister of Armament,Marcel Hoden,4,Air Superiority Proponent,M2076
551604,Minister of Security,Marx Dormoy,4,Compassionate Gentleman,M2005
551708,Head of Military Intelligence,Maurice Delage,4,Technical Specialist,M2129
551607,Chief of Army,Maurice Gamelin,4,Static Defence Doctrine,M2007
551606,Chief of Staff,Maurice Gamelin,4,School of Fire Support,M2007
551775,Minister of Armament,Paul Ramadier,4,Resource Industrialist,M2035
551731,Chief of Army,Pierre Auguste Chardigny,4,Elastic Defence Doctrine,M2098
551602,Foreign Minister,Pierre Etienne Flandin,4,Ideological Crusader,M2003
551685,Minister of Security,Pierre Pené,4,Silent Lawyer,M2105
551653,Minister of Armament,Raoul Dautry,4,Theoretical Scientist,M2073
551770,Head of Government,René Mayer,4,Naive Optimist,M2221
551782,Head of Military Intelligence,René Mayer,4,Logistics Specialist,M2221
551774,Minister of Armament,René Mayer,4,Tank Proponent,M2221
551753,Head of Government,Robert Schumann,4,Corporate Suit,M2088
551609,Chief of Air Force,Victor Denain,4,Carpet Bombing Doctrine,M2010
551603,Minister of Armament,Vincent Auriol,4,Administrative Genius,M2004
551633,Foreign Minister,Yvon Delbos,4,Biased Intellectual,M2048
551760,Minister of Security,Yvon Delbos,4,Silent Lawyer,M2048
551712,Head of Military Intelligence,André Marie,5,Technical Specialist,M2041
