GLD,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
551061,Head of Military Intelligence,Boleslaw Drobner,2,Industrial Specialist,kaiserreich drobner
551040,Minister of Armament,Boleslaw Drobner,2,Corrupt Kleptocrat,kaiserreich drobner
551070,Chief of Army,Michal Rola-Zymierski,2,Armoured Spearhead Doctrine,M13122
551065,Chief of Staff,Michal Rola-Zymierski,2,School of Mass Combat,M13122
551043,Minister of Armament,Michal Rola-Zymierski,2,Tank Proponent,M13122
551030,Foreign Minister,Adam Prochnik,3,iron fisted brute,M13070
551067,Chief of Staff,Herman Lieberman,3,School of Psychology,M13027
551080,Minister of Security,Herman Lieberman,3,Compassionate Gentleman,M13027
551045,Minister of Armament,Herman Liebermann,3,Infantry Proponent,M13027
551031,Foreign Minister,Ignacy Daszynski,3,Great Compromiser,kaiserreich daszynski
551022,Head of Government,Ignacy Daszynski,3,Ambitious Union Boss,kaiserreich daszynski
551024,Head of Government,Jedrzej Moraczewski,3,Naive Optimist,kaiserreich moraczewski
551054,Minister of Security,Jedrzej Moraczewski,3,Compassionate Gentleman,kaiserreich moraczewski
551077,Chief of Navy,Tadeusz Morgenstern-Podjazd,3,Open Seas Doctrine,kaiserreich tmorgensternpodjazd
551056,Minister of Security,Zygmunt Zulawski,3,Efficient Sociopath,kaiserreich zzulawski
551051,Minister of Security,Jakub Bojko,4,Man of the People,kaiserreich bojko
551020,Head of Government,Jan Stapinski,4,Flamboyant Tough Guy,Kaiserreich Stapinski
551050,Minister of Security,Jan Stapinski,4,Efficient Sociopath,kaiserreich Stapinski
551044,Minister of Armament,Kazimierz Bartel,4,Infantry Proponent,M13105
551053,Minister of Security,Maciej Rataj,4,Silent Lawyer,rataj
551023,Head of Government,Wincenty Witos,4,Ambitious Union Boss,Witos
551079,Minister of Security,Wincenty Witos,4,Silent Lawyer,Witos
551033,Foreign Minister,Wladyslaw Kiernik,4,Apologetic Clerk,kaiserreich kiernik
551035,Foreign Minister,Edward Raczynski,6,Great Compromiser,M13059
551032,Foreign Minister,Fryderyk Zoll,6,Biased Intellectual,kaiserreich fzoll
551060,Head of Military Intelligence,Henryk Sucharski,6,Dismal Enigma,kaiserreich sucharski
551078,Foreign Minister,Julian Ignacy Nowak,6,Great Compromiser,Kaiserreich julian nowak
551021,Head of Government,Julian Ignacy Nowak,6,Naive Optimist,Kaiserreich julian nowak
551055,Minister of Security,Kazimierz Kumaniecki,6,Silent Lawyer,kaiserriech kkumaniecki
551057,Minister of Security,Metropolitan Andrey Sheptytsky,6,Man of the People,kaiserreich asheptytsky
551052,Minister of Security,Michal Rostworowski,6,Crime Fighter,kaiserreich mrostoworowski
551004,Minister of Armament,Adam Krzyzanowski,7,laissez-faire capitalist,kaiserreich akrzyzankowski
551007,Chief of Staff,Aleksander Litwinowicz,7,School of Psychology,kaiserreich alitwinowicz
551002,Head of Government,Alfred Potocki,7,Political Protege,kaiserreich apotocki
551042,Minister of Armament,Eugeniusz Kwiatkowski,7,Administrative Genius,M13052
551005,Minister of Security,Franciszek Salezy Potocki,7,Man of the People,kaiserreich fpotocki
551025,Head of Government,Hieronim Tarnowski,7,Happy Amateur,kaiserreich htarnowski
551034,Foreign Minister,Jerzy Potocki,7,Biased Intellectual,kaiserreich jpotocki
551009,Chief of Navy,Karol Trzasko-Durski,7,Decisive Naval Battle Doctrine,kaiserreich ktrzaskodurski
551071,Chief of Army,Kazimierz Switalski,7,Decisive Battle Doctrine,M13102
551066,Chief of Staff,Kazimierz Switalski,7,School of Manoeuvre,M13102
551003,Foreign Minister,Maurycy Zamoyski,7,Biased Intellectual,kaiserreich M_zamoyski
551084,Head of Government,Vasily Vavrik,7,Flamboyant Tough Guy,GldVavrik
551076,Chief of Air Force,Wladyslaw Kalkus,7,Air Superiority Doctrine,M13136
551008,Chief of Army,Jozef Haller von Hallenburg,8,Guns and Butter Doctrine,hallenburg
551006,Head of Military Intelligence,Ottokar Brzoza-Brzezina,8,Logistics Specialist,kaiserreich ottokar brzoza-brzezina
