U07,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
557559,Head of Government,David Lloyd George,4,Flamboyant Tough Guy,2467
557440,Foreign Minister,E. H. Carr,4,Biased Intellectual,kaiserreich_UK_E_H_Carr
557489,Minister of Security,H. G. Wells,4,Man of the People,kaiserreich_UK_H_G_Wells
557490,Minister of Security,Hewlett Johnson,4,Compassionate Gentleman,kaiserreich_UK_Hewlett_Johnson
557439,Foreign Minister,J. B. Priestley,4,Ideological Crusader,kaiserreich_UK_J_B_Priestley
557474,Minister of Armament,Patrick Shaw-Stewart,4,Military Entrepreneur,
557475,Minister of Armament,R. H. Tawney,4,Military Entrepreneur,kaiserreich_UK_R_H_Tawney
557421,Head of Government,Richard Acland,4,Happy Amateur,kaiserreich_UK_Richard_Acland
557507,Head of Military Intelligence,Victor Rothschild,4,Political Specialist,kaiserreich_UK_Victor_Rothschild
557517,Chief of Staff,Alan Brooke,5,School of Mass Combat,M1120
557460,Minister of Armament,Alfred Duff Cooper,5,Battle Fleet Proponent,M1178
557457,Minister of Armament,Andrew Duncan,5,Resource Industrialist,M1175
557435,Foreign Minister,Anthony Eden,5,Ideological Crusader,M1003
557551,Chief of Air Force,Arthur Tedder,5,Army Aviation Doctrine,M1148
557486,Minister of Security,Austen Chamberlain,5,Efficient Sociopath,M1082
557498,Minister of Security,Brendan Bracken,5,Silent Lawyer,M1087
557493,Minister of Security,David Maxwell Fyfe,5,Compassionate Gentleman,M1085
557497,Minister of Security,Donald Bradley Somervell,5,Crime Fighter,M1086
557454,Minister of Armament,Ernest Simon,5,Resource Industrialist,kaiserreich_UK_Ernest_Simon
557505,Head of Military Intelligence,George Lambert,5,Dismal Enigma,
557402,Foreign Minister,Halford Mackinder,5,Biased Intellectual,kaiserreich_UK_Halford_Mackinder
557401,Head of Government,Harold Nicolson,5,Political Protege,kaiserreich_UK_Harold_Nicolson
557462,Minister of Armament,Henry Margesson,5,Resource Industrialist,M1180
557418,Head of Government,Herbert Samuel,5,Naive Optimist,kaiserreich_UK_Herbert_Samuel
557466,Minister of Armament,Hibbert Cross,5,laissez-faire capitalist,M1177
557453,Minister of Armament,Isaac Foot,5,Laissez-Faire Capitalist,kaiserreich_UK_Isaac_Foot
557484,Minister of Security,Ivor Brown,5,Compassionate Gentleman,kaiserreich_UK_Ivor_Brown
557485,Minister of Security,J. L. Hammond,5,Silent Lawyer,
557465,Minister of Armament,John Anderson,5,laissez-faire capitalist,M1061
557492,Minister of Security,John Anderson,5,Compassionate Gentleman,M1061
557519,Chief of Staff,John Dill,5,School of Fire Support,M1119
557469,Minister of Armament,John Moore-Brabazon,5,Air Superiority Proponent,M1176
557404,Minister of Security,John Reith,5,Silent Lawyer,kaiserreich_UK_John_Reith
557434,Foreign Minister,John Selwyn Lloyd,5,Biased Intellectual,M1046
557463,Minister of Armament,John Simon,5,Resource Industrialist,M1005
557488,Minister of Security,John Simon,5,Crime Fighter,M1005
557527,Chief of Army,John Vereker,5,Armoured Spearhead Doctrine,M1117
557518,Chief of Staff,John Vereker,5,School of Manoeuvre,M1117
557455,Minister of Armament,Joseph Kenworthy,5,Battle Fleet Proponent,
557510,Head of Military Intelligence,Kim Philby,5,Technical Specialist,M1105
557473,Minister of Armament,Kingsley Wood,5,Resource Industrialist,M1062
557403,Minister of Armament,Lionel Robbins,5,Laissez-Faire Capitalist,kaiserreich_UK_Lionel_Robbins
557530,Chief of Army,Miles Dempsey,5,Armoured Spearhead Doctrine,L1099
557461,Minister of Armament,Oliver Stanley,5,Military Entrepreneur,M1179
557545,Chief of Air Force,Owen Boyd,5,Air Superiority Doctrine,M1010
557471,Minister of Armament,Percy Grigg,5,laissez-faire capitalist,M1181
557472,Minister of Armament,Robert Butler,5,Theoretical Scientist,M1064
557508,Head of Military Intelligence,Robert Cecil,5,Industrial Specialist,M1102
557504,Head of Military Intelligence,Ronald McCallum,5,Political Specialist,kaiserreich_UK_Robert_McCallum
557436,Foreign Minister,Samuel Hoare,5,Apologetic Clerk,M1083
557491,Minister of Security,Samuel Hoare,5,Man of the People,M1083
557528,Chief of Army,Sir John Dill,5,Elastic Defence Doctrine,M1119
557506,Head of Military Intelligence,Sir Robert Menzies,5,Dismal Enigma,M1103
557419,Head of Government,Stanley Baldwin,5,Backroom Backstabber,M1002
557487,Minister of Security,Stanley Baldwin,5,Man of the People,M1002
557456,Minister of Armament,Thomas Inskip,5,Air Superiority Proponent,M1174
557437,Foreign Minister,Violet Bonham Carter,5,Ideological Crusader,kaiserreich_UK_Violet_Bonham_Carter
557438,Foreign Minister,Walter Runciman,5,Apologetic Clerk,kaiserreich_UK_Walter_Runciman
557433,Foreign Minister,William Crozier,5,iron fisted brute,
557432,Foreign Minister,Adrian Carton de Wiart,6,General Staffer,L1068
557546,Chief of Air Force,Arthur Longmore,6,Army Aviation Doctrine,L1457
557529,Chief of Army,Charles Norrie,6,Armoured Spearhead Doctrine,L1223
557542,Chief of Air Force,Charles Portal,6,Carpet Bombing Doctrine,M1147
557526,Chief of Army,Claude Auchinleck,6,Elastic Defence Doctrine,L1014
557515,Chief of Staff,Claude Auchinleck,6,School of Fire Support,L1014
557483,Minister of Security,Desmond Morton,6,Prince of Terror,kaiserreich_UK_Desmond_Morton
557535,Chief of Navy,Dudley Pound,6,Open Seas Doctrine,M1140
557481,Minister of Security,Duke of Devonshire,6,Prince of Terror,kaiserreich_UK_Duke_of_Devonshire
557525,Chief of Army,Edmund Ironside,6,Static Defence Doctrine,M1118
557514,Chief of Staff,Edmund Ironside,6,School of Defence,M1118
557533,Chief of Navy,Ernle Chatfield,6,Decisive Naval Battle Doctrine,M1009
557543,Chief of Air Force,Frederick Bowhill,6,Naval Aviation Doctrine,L1417
557450,Minister of Armament,George Lane-Fox,6,Resource Industrialist,kaiserreich_UK_George_Lane_Fox
557524,Chief of Army,H. M. Wilson,6,Guns and Butter Doctrine,L1315
557523,Chief of Army,Harold Alexander,6,Decisive Battle Doctrine,L1006
557516,Chief of Staff,Harold Alexander,6,School of Psychology,L1006
557544,Chief of Air Force,Hugh Trenchard,6,Carpet Bombing Doctrine,L1483
557405,Head of Military Intelligence,Hugh Trevor-Roper,6,Dismal Enigma,kaiserreich_UK_Hugh_Trevor-Roper
557503,Head of Military Intelligence,J. C. C. Davidson,6,Political Specialist,kaiserreich_UK_J_C_C_Davidson
557431,Foreign Minister,John Colville,6,Apologetic Clerk,kaijohncolville
557449,Minister of Armament,John Siddeley,6,Tank Proponent,kaiserreich_UK_John_Siddeley
557417,Head of Government,Lord Beaverbrook,6,Corporate Suit,M1063
557408,Chief of Navy,Lord Mountbatten,6,Indirect Approach Doctrine,L1230
557416,Head of Government,Lord Mountbatten,6,Old Admiral,L1230
557429,Foreign Minister,Mark Sykes,6,Great Compromiser,kaiserreich_UK_Mark_Sykes
557482,Minister of Security,Martin Lindsay,6,Crime Fighter,
557452,Minister of Armament,Montagu Norman,6,Laissez-Faire Capitalist,kaiserreich_UK_Montagu_Norman
557520,Chief of Staff,Orde Wingate,6,School of Mass Combat,L1239
557451,Minister of Armament,Philip Lloyd-Greame,6,Air Superiority Proponent,kaiserreich_UK_Philip_Lloyd_Greame
557539,Chief of Navy,Philip Vian,6,Power Projection Doctrine,L1399
557409,Chief of Air Force,Prince George,6,Air Superiority Doctrine,kaiserreich_UK_Prince_George
557407,Chief of Army,Prince Henry,6,Static Defence Doctrine,kaiserreich_UK_Prince_Henry
557406,Chief of Staff,Prince Henry,6,School of Defence,kaiserreich_UK_Prince_Henry
557499,Minister of Security,Randolph Churchill,6,Man of the People,Randolph Churchill
557430,Foreign Minister,Robert Boothby,6,Ideological Crusader,kairobbooty
557534,Chief of Navy,Roger Backhouse,6,Decisive Naval Battle Doctrine,M1137
557536,Chief of Navy,Roger Keyes,6,Power Projection Doctrine,kaiserreich_UK_Roger_Keyes
557538,Chief of Navy,Tom Philips,6,Decisive Naval Battle Doctrine,L1379
557550,Chief of Air Force,Trafford Leigh-Mallory,6,Air Superiority Doctrine,L1456
557464,Minister of Armament,Alliott Vernon-Roe,7,Air to Ground Proponent,M1069
557480,Minister of Security,Archibald Ramsay,7,Prince of Terror,M1054
557494,Minister of Security,Arthur Chesterton,7,Back Stabber,M1092
557426,Foreign Minister,Arthur Wellesley,7,Great Compromiser,M1050
557532,Chief of Navy,Barry E. Domvile,7,Power Projection Doctrine,M1019
557513,Chief of Staff,Barry E. Domvile,7,School of Psychology,M1019
557502,Head of Military Intelligence,Barry E. Domvile,7,Naval Intelligence Specialist,M1019
557556,Head of Government,Bernard Montgomery,7,Old General,Montgomery
557548,Chief of Air Force,Donald Marendaz,7,Air Superiority Doctrine,M1153
557424,Foreign Minister,Earl of Bessborough,7,Ideological Crusader,kaiserreich_UK_Earl_of_Bessborough
557413,Head of Government,Edward Heath,7,Silent Workhorse,Kaiserreich Heath
557479,Minister of Security,Ernest Shackleton,7,Man of the People,kaiserreich_UK_Ernest_Shackleton
557428,Foreign Minister,Evelyn Waugh,7,Biased Intellectual,Evelyn Waugh
557415,Head of Government,Henry Page Croft,7,Flamboyant Tough Guy,kaihenrpgecrft
557495,Minister of Security,Jeffrey Hamm,7,Crime Fighter,M1093
557447,Minister of Armament,John Carnegie,7,Infantry Proponent,kaijohncarniege
557470,Minister of Armament,Jorian Jenks,7,Battle Fleet Proponent,M1072
557427,Foreign Minister,Josslyn Erroll,7,The Cloak N Dagger Schemer,M1051
557509,Head of Military Intelligence,Maxwell Knight,7,Logistics Specialist,M1094
557496,Minister of Security,Maxwell Knight,7,Man of the People,M1094
557414,Head of Government,Murray Sueter,7,Political Protege,kaimurraysueter
557448,Minister of Armament,Murray Sueter,7,Resource Industrialist,kaimurraysueter
557549,Chief of Air Force,Railton Freeman,7,Naval Aviation Doctrine,M1154
557425,Foreign Minister,Richard Cooper,7,Iron Fisted Brute,
557501,Head of Military Intelligence,S.P. James,7,Industrial Specialist,M1016
557522,Chief of Army,Wilhelm Keitel,7,Armoured Spearhead Doctrine,M176
557512,Chief of Staff,Wilhelm Keitel,7,School of Manoeuvre,M176
557547,Chief of Air Force,Williams Sempill,7,Carpet Bombing Doctrine,M1152
