GER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
,Minister of Armament,Albert Kuntz,0,Resource Industrialist,M105
,Chief of Staff,Erich Weinert,0,School of Psychology,M152
,Head of Military Intelligence,Erich Weinert,0,Logistics Specialist,M152
,Head of Government,Ernst Thälmann,0,Backroom Backstabber,M22
,Head of Military Intelligence,Ernst Thälmann,0,Industrial Specialist,M22
,Head of Government,Ernst Toller,0,Ambitious Union Boss,M25
,Minister of Security,Ernst Toller,0,Man of the People,M25
,Chief of Staff,Ernst Wollweber,0,School of Mass Combat,M27
,Head of Military Intelligence,Ernst Wollweber,0,Industrial Specialist,M27
,Chief of Navy,Fritz Scheelen,0,Base Control Doctrine,M29
,Chief of Army,Hans Kahle,0,Decisive Battle Doctrine,M28
,Head of Military Intelligence,Heinrich Müller,0,Political Specialist,M26
,Foreign Minister,Helmet Herzfelde,0,Ideological Crusader,M23
,Foreign Minister,Helmut Herzfelde,0,Ideological Crusader,M23
,Minister of Security,Julius Leber,0,Compassionate Gentleman,M133
,Head of State,Ludwig Renn,0,Insignificant Layman,M21
,Minister of Security,Ludwig Renn,0,Efficient Sociopath,M21
,Foreign Minister,Walter Ulbricht,0,The Cloak N Dagger Schemer,M53
,Head of Government,Walter Ulbricht,0,Backroom Backstabber,M53
,Minister of Security,Walter Ulbricht,0,Prince of Terror,M53
,Minister of Armament,Willie Munzenberg,0,Administrative Genius,M24
,Head of Government,Arthur Crispien,3,Political Protege,kaiserreich arthurchrispian
,Minister of Security,Arthur Crispien,3,Silent Lawyer,kaiserreich arthurchrispian
,Chief of Navy,Conrad Patzig,3,Decisive Naval Battle Doctrine,L506300
,Foreign Minister,Erich Ollenhauer,3,Iron Fisted Brute,M506014
,Head of Military Intelligence,Eugen Gerstenmaier,3,Technical Specialist,M506028
,Minister of Security,Georg August Zinn,3,Prince of Terror,M506023
,Minister of Armament,Gustav Bauer,3,Keynesian Economy,kaiserreich gustavbauer
,Minister of Security,Gustav Bauer,3,Man of the People,kaiserreich gustavbauer
,Head of Military Intelligence,Gustav Noske,3,Logistics Specialist,kaiserreich gustavnoske
,Minister of Security,Gustav Noske,3,Crime Fighter,kaiserreich gustavnoske
,Chief of Staff,Hans Speidel,3,School of Fire Support,L506191
,Foreign Minister,Hans Vogel,3,Great Compromiser,kaiserreich hansvogel
