GUI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
537010,Foreign Minister,Albert Liurette,1,Biased Intellectual,AFR_albert_liurette
537004,Head of Government,Albert Liurette,1,happy amateur,AFR_albert_liurette
537037,Head of Military Intelligence,Albert Liurette,1,Technical Specialist,AFR_albert_liurette
537015,Minister of Armament,Albert Liurette,1,Theoretical Scientist,AFR_albert_liurette
537032,Minister of Security,Albert Liurette,1,Silent Lawyer,AFR_albert_liurette
537054,Chief of Navy,Étienne Djaument,1,Decisive Naval Battle Doctrine,Djaument
537022,Minister of Armament,Étienne Djaument,1,Battle fleet Proponent,Djaument
537058,Chief of Air Force,Isaac Theophilus Akunna Wallace-Johnson,1,Naval Aviation Doctrine,Wallace-Johnson
537056,Chief of Navy,Isaac Theophilus Akunna Wallace-Johnson,1,Power Projection Doctrine,Wallace-Johnson
537027,Minister of Armament,Isaac Theophilus Akunna Wallace-Johnson,1,air to sea proponent,Wallace-Johnson
537024,Minister of Armament,Ahmad Sekou Toure,2,Laissez-Faire Capitalist,M537020
537028,Minister of Security,Ahmad Sekou Toure,2,Crime Fighter,M537020
537008,Foreign Minister,Albert Margai,2,The Cloak N Dagger Schemer,M554012
537006,Head of Government,Albert Margai,2,Political Protege,M554012
537038,Head of Military Intelligence,Albert Margai,2,Dismal Enigma,M554012
537023,Minister of Armament,Albert Margai,2,Corrupt Kleptocrat,M554012
537033,Minister of Security,Albert Margai,2,Crooked Kleptocrat,M554012
537314,Foreign Minister,Albert Porte,2,Great Compromiser,M69033
537313,Head of Government,Albert Porte,2,Ambitious Union Boss,M69033
537007,Foreign Minister,Amílcar Lopes da Costa Cabral,2,Apologetic Clerk,Costa Cabral
537035,Minister of Security,Amílcar Lopes da Costa Cabral,2,Back Stabber,Costa Cabral
537059,Chief of Air Force,Auguste Denise,2,Air Superiority Doctrine,M533064
537018,Minister of Armament,Auguste Denise,2,Air Superiority Proponent,M533064
537055,Chief of Navy,Boubacar Diallo Telli,2,Open Seas Doctrine,Telli
537041,Head of Military Intelligence,Boubacar Diallo Telli,2,Naval Intelligence Specialist,Telli
537060,Chief of Air Force,Diawadou Barry,2,Carpet Bombing Doctrine,Barry1
537020,Minister of Armament,Diawadou Barry,2,Strategic Air Proponent,Barry1
537050,Chief of Army,Emmanuel Cummings,2,Elastic Defence Doctrine,unknown
537045,Chief of Staff,Emmanuel Cummings,2,School of Manoeuvre,unknown
537009,Foreign Minister,Eustace Taylor Cummings,2,Ideological Crusader,M554013
537036,Head of Military Intelligence,Eustace Taylor Cummings,2,Political Specialist,M554013
537030,Minister of Security,Eustace Taylor Cummings,2,Efficient Sociopath,M554013
537012,Foreign Minister,Felix Houphouet-Boigny,2,Great Compromiser,M533018
537005,Head of Government,Felix Houphouet-Boigny,2,corporate suit,M533018
537040,Head of Military Intelligence,Felix Houphouet-Boigny,2,Industrial Specialist,M533018
537021,Minister of Armament,Felix Houphouet-Boigny,2,Resource Industrialist,M533018
537014,Minister of Armament,Fode Mamadou Toure,2,Administrative Genius,Toure
537034,Minister of Security,Fode Mamadou Toure,2,Compassionate Gentleman,Toure
537047,Chief of Army,Kande Bureh,2,Decisive Battle Doctrine,M554017
537042,Chief of Staff,Kande Bureh,2,School of Mass Combat,M554017
537039,Head of Military Intelligence,Kande Bureh,2,Logistics Specialist,M554017
537019,Minister of Armament,Kande Bureh,2,Infantry Proponent,M554017
537049,Chief of Army,Lamina Sankoh,2,Static Defence Doctrine,M554015
537044,Chief of Staff,Lamina Sankoh,2,School of Defence,M554015
537011,Foreign Minister,Lamina Sankoh,2,General Staffer,M554015
537016,Minister of Armament,Lamina Sankoh,2,Military Entrepreneur,M554015
537048,Chief of Army,Loffo Camara,2,Armoured Spearhead Doctrine,Camara
537043,Chief of Staff,Loffo Camara,2,School of Fire Support,Camara
537017,Minister of Armament,Loffo Camara,2,Tank Proponent,Camara
537013,Foreign Minister,Milton Margai,2,iron fisted brute,M554011
537031,Minister of Security,Milton Margai,2,Prince of Terror,M554011
537029,Minister of Security,Philippe Grégoire Yacé,2,Man of the People,Yacé
537061,Chief of Air Force,Raymond Sarif Easmon,2,Vertical Envelopment Doctrine,unknown
537053,Chief of Navy,Raymond Sarif Easmon,2,Base Control Doctrine,unknown
537057,Chief of Air Force,Sanak Stephens,2,Army Aviation Doctrine,M554020
537051,Chief of Army,Sanak Stephens,2,Guns and Butter Doctrine,M554020
537046,Chief of Staff,Sanak Stephens,2,School of Psychology,M554020
537026,Minister of Armament,Sanak Stephens,2,air to ground proponent,M554020
537052,Chief of Navy,Victor Biaka Boda,2,Indirect Approach Doctrine,Boda
537025,Minister of Armament,Victor Biaka Boda,2,Submarine Proponent,Boda
537274,Head of Government,Anthony Dash Wilson,4,Happy Amateur,LIB_anthony_dash_wilson
537292,Minister of Security,Anthony Dash Wilson,4,Back Stabber,LIB_anthony_dash_wilson
537299,Chief of Army,Benjamin O. Davis,4,Decisive Battle Doctrine,M69007
537296,Chief of Staff,Benjamin O. Davis,4,School of Mass Combat,M69007
537281,Minister of Armament,Benjamin O. Davis,4,Infantry Proponent,M69007
537309,Chief of Air Force,Benjamin O. Davis Jr.,4,Air Superiority Doctrine,L60503
537280,Minister of Armament,Benjamin O. Davis Jr.,4,Air Superiority Proponent,L60503
537097,Foreign Minister,Bernard Binlin Dadié,4,iron fisted brute,Dadié
537109,Head of Military Intelligence,Bernard Binlin Dadié,4,Political Specialist,Dadié
537107,Minister of Security,Bernard Binlin Dadié,4,Prince of Terror,Dadié
537277,Foreign Minister,Charles Dunbar Burgess King,4,Great Compromiser,CharlesDunbarBurgessKing
537290,Minister of Security,Charles Dunbar Burgess King,4,Silent Lawyer,CharlesDunbarBurgessKing
537275,Foreign Minister,Cornelius Bosman van Oudkarspel,4,Apologetic Clerk,unknown
537294,Head of Military Intelligence,Cornelius Bosman van Oudkarspel,4,Dismal Enigma,unknown
