GRE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
18172,Chief of Army,Aris Velouchiotis,0,Decisive Battle Doctrine,M18028
18065,Head of Government,Evripidis Bakirtris,0,Happy Amateur,M18065
18146,Head of Military Intelligence,Evripidis Bakirtris,0,Industrial Specialist,M18065
18145,Head of Military Intelligence,Giannes Ioannides,0,Political Specialist,M18025
18129,Minister of Security,Giannes Ioannides,0,Prince of Terror,M18025
18108,Minister of Armament,Giorgis Siantos,0,Resource Industrialist,M18021
18066,Head of Government,Markos Vaphiadis,0,Backroom Backstabber,M18066
18130,Minister of Security,Markos Vaphiadis,0,Silent Lawyer,M18066
18181,Chief of Navy,Militiades Porphyrogins,0,Decisive Naval Battle Doctrine,M18029
18084,Foreign Minister,Militiades Porphyrogins,0,General Staffer,M18029
18063,Head of Government,Militiades Porphyrogins,0,Ambitious Union Boss,M18029
18191,Chief of Air Force,Nikos Beloyannis,0,Naval Aviation Doctrine,M18030
18083,Foreign Minister,Nikos Zahariadis,0,Ideological Crusader,M18022
18064,Head of Government,Nikos Zahariadis,0,Smiling Oilman,M18022
18085,Foreign Minister,Petros Rousos,0,Biased Intellectual,M18085
18160,Chief of Staff,Stephanos Sarafis,0,School of Mass Combat,M18027
18131,Minister of Security,Stratos Payioumtzis,0,Efficient Sociopath,M18131
18089,Minister of Armament,Alexandros Svolos,4,Resource Industrialist,M18089
18069,Foreign Minister,Constantinos Rentis,4,Apologetic Clerk,M18069
18133,Head of Military Intelligence,Costas Moulas,4,Naval Intelligence Specialist,M18133
18174,Chief of Navy,Demetrios Gousis,4,Decisive Naval Battle Doctrine,M18090
18090,Minister of Armament,Demetrios Gousis,4,Battle Fleet Proponent,M18090
18111,Minister of Security,Elias Panakilis,4,Crime Fighter,M18111
18184,Chief of Air Force,Euthanassos Perrikos,4,Vertical Envelopment Doctrine,M18184
18112,Minister of Security,Evangelos Papanoutsos,4,Compassionate Gentleman,M18112
18183,Chief of Air Force,Gaecia Geanados,4,Carpet Bombing Doctrine,M18096
18067,Foreign Minister,Georgios Papandreou,4,Biased Intellectual,M18015
18047,Head of Government,Georgios Papandreou,4,Silent Workhorse,M18015
18132,Head of Military Intelligence,Georgios Papandreou,4,Political Specialist,M18015
18109,Minister of Security,Georgios Papandreou,4,Efficient Sociopath,M18015
18162,Chief of Army,Giorgios Roussoupoulos,4,Elastic Defence Doctrine,M18162
18086,Minister of Armament,Markos Aganossos,4,Corrupt Kleptocrat,M18086
18110,Minister of Security,Markos Aganossos,4,Silent Lawyer,M18086
18173,Chief of Navy,Nikolaos Votsis,4,Base Control Doctrine,M18019
18048,Head of Government,Panagiolis Poulitsas,4,Smiling Oilman,M18048
18113,Minister of Security,Panagiolis Poulitsas,4,Prince of Terror,M18048
18192,Foreign Minister,Themistocles Sophoulis,4,The Cloak N Dagger Schemer,M18014
18046,Head of Government,Themistocles Sophoulis,4,Flamboyant Tough Guy,M18014
18088,Minister of Armament,Themistocles Sophoulis,4,Administrative Genius,M18014
18087,Minister of Armament,Theodoros Marsal,4,Resource Industrialist,M18087
18100,Minister of Armament,Alchibiades Stephanopoulos,6,Laissez-Faire Capitalist,M18100
18071,Foreign Minister,Alexandros Korizis,6,Great Compromiser,M18050
18050,Head of Government,Alexandros Korizis,6,Political Protege,M18050
18138,Head of Military Intelligence,Alexandros Propanis,6,Logistics Specialist,M18138
18176,Chief of Navy,Alexiou Tsamotos,6,Decisive Naval Battle Doctrine,M18091
18187,Chief of Air Force,Anastassios Bardivilias,6,Naval Aviation Doctrine,M18097
18097,Minister of Armament,Anastassios Bardivilias,6,Air to Sea Proponent,M18097
18154,Chief of Staff,Anastassios Sakellariou,6,School of Psychology,M18009
18137,Head of Military Intelligence,Anatasios Kanellopoulos,6,Dismal Enigma,M18098
18098,Minister of Armament,Anatasios Kanellopoulos,6,Administrative Genius,M18098
18186,Chief of Air Force,Antoine Frangulis,6,Air Superiority Doctrine,M18092
18092,Minister of Armament,Antoine Frangulis,6,Air Superiority Proponent,M18092
18054,Head of Government,Dimitrios Maximos,6,Political Protege,M18054
18116,Minister of Security,Dimitrios Maximos,6,Crime Fighter,M18054
18095,Minister of Armament,Eleftherios Venizelos,6,Air to Ground Proponent,M18010
18072,Foreign Minister,Emmanouel Tsouderos,6,Apologetic Clerk,M18051
18051,Head of Government,Emmanouel Tsouderos,6,Happy Amateur,M18051
18096,Minister of Armament,Gaecia Geanados,6,Strategic Air Proponent,M18096
18135,Head of Military Intelligence,Georgios Drossopoulos,6,Technical Specialist,M18135
18166,Chief of Army,Georgios Streit,6,Guns and Butter Doctrine,M18136
18136,Head of Military Intelligence,Georgios Streit,6,Industrial Specialist,M18136
18167,Chief of Army,Giorgios Lavdas,6,Armoured Spearhead Doctrine,M18099
18151,Chief of Staff,Giorgios Lavdas,6,School of Manoeuvre,M18099
18099,Minister of Armament,Giorgios Lavdas,6,Tank Proponent,M18099
18114,Minister of Security,Giorgios Nicolaidis,6,Back Stabber,M18114
18074,Foreign Minister,Konstantinos Tsaldaris,6,The Cloak N Dagger Schemer,M18053
18199,Head of Government,Konstantinos Tsaldaris,6,Naive Optimist,M18053
18117,Minister of Security,Konstantinos Tsaldaris,6,Man of the People,M18117
18119,Minister of Security,Panagiotis Kafantaris,6,Silent Lawyer,M18119
18152,Chief of Staff,Paraskos Melissinos,6,School of Mass Combat,M18152
18177,Chief of Navy,Petros Voulgaris,6,Indirect Approach Doctrine,M18061
18115,Minister of Security,Raul Bibica Rosetti,6,Compassionate Gentleman,M18115
18073,Foreign Minister,Sophocles Venizelos,6,Great Compromiser,M18012
18052,Head of Government,Sophocles Venizelos,6,Naive Optimist,M18012
18120,Minister of Security,Stephanos Lakiantos,6,Crooked Kleptocrat,M18120
18094,Minister of Armament,Takis Pipenelis,6,Theoretical Scientist,M18094
18118,Minister of Security,Thanassis Aghnides,6,Efficient Sociopath,M18118
18093,Minister of Armament,Thanassos Exaharis,6,Laissez-Faire Capitalist,M18093
18165,Chief of Army,Vassilios Tsounoukas,6,Decisive Battle Doctrine,M18153
