HUN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
21092,Minister of Armament,Béla Zsedényi,0,Infantry Proponent,M21031
21079,Foreign Minister,Erik Molnár,0,Ideological Crusader,M21079
21126,Head of Military Intelligence,Ernö Gerö,0,Logistics Specialist,M21093
21093,Minister of Armament,Ernö Gerö,0,Resource Industrialist,M21093
21114,Minister of Security,Ferenc Erdei,0,Compassionate Gentleman,M21114
21174,Chief of Staff,Gabor Sziszkalatay,0,School of Psychology,M21136
21113,Minister of Security,Imre Nagy,0,Back Stabber,M21113
21157,Chief of Navy,Kálmán Hardy,0,Decisive Naval Battle Doctrine,M21039
21081,Foreign Minister,László Rajk,0,Iron Fisted Brute,M21035
21064,Head of Government,László Rajk,0,Flamboyant Tough Guy,M21035
21127,Head of Military Intelligence,László Rajk,0,Political Specialist,M21035
21111,Minister of Security,László Rajk,0,Crime Fighter,M21035
21138,Chief of Staff,Matta Zalka,0,School of Psychology,M21037
21080,Foreign Minister,Matta Zalka,0,General Staffer,M21037
21065,Head of Government,Mátyas Rákosi,0,Backroom Backstabber,M21032
21112,Minister of Security,Mátyás Rákosi,0,Crooked Kleptocrat,M21032
21110,Minister of Security,Mihaly Farkas,0,Prince of Terror,M21110
21150,Chief of Army,Nikolaj Berzin,0,Decisive Battle Doctrine,M21038
21094,Minister of Armament,Zoltán Vas,0,Military Entrepreneur,M21034
21075,Foreign Minister,Arpád Szakasits,3,Biased Intellectual,M21061
21061,Head of Government,Arpád Szakasits,3,Happy Amateur,M21061
21165,Chief of Air Force,Edgar Keksz,3,Air Superiority Doctrine,M21073
21147,Chief of Army,Gabor Sziszkalatay,3,Guns and Butter Doctrine,M21136
21107,Minister of Security,Jozsef Revay,3,Crime Fighter,M21107
21123,Head of Military Intelligence,Károly Peyer,3,Industrial Specialist,M21045
21155,Chief of Navy,Reszö Kastner,3,Base Control Doctrine,M21089
21089,Minister of Armament,Reszö Kastner,3,Administrative Genius,M21089
