BRU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
567014,Head of Government,Khieu Samphan,0,Smiling Oilman,M541022
567017,Foreign Minister,Leng Sary,0,The Cloak N Dagger Schemer,M541027
567020,Minister of Armament,Nuon Chea,0,Corrupt Kleptocrat,M541033
567023,Minister of Security,Pol Pot,0,Efficient Sociopath,M541014
567030,Chief of Army,Son Sen,0,Guns and Butter Doctrine,M541051
567033,Chief of Navy,You Hok Kry,0,Base Control Doctrine,M541055
567008,Chief of Army,Ho Chi Minh,1,Guns and Butter Doctrine,Ho_Chi_Minh
567004,Minister of Armament,Le Duan,1,Military Entrepreneur,M542030
567039,Head of Military Intelligence,Le Thanh,1,Industrial Specialist,M542040
567010,Chief of Air Force,Nguyen Huu Tho,1,Air Superiority Doctrine,M542055
567003,Foreign Minister,Pham Van Dong,1,Ideological Crusader,M542024
567006,Head of Military Intelligence,Phan Huy Quat,1,Political Specialist,M542039
567005,Minister of Security,The Lu,1,Silent Lawyer,M542035
567009,Chief of Navy,Thrang Tun Doc,1,Power Projection Doctrine,M542052
567002,Head of Government,Truong Tchin,1,Backroom Backstabber,M542019
567041,Chief of Staff,Van Tien Dung,1,School of Fire Support,Van_Tien_Dung
567040,Chief of Army,Vo Nguyen Giap,1,Elastic Defence Doctrine,M542048
567007,Chief of Staff,Vo Nguyen Giap,1,School of Psychology,M542044
567021,Minister of Armament,Boun Oum,2,Infantry Proponent,M540010
567034,Chief of Navy,H.R.H. Souphanou Vong,2,Open Seas Doctrine,M540041
567015,Head of Government,Khambulatom Oomau,2,Happy Amateur,M540019
567026,Head of Military Intelligence,Khambulatom Oomau,2,Technical Specialist,M540019
567028,Chief of Staff,Phichith Douangchai,2,School of Defence,M540035
567018,Foreign Minister,Phomvihanh Kaysone,2,Iron Fisted Brute,M540020
567024,Minister of Security,Phomvihanh Kaysone,2,Prince of Terror,M540029
56701936,Chief of Air Force,Vang Pao,2,Army Aviation Doctrine,M540038
567031,Chief of Army,Vang Pao,2,Static Defence Doctrine,M540038
567037,Chief of Air Force,Chai Saing Yun,3,Naval Aviation Doctrine,M541029
567016,Head of Government,H.R.H. Norodom Sihanouk,3,Old Admiral,M541011
567035,Chief of Navy,Lon Nol,3,Decisive Naval Battle Doctrine,M541035
567029,Chief of Staff,Norodom Sihanouk,3,School of Manoeuvre,M541044
567019,Foreign Minister,Sisowath Monipong,3,Great Compromiser,M541003
567032,Chief of Army,Sisowath Monireth,3,Decisive Battle Doctrine,M541046
567022,Minister of Armament,Sisowath Monireth,3,Tank Proponent,M541004
567025,Minister of Security,Sisowath Youtevong,3,Compassionate Gentleman,M541005
567027,Head of Military Intelligence,Son Ngoc Thanh,3,Industrial Specialist,M541006
