IRE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
25145,Chief of Navy,A.H.J. Jerome,5,Indirect Approach Doctrine,M25145
25140,Chief of Navy,A.T. Lawlor,3,Open Seas Doctrine,M25140
25149,Chief of Navy,Andy Barr,2,Indirect Approach Doctrine,AndyBarr
25005,Minister of Security,Archbishop John Charles McQuaid,8,Man of the People,kaiserreich archMcQuaid
25120,Head of Military Intelligence,Betty Sinclair,2,Technical Specialist,M25104
25104,Minister of Security,Betty Sinclair,2,Back Stabber,M25104
25064,Foreign Minister,Bill Gannon,2,Ideological Crusader,M25023
25087,Minister of Armament,Bill Gannon,2,Tank Proponent,M25023
25103,Minister of Security,Bill Scott,1,Man of the People,M25025
25169,Head of Government,Brendan Corish,3,Silent Workhorse,BrendanCorish
25115,Head of Military Intelligence,Cathal Goulding,3,Logistics Specialist,CathalGoulding
25150,Chief of Air Force,Cearbhall O'Dalaigh,5,Vertical Envelopment Doctrine,M25092
25092,Minister of Security,Cearbhall O'Dalaigh,5,Compassionate Gentleman,M25092
25132,Chief of Army,Cecil Lavery,6,Decisive Battle Doctrine,M25069
25098,Minister of Security,Cecil Lavery,6,Silent Lawyer,M25069
25153,Chief of Air Force,Charles Casey,6,Air Superiority Doctrine,M25153
25159,Chief of Air Force,Charles Donnelly,1,Vertical Envelopment Doctrine,CharlesDonnelly
25127,Chief of Staff,Conor Maguire,5,School of Mass Combat,M25127
25124,Chief of Staff,Dan Bryan,5,School of Fire Support,M25124
25125,Chief of Staff,Dan McKenna,5,School of Mass Combat,M25125
25110,Head of Military Intelligence,Dan McKenna,5,Technical Specialist,M25110
25105,Head of Military Intelligence,Denis McCullough,6,Naval Intelligence Specialist,M25105
25117,Head of Military Intelligence,Donal Brackley,8,Industrial Specialist,M25014
25008,Chief of Army,Donal Buckley,5,Elastic Defence Doctrine,M25001
25072,Minister of Armament,Douglas Hyde,5,Military Entrepreneur,M25035
25003,Foreign Minister,Eamon de Valera,5,Ideological Crusader,M25002
25148,Chief of Navy,Eamonn Broy,8,Power Projection Doctrine,M25015
25091,Minister of Security,Edward J. Phelan,3,Prince of Terror,M25091
25134,Chief of Army,Emmett Dalton,6,Elastic Defence Doctrine,M25134
25096,Minister of Security,Eoin MacNeill,6,Efficient Sociopath,M25038
25138,Chief of Army,Eoin O'Duffy,8,Elastic Defence Doctrine,M25018
25002,Head of Government,Eoin O'Duffy,8,Backroom Backstabber,M25018
25084,Minister of Armament,Eoin O'Duffy,8,Infantry Proponent,M25018
25069,Minister of Armament,Ernest Blythe,6,Administrative Genius,ErnestBlythe
25109,Head of Military Intelligence,Frank Aiken,5,Industrial Specialist,M25074
25074,Minister of Armament,Frank Aiken,5,Resource Industrialist,M25074
25135,Chief of Army,Frank Fahy,5,Static Defence Doctrine,M25031
25131,Chief of Staff,Frank Lynch,2,School of Mass Combat,M25131
25076,Minister of Armament,Frank McDermott,6,Strategic Air Proponent,M25076
25102,Minister of Security,Gearóid Ó Cuinnegáin,8,Efficient Sociopath,GearoidOCuinnegain
25088,Minister of Security,George Gilmore,3,Man of the People,GeorgeGilmore
25006,Head of Military Intelligence,Gerald Boland,5,Political Specialist,M25006
