IRQ,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
91022,Head of Government,Yahya Hamudeh,0,Backroom Backstabber,M91021
91134,Head of Military Intelligence,Abdallah Mumtaz,2,Technical Specialist,M91026
91083,Foreign Minister,Ali Mumtaz,2,General Staffer,M91083
91102,Minister of Armament,Anwar Khatib,2,Strategic Air Proponent,M91024
91117,Minister of Security,Anwar Khatib,2,Man of the People,M91024
91155,Chief of Army,Arshad al Umari,2,Guns and Butter Doctrine,M91027
91145,Chief of Staff,Arshad al Umari,2,School of Fire Support,M91027
91057,Head of Government,Arshad al Umari,2,Happy Amateur,M91027
91144,Chief of Staff,Bakr Sidqi,2,School of Defence,M91007
91054,Head of Government,Hikmet Suleyman,2,Naive Optimist,M91054
91118,Minister of Security,Hikmet Suleyman,2,Compassionate Gentleman,M91054
91171,Chief of Air Force,Khaled al Dalabeeh,2,Vertical Envelopment Doctrine,M91030
91101,Minister of Armament,Khaled al Dalabeeh,2,Theoretical Scientist,M91030
91084,Foreign Minister,Muhammed Fadelfomali,2,Biased Intellectual,M91074
91136,Head of Military Intelligence,Rifai al Fadel,2,Dismal Enigma,M91129
91135,Head of Military Intelligence,Suleiman al Taji,2,Political Specialist,M91108
91162,Chief of Navy,Taha al Ahmani,2,Decisive Naval Battle Doctrine,M91029
91133,Head of Military Intelligence,Taha al Ahmani,2,Industrial Specialist,M91029
91082,Foreign Minister,Tawfiq al Suweidi,2,Apologetic Clerk,M91056
91056,Head of Government,Tawfiq al Suweidi,2,Ambitious Union Boss,M91056
91085,Foreign Minister,Yahya Hamudeh,2,Iron Fisted Brute,M91021
91055,Head of Government,Yahya Hamudeh,2,Backroom Backstabber,M91021
91184,Head of Government,Mustafa al Umari,5,Silent Workhorse,M91184
91086,Minister of Armament,Abdel Latif Salah,6,Resource Industrialist,M91086
91005,Minister of Security,Ali Abn Hussein,6,Back Stabber,M91005
91010,Chief of Air Force,Ali ben Jawad,6,Air Superiority Doctrine,M91010
91007,Chief of Staff,Bakr Sidqi,6,School of Defence,M91007
91088,Minister of Armament,Elie Mosseri,6,Administrative Genius,M91088
91104,Minister of Security,Ghulam Ali Allana,6,Compassionate Gentleman,M91104
91120,Head of Military Intelligence,Mohammed al Azir,6,Logistics Specialist,M91120
91060,Foreign Minister,Moussa al Alami,6,Great Compromiser,M91043
91043,Head of Government,Moussa al Alami,6,Silent Workhorse,M91043
91087,Minister of Armament,Moussa al Alami,6,laissez-faire capitalist,M91043
91185,Head of Government,Muhamed Fadhel al-Jamali,6,Happy Amateur,M91185
91180,Head of Government,Muzahim al Bayyaji,6,Corporate Suit,M91180
91003,Foreign Minister,Nuri as Said,6,General Staffer,M91003
91058,Foreign Minister,Ragheb Nashashibi,6,Biased Intellectual,M91045
91045,Head of Government,Ragheb Nashashibi,6,Flamboyant Tough Guy,M91045
91105,Minister of Security,Ragheb Nashashibi,6,Crime Fighter,M91045
91121,Head of Military Intelligence,Taha Pasha al Hashimi,6,Dismal Enigma,M91044
91002,Head of Government,Yasin Pasha al Hashimi,6,Naive Optimist,M91002
91006,Head of Military Intelligence,Yasin Pasha al Hashimi,6,Naval Intelligence Specialist,M91002
91068,Foreign Minister,Abd al Illah al Hafiz,7,Great Compromiser,M91068
91067,Foreign Minister,Abdallah al Damluji,7,Iron Fisted Brute,M91067
91166,Chief of Air Force,Abdullah al-Tell,7,Naval Aviation Doctrine,M91166
91073,Foreign Minister,Ahmad Abdul Baqi,7,The Cloak N Dagger Schemer,M91073
91107,Minister of Security,Ahmad Abdul Baqi,7,Man of the People,M91073
91095,Minister of Armament,Ali Abn Hussein,7,Corrupt Kleptocrat,M91005
91064,Foreign Minister,Ali Jawdat,7,The Cloak N Dagger Schemer,M91064
91181,Head of Government,Ali Jawdat,7,Backroom Backstabber,M91064
91165,Chief of Air Force,Amir al Illah,7,Air Superiority Doctrine,M91035
91151,Chief of Army,Amir al Illah,7,Static Defence Doctrine,M91035
91072,Foreign Minister,Arshad al Umari,7,General Staffer,M91027
91061,Foreign Minister,Azam Pasha,7,Apologetic Clerk,M91046
91046,Head of Government,Azam Pasha,7,Old General,M91046
91122,Head of Military Intelligence,Emil Ghoury,7,Technical Specialist,M91122
