ISR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
559002,Head of Government,David Ben Gurion,4,Ambitious Union Boss,M559002
559003,Foreign Minister,Moshe Sharett,4,Biased Intellectual,M559003
559004,Minister of Armament,Levi Eshkol,4,Resource Industrialist,M559004
559005,Minister of Security,Golda Meir,4,Man of the People,M559005
559006,Head of Military Intelligence,Yigal Allon,4,Logistics Specialist,M559006
559007,Chief of Staff,Yigael Yadin,4,School of Fire Support,M559007
559008,Chief of Army,Yigal Allon,4,Guns and Butter Doctrine,M559008
559009,Chief of Navy,Yedidia Ya'ari,4,Decisive Naval Battle Doctrine,M559009
559010,Chief of Air Force,Haim Laskov,4,Army Aviation Doctrine,M559010
559013,Head of Government,Daniel Auster,7,Backroom Backstabber,M559013
559014,Head of Government,Dr. Abrahan Herschel,1,Naive Optimist,M559014
559015,Foreign Minister,Zerach Warnaftig,7,Ideological Crusader,M559015
559016,Foreign Minister,Pinhas Levon,4,Great Compromiser,M559016
559017,Foreign Minister,Yitzhak Ben Zvi,1,Iron Fisted Brute,M559017
559018,Foreign Minister,Yitzhak Tabenkin,1,The Cloak N Dagger Schemer,M559018
559019,Minister of Armament,Vadia Yosef,7,Infantry Proponent,M559019
559020,Minister of Armament,Mencahem Ussiskin,7,Strategic Air Proponent,M559020
559021,Minister of Armament,Vatchagan Meltonian,7,laissez-faire capitalist,M559021
559022,Minister of Armament,Kadish Luz,4,Battle Fleet Proponent,M559022
559023,Minister of Armament,Yosef Sprinzak,4,Air Superiority Proponent,M559023
559024,Minister of Armament,Eliezer Kaplan,4,Military Entrepreneur,M559024
559025,Minister of Armament,Pavlos Levan,1,Tank Proponent,M559025
559026,Minister of Security,Nahum Nir-Rafalkes,7,Back Stabber,M559026
559027,Minister of Security,Menachem Baskind,7,Compassionate Gentleman,M559027
559028,Minister of Security,Mencahem Begin,7,Efficient Sociopath,M559028
559029,Minister of Security,Moshe Haim Shapira,4,Silent Lawyer,M559029
559030,Minister of Security,Israel Rokach,3,Crime Fighter,M559030
559031,Minister of Security,Moshe Katznelson,1,Prince of Terror,M559031
559032,Head of Military Intelligence,Israel Bar-Yehuda,7,Political Specialist,M559032
559033,Head of Military Intelligence,Menachem Mendel Lipschutz,7,Dismal Enigma,M559033
559034,Head of Military Intelligence,Pinhas Sapir,4,Technical Specialist,M559034
559035,Head of Military Intelligence,Yitzhak Grünbaum,4,Dismal Enigma,M559035
559036,Head of Military Intelligence,Rerl Katznelson,1,Industrial Specialist,M559036
559037,Head of Military Intelligence,Menachem Schneerson,1,Naval Intelligence Specialist,M559037
559038,Chief of Staff,Roman Zakhari,7,School of Defence,M559038
559039,Chief of Staff,Jiloshahaft Harkabi,7,School of Psychology,M559039
559040,Chief of Staff,Richard Silverstein,1,School of Mass Combat,M559040
559041,Chief of Army,Pinchas Rosengarten,7,Elastic Defence Doctrine,M559041
559042,Chief of Army,Moshe Dayan,4,Armoured Spearhead Doctrine,M559042
559043,Chief of Army,Amos Zoref,1,Decisive Battle Doctrine,M559043
559044,Chief of Navy,Chaim Grunwald,7,Base Control Doctrine,M559044
559045,Chief of Navy,Moshe Krelitz,1,Indirect Approach Doctrine,M559045
559046,Chief of Air Force,Chris Magee,7,Army Aviation Doctrine,M559046
559047,Chief of Air Force,Reuven Woolf,1,Air Superiority Doctrine,M559047
559049,Minister of Security,Yitzhak Grünbaum,4,Prince of Terror,M559035
559050,Head of Military Intelligence,Yosef Sprinzak,4,Industrial Specialist,M559023
559051,Chief of Army,David Ben Gurion,4,Decisive Battle Doctrine,M559002
